Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Average Speed
EV083,5/1/2019 0:00,,,0.274194444,0.06123,,,,0.94682,0.95541,,,,
EV083,5/2/2019 0:00,,1.86414,0.840855278,0.192721111,,,,3.38108,3.41302,,,,
EV083,5/3/2019 0:00,,,0.188567778,0.01089,,,,0.04725,0.04725,,,,
EV083,5/7/2019 0:00,,,,,,,,,,,,,
EV083,5/8/2019 0:00,,,0.082798611,0.002695,,,,0.03455,0.03453,,,,
EV083,5/9/2019 0:00,,,,,,,,,,,,,
EV083,5/10/2019 0:00,,,,,,,,,,,,,
EV083,5/11/2019 0:00,,,,,,,,,,,,,
EV083,5/12/2019 0:00,,,,,,,,,,,,,
EV083,5/13/2019 0:00,,,,,,,,,,,,,
EV083,5/14/2019 0:00,,,,,,,,,,,,,
EV083,5/15/2019 0:00,,,0.089348611,,,,,,,,,,
EV083,5/16/2019 0:00,,,0.333403333,0.021945278,,,,0.14425,0.14217,,,,
EV083,5/17/2019 0:00,,,,,,,,,,,,,
EV083,5/18/2019 0:00,,,,,,,,,,,,,
EV083,5/19/2019 0:00,,,,,,,,,,,,,
EV083,5/20/2019 0:00,,,,,,,,,,,,,
EV083,5/21/2019 0:00,,,,,,,,,,,,,
EV083,5/22/2019 0:00,,,,,,,,,,,,,
EV083,5/23/2019 0:00,,3.72828,1.591900833,0.399977222,,,,10.96808,7.53432,,,,6.44666178
EV083,5/24/2019 0:00,,1.24276,0.295650833,0.131933611,,,,1.37934,1.26975,,,,
EV083,5/25/2019 0:00,,,,,,,,,,,,,
EV083,5/26/2019 0:00,,,,,,,,,,,,,
EV083,5/27/2019 0:00,,,,,,,,,,,,,
EV083,5/28/2019 0:00,,,,,,,,,,,,,
EV083,5/29/2019 0:00,,,0.018171944,,,,,,,,,,
EV083,5/30/2019 0:00,,,0.06295,0.014775,,,,,0.11475,,,,
EV083,5/31/2019 0:00,,0.62138,0.056406667,0.052839722,,,,,0.99825,,,,
EV083,6/1/2019 0:00,,,,,,,,,,,,,
EV083,6/2/2019 0:00,,,,,,,,,,,,,
EV083,6/3/2019 0:00,,45.36074,0.394148611,1.482595833,,,,,40.97512,,,,25.03693582
EV083,6/4/2019 0:00,,,0.980667778,0.017723611,,,,,0.11076,,,,
EV083,6/5/2019 0:00,,9.3207,0.236320833,0.377337778,,,,9.5484,9.06087,,,,19.07428019
EV083,6/6/2019 0:00,,,,,,,,,,,,,
EV083,6/7/2019 0:00,,,,,,,,,,,,,
