Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Average Speed,Maximum Speed
EV188,05/24/2022,3,29.7015338,0.39999999999999997,1.1833333333333333,1.5833333333333335,,,,,57.74,185.2928322,214.994366,,,0.2526315789473684,,18.75886345263159,39.14638511095204
EV188,05/25/2022,1,29.5772596,0.3,1.3166666666666667,1.6166666666666667,100,100,23,,66.56,214.994366,244.5716256,100,82,0.18556701030927833,,18.295212123711334,39.14638511095204
EV188,05/26/2022,4,29.5772596,0.6833333333333333,1.1833333333333333,1.8666666666666667,100,100,24,,72.5,244.5716256,274.1488852,100,81,0.36607142857142855,,15.844960499999996,39.14638511095204
EV188,05/27/2022,1,31.0064129,0.18333333333333335,1.5166666666666666,1.7000000000000002,100,99,24,,66.2,274.1488852,305.1552981,100,82,0.10784313725490195,,18.239066411764696,39.14638511095204
EV188,05/31/2022,6,71.2091166,1.6,4.783333333333333,6.383333333333333,96,100,61,56.76,80.96000000000001,305.2795723,376.4886889,100,46,0.25065274151436034,,11.155475185378593,38.525013918714706
EV188,06/01/2022,6,66.4245599,1.4666666666666666,3.7,5.166666666666666,100,100,44,87.36,79.34,376.4886889,442.9132488,100,58,0.2838709677419355,,12.85636643225807,38.525013918714706
EV188,06/02/2022,3,60.894358,0.2333333333333333,3.3833333333333333,3.616666666666667,100,100,38,87.79,66.02,442.9132488,503.8076068,100,64,0.06451612903225805,,16.83714967741934,37.28227153424004
EV188,06/03/2022,6,69.8421004,1.3666666666666667,4.95,6.316666666666667,100,100,49,70.6800000000001,65.48,503.8076068,573.6497072,100,55,0.2163588390501319,,11.056796897097623,38.525013918714706
EV188,06/06/2022,8,81.5238752,0.55,4.833333333333334,5.383333333333334,100,100,60,70.43,72.14,573.6497072,655.1735824,100,48,0.1021671826625387,,15.143753907120745,36.039529149765364
EV188,06/07/2022,9,67.0459309,0.8166666666666667,5.3,6.116666666666666,98,100,48,69.79,67.82,655.1735824,722.2195133,100,57,0.1335149863760218,,10.961187613079025,38.525013918714706
EV188,06/08/2022,5,64.1876243,0.6333333333333333,4.033333333333333,4.666666666666666,100,100,42,81.9900000000001,62.96,722.2195133,786.4071376,100,61,0.13571428571428573,,13.754490921428582,37.90364272647737
EV188,06/10/2022,6,74.0052860999999,1.6333333333333335,4.133333333333333,5.766666666666667,100,100,55,,66.02,786.4071376,860.4124237,100,49,0.2832369942196532,,12.833286606936403,38.525013918714706
EV188,06/12/2022,1,,0,0.15,0.15,,,,,73.22,860.4124237,860.4124237,,,0,,0,0
EV188,06/14/2022,5,49.3989945000001,0.6333333333333333,3.783333333333333,4.416666666666667,96,99,34,35.9099999999998,75.56,860.4745608,909.8735553,100,70,0.14339622641509434,,11.184678000000016,39.14638511095204
EV188,06/15/2022,5,83.8229479,1.8333333333333333,5.283333333333333,7.116666666666666,99,100,67,74.8000000000001,83.48,909.8735553,993.6965032,100,36,0.2576112412177986,,11.778400173302114,37.28227153424004
