Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,HV Acces. Energy,LV Acces. Energy,Elect. Heater Energy,Traction Energy
EV075,01/01/2020 00:01,01/01/2020 02:26,33.4,,,2.283333333333333,47,34,13,59.65,21,,,,,3.1,7.54,0,49.01
EV075,01/01/2020 14:53,01/01/2020 23:59,80.78,,,8.983333333333333,89,58,31,143.53,30,,,,,7.4,23.26,11.04,101.82
EV075,01/02/2020 00:01,01/02/2020 00:10,2.25,,,0.16666666666666666,58,57,1,3.73,29,,,,,0.11,0.47,0,3.14
EV075,01/02/2020 00:00,01/02/2020 06:57,9.629999999999999,,,1.0833333333333333,90,57,33,24.23,38,,,,,0.81,2.8,3.23,17.4
EV075,01/02/2020 07:26,01/02/2020 15:47,78.6,,,6.516666666666667,86,55,31,141.66,31,,,,,8.47,19.61,3.49,110.09
EV075,01/03/2020 06:28,01/03/2020 06:59,6.68,,,0.5333333333333333,90,86,4,14.91,29,,,,,0.6,1.55,0.32,12.43
EV075,01/03/2020 07:21,01/03/2020 11:59,45.28,,,3.4,86,71,15,72.7,30,,,,,3.77,10.88,1.51,56.54
EV075,01/03/2020 12:22,01/03/2020 15:46,33.17,,,2.566666666666667,71,58,13,57.78,37,,,,,3.3,8.09,2.24,44.15
EV075,01/04/2020 06:14,01/04/2020 16:38,81.4,,,10.283333333333333,90,52,38,171.49,38,,,,,17.21,27.03,0.27,126.97
EV075,01/05/2020 06:19,01/05/2020 11:24,65.63,,,4.4,89,65,24,109.98,31,,,,,4.63,13.44,6.12,85.79
EV075,01/05/2020 12:30,01/05/2020 17:07,54.06,,,4.6,64,46,18,87.61,43,,,,,4.46,11.16,1.89,70.1
EV075,01/06/2020 06:02,01/06/2020 16:34,79.54,,,9.183333333333334,89,55,34,160.3,34,,,,,13.51,28,0.32,118.48
EV075,01/07/2020 06:04,01/07/2020 16:15,130.18,,,10.066666666666666,89,42,47,219.95,35,,,,,13.56,27.66,0.32,178.41
EV075,01/08/2020 06:09,01/08/2020 16:46,116.22,,,10.166666666666666,88,39,49,225.54,43,,,,,15.09,27.83,0.78,181.85
EV075,01/09/2020 06:18,01/09/2020 20:32,133.31,,,13.983333333333333,90,33,57,262.82,32,,,,,14.39,35.74,5.56,207.14
EV075,01/10/2020 06:32,01/10/2020 11:29,34.41,,,4.45,90,70,20,93.2,30,,,,,5.3,14.02,10.31,63.57
EV075,01/10/2020 11:52,01/10/2020 15:50,27.19,,,3.2333333333333334,70,55,15,72.7,30,,,,,3.41,8.64,8.11,52.54
EV075,01/11/2020 07:38,01/11/2020 13:05,64.95,,,5.166666666666667,89,52,37,175.22,25,,,,,3.73,14.7,2.43,154.37
EV075,01/11/2020 14:01,01/11/2020 17:32,48.57,,,3.283333333333333,52,28,24,108.11,24,,,,,2.24,10.18,1.31,94.38
EV075,01/13/2020 14:55,01/13/2020 23:59,70.75,,,7.183333333333334,90,58,32,147.26,30,,,,,8,22.7,15.03,101.52
EV075,01/14/2020 00:00,01/14/2020 00:09,4.87,,,0.31666666666666665,59,58,1,5.59,24,,,,,0.32,0.5,0,4.77
EV075,01/14/2020 06:39,01/14/2020 07:24,4.68,,,0.7666666666666667,90,86,4,18.64,35,,,,,0.68,1.95,3.88,12.13
EV075,01/14/2020 07:49,01/14/2020 12:25,40.37,,,3.4,86,68,18,80.15,40,,,,,4.31,10.5,3.93,61.4
EV075,01/14/2020 12:47,01/14/2020 13:23,7.14,,,0.6166666666666667,68,65,3,16.78,47,,,,,0.61,1.7,1.15,13.33
EV075,01/14/2020 13:47,01/14/2020 16:04,13,,,1.55,65,57,8,35.42,46,,,,,2.05,3.85,3.04,26.48
EV075,01/15/2020 05:36,01/15/2020 17:12,104.25,,,11.033333333333333,91,39,52,240.46,37,,,,,13.37,31.86,5.14,190.09
EV075,01/16/2020 05:32,01/16/2020 16:26,105.08,,,10.683333333333334,90,37,53,247.91,44,,,,,14.44,33.22,4.86,195.39
EV075,01/17/2020 09:07,01/17/2020 12:52,33.86,,,3.35,88,74,14,65.24,35,,,,,2.66,9.17,6.59,46.81
EV075,01/17/2020 14:36,01/17/2020 15:39,14.370000000000001,,,1.0666666666666667,73,68,5,22.37,31,,,,,0.52,3.34,0.3,18.21
EV075,01/18/2020 06:26,01/18/2020 06:53,6.6,,,0.4666666666666667,90,86,4,14.91,27,,,,,0.71,1.34,0,12.86
EV075,01/18/2020 07:20,01/18/2020 07:55,8.93,,,0.6,86,83,3,16.78,22,,,,,0.77,2.08,0,13.93
EV075,01/18/2020 08:20,01/18/2020 09:56,18.02,,,1.2833333333333334,83,76,7,33.55,27,,,,,1.77,4.23,0.61,26.93
EV075,01/18/2020 10:19,01/18/2020 10:53,9.09,,,0.5833333333333334,76,72,4,16.78,30,,,,,0.63,1.79,0.6,13.76
EV075,01/18/2020 11:20,01/18/2020 11:55,8.850000000000001,,,0.55,72,68,4,16.78,32,,,,,0.75,1.8,0,14.23
EV075,01/18/2020 12:20,01/18/2020 12:52,8.78,,,0.5333333333333333,68,64,4,16.78,34,,,,,0.76,1.74,0,14.27
EV075,01/18/2020 13:20,01/18/2020 13:51,8.78,,,0.5333333333333333,64,61,3,16.78,33,,,,,0.66,1.79,0.28,14.04
