Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC
EV124,4/28/2021,2.0,0.2485484,0.043333333,0.045833333,0.089166666,,,0.0,,67.0,184.2365015,184.4850499,,
EV124,4/29/2021,2.0,48.466938,0.096666667,1.673333333,1.77,100.0,72.0,28.0,59.06208,76.0,184.4850499,232.9519879,100.0,72.0
EV124,5/6/2021,2.0,0.3728226,0.011111111,0.120277778,0.131388889,98.0,98.0,1.0,2.10936,66.0,232.9519879,233.3248105,98.0,97.0
EV124,5/7/2021,18.0,27.4645982,0.245277778,2.077497222,2.322775,92.0,54.0,48.0,101.24928,65.0,233.3248105,260.7894087,93.0,54.0
EV124,5/10/2021,22.0,38.4628649,0.34,3.248055556,3.588055556,100.0,51.0,55.0,116.0148,63.0,260.7894087,299.2522736,100.0,50.0
EV124,5/11/2021,24.0,43.3716958,0.409722222,3.339166667,3.7488888890000003,100.0,48.0,56.0,118.12416,66.0,299.2522736,342.6239694,100.0,47.0
EV124,5/12/2021,29.0,33.7404453,0.643611111,4.303611111,4.947222222000001,100.0,52.0,51.0,107.57736,66.0,342.6239694,376.3644147,100.0,52.0
EV124,5/13/2021,25.0,35.5424212,0.419166667,2.891666667,3.310833334,100.0,52.0,49.0,103.35864,65.0,376.3644147,411.9068359,100.0,52.0
EV124,5/14/2021,26.0,49.70968,0.739722222,3.7575,4.4972222219999995,100.0,37.0,65.0,137.1084,65.0,411.9068359,461.6165159,100.0,37.0
EV124,5/17/2021,25.0,45.4843572,0.586111111,3.300833333,3.886944444,100.0,37.0,67.0,141.32712,62.0,461.6165159,507.1008731,100.0,37.0
EV124,5/18/2021,8.0,1.242742,0.264444444,0.878611111,1.1430555550000001,100.0,100.0,0.0,,66.0,507.1008731,508.3436151,100.0,100.0
EV124,5/19/2021,21.0,40.6998005,0.44,3.697777778,4.137777778,100.0,43.0,58.0,122.34288,64.0,508.3436151,549.0434156,100.0,43.0
EV124,5/20/2021,25.0,34.2996792,0.695833333,3.605,4.300833333,100.0,55.0,47.0,99.13992,63.0,549.0434156,583.3430948,100.0,55.0
EV124,5/21/2021,24.0,39.8920182,0.966111111,2.989444444,3.955555555,100.0,50.0,54.0,113.90544,63.0,583.3430948,623.235113,100.0,48.0
EV124,5/24/2021,25.0,36.1016551,0.854722222,2.65,3.504722222,100.0,43.0,66.0,139.21776,75.0,623.235113,659.3367681,100.0,42.0
EV124,5/25/2021,29.0,37.6550826,1.008888889,3.505833333,4.514722222,100.0,52.0,52.0,109.68672,74.0,659.3367681,696.9918507,100.0,52.0
EV124,5/26/2021,26.0,38.8356875,0.858888889,3.8625,4.721388889,100.0,46.0,56.0,118.12416,69.0,696.9918507,735.8275382,100.0,46.0
EV124,5/27/2021,24.0,42.0668167,0.945833333,3.581666667,4.5275,100.0,48.0,57.0,120.23352,67.0,735.8275382,777.8943549,100.0,46.0
EV124,5/28/2021,25.0,53.6864544,0.925277778,4.2125,5.137777778,100.0,34.0,69.0,145.54584,67.0,777.8943549,831.5808093,100.0,34.0
EV124,6/1/2021,25.0,38.0900423,0.676944444,3.07,3.746944444,99.0,47.0,56.0,118.12416,70.0,831.5808093,869.6708516,99.0,46.0
EV124,6/2/2021,25.0,33.9889937,0.7725,3.041388889,3.813888889,100.0,51.0,52.0,109.68672,70.0,869.6708516,903.6598453,100.0,51.0
EV124,6/3/2021,24.0,39.5191956,0.507222222,4.430275,4.937497222,100.0,51.0,50.0,105.468,71.0,903.6598453,943.1790409,100.0,51.0
EV124,6/7/2021,23.0,41.8804054,0.750277778,2.877777778,3.628055556,100.0,39.0,65.0,137.1084,63.0,943.1790409,985.0594463,100.0,39.0
EV124,6/9/2021,24.0,32.311292,1.0525,2.509719444,3.562219444,100.0,54.0,47.0,99.13992,67.0,985.0594463,1017.370738,100.0,54.0
EV124,6/10/2021,21.0,35.7909696,0.754722222,3.747775,4.502497222,100.0,54.0,47.0,99.13992,68.0,1017.370738,1053.161708,100.0,54.0
EV124,6/11/2021,23.0,34.0511308,0.858888889,3.280830556,4.139719445,100.0,55.0,47.0,99.13992,71.0,1053.161708,1087.212839,100.0,55.0
EV124,6/14/2021,27.0,45.8571798,1.026944444,3.133611111,4.160555555,99.0,29.0,73.0,153.98328,78.0,1087.212839,1133.070019,100.0,28.0
EV124,6/15/2021,29.0,60.1487128,0.986944444,4.070275,5.057219443999999,100.0,19.0,82.0,172.96752,83.0,1133.070019,1193.218731,100.0,19.0
EV124,6/16/2021,26.0,40.2648408,0.693611111,3.973055556,4.666666666999999,100.0,55.0,45.0,94.9212,77.0,1193.218731,1233.483572,100.0,55.0
EV124,6/18/2021,16.0,25.0412513,0.678611111,2.3375,3.016111111,100.0,61.0,40.0,84.3744,73.0,1233.483572,1258.524823,100.0,61.0
EV124,6/21/2021,23.0,47.7834299,0.699444444,2.911388889,3.610833333,100.0,44.0,59.0,124.45224,72.0,1258.524823,1306.308253,100.0,44.0
EV124,6/22/2021,28.0,40.7619376,0.899444444,4.042777778,4.942222222,100.0,50.0,51.0,107.57736,72.0,1306.308253,1347.070191,100.0,49.0
EV124,6/23/2021,25.0,38.2143165,0.885,3.560005556,4.445005556,84.0,26.0,64.0,134.99904,72.0,1347.070191,1385.284507,84.0,26.0
