Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV135,07/23/2019,,2.64,,,0.33,,,,1.23,70.69999999999999,,,,
EV135,07/24/2019,,0,,,0.41,,,,0.3,66.44,,,,
EV135,07/25/2019,,102,,,4.09,,,,157.26,61.28,,,,
EV135,07/26/2019,,0.22,,,0.16,,,,1.68,67.16,,,,
EV135,07/27/2019,,0.01,,,0.01,,,,0.07,68.84,,,,
EV135,08/01/2019,,0.16,,,2.89,,,,16.09,72.02,,,,
EV135,08/02/2019,,,,,2.75,,,,,69.62,,,,
EV135,08/03/2019,,96.95,,,2.97,,,,163.47,65.6,,,,
EV135,08/05/2019,,0.23,,,2.49,,,,26.37,71.24,,,,
EV135,08/06/2019,,,,,0.5,,,,,70.7,,,,
EV135,08/07/2019,,19.24,,,3.05,,,,58.7,72.62,,,,
EV135,08/08/2019,,0,,,0.37,,,,2.9,74.78,,,,
EV135,08/09/2019,,,,,0.54,,,,,64.58,,,,
EV135,08/12/2019,,,,,0.84,,,,,54.74,,,,
EV135,08/13/2019,,0,,,0.02,,,,0.14,59.480000000000004,,,,
EV135,08/14/2019,,0.16,,,0.88,,,,2.41,63.02,,,,
EV135,08/15/2019,,,,,0.33,,,,,60.2,,,,
EV135,08/20/2019,,0.21,,,1.84,,,,8.57,67.88,,,,
EV135,08/21/2019,,0,,,0.15,,,,1.26,71.36,,,,
EV135,08/22/2019,,0,,,0.25,,,,0.85,60.38,,,,
EV135,08/23/2019,,0.25,,,1.97,,,,2.24,60.67999999999999,,,,
EV135,08/24/2019,,0.02,,,0.02,,,,0.18,63.38,,,,
EV135,08/26/2019,,52.81,,,1.01,,,,77.73,57.14,,,,
EV135,08/27/2019,,0,,,0.05,,,,0.19,58.82,,,,
EV135,08/28/2019,,0.04,,,0.15,,,,0.86,65.24000000000001,,,,
EV135,08/30/2019,,0.22,,,0.39,,,,2.94,61.46,,,,
EV135,08/31/2019,,0,,,0.08,,,,0.23,63.74,,,,
EV135,09/04/2019,,0.04,,,2.39,,,,9.54,67.88,,,,
EV135,09/05/2019,,0.07,,,1.73,,,,5.03,66.2,,,,
EV135,09/06/2019,,0.02,,,5.06,,,,3.67,63.08,,,,
EV135,09/07/2019,,0,,,0.02,,,,0.09,59,,,,
EV135,09/08/2019,,0.04,,,4.5,,,,0.87,57.14,,,,
EV135,09/09/2019,,0.15,,,5.58,,,,2.94,52.22,,,,
EV135,09/10/2019,,41.14,,,4.22,,,,70.47,51.02,,,,
EV135,09/11/2019,,0.04,,,4.26,,,,10.41,52.82,,,,
EV135,09/12/2019,,0,,,0.75,,,,1.36,52.82,,,,
EV135,09/16/2019,,0.97,,,0.1,,,,2.53,59.42,,,,
EV135,09/18/2019,,0,,,1.38,,,,0.68,45.800000000000004,,,,
EV135,09/23/2019,,,,,1.12,,,,,54.32,,,,
EV135,09/24/2019,,,,,2.6,,,,,53.66,,,,
EV135,09/25/2019,,,,,6.31,,,,,49.46,,,,
EV135,09/26/2019,,0,,,0.5,,,,2.43,46.22,,,,
EV135,09/27/2019,,,,,0.91,,,,,45.32,,,,
EV135,10/01/2019,,0,,,0.2,,,,3.39,33.02,,,,
EV135,10/02/2019,,,,,2.27,,,,,33.92,,,,
EV135,10/03/2019,,30.52,,,4.19,,,,93.4,38.36,,,,
