Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV039,5/1/2020,,25.143,,10.72,,,,37.33,59.728,62
EV039,5/2/2020,,39.389,,15.42,,,,59.21,94.736,64
EV039,5/3/2020,,43.078,,15.8,,,,56.72,90.752,59
EV039,5/4/2020,,13.753,,7.42,,,,23,36.8,60
EV039,5/5/2020,,9.877,,5.9,,,,16.48,26.368,66
EV039,5/6/2020,,20.485,,7.33,,,,25.64,41.024,68
EV039,5/7/2020,,16.847,,7.52,,,,24.36,38.976,71
EV039,5/8/2020,,41.956,,15.17,,,,52.9,84.64,69
EV039,5/9/2020,,36.958,,15.12,,,,55.25,88.4,69
EV039,5/10/2020,,42.279,,17.87,,,,62.78,100.448,58
EV039,5/11/2020,,12.444,,6.5,,,,21.22,33.952,59
EV039,5/12/2020,,11.339,,6.52,,,,18.84,30.144,59
EV039,5/13/2020,,18.36,,7.37,,,,28.13,45.008,58
EV039,5/14/2020,,18.224,,7.4,,,,26.19,41.904,58
EV039,5/15/2020,,38.777,,17.3,,,,54.5,87.2,62
EV039,5/16/2020,,21.743,,7.2,,,,30.5,48.8,64
EV039,5/17/2020,,24.684,,7.31,,,,33.47,53.552,64
EV039,5/18/2020,,0,,0,,,,0,0,63
EV039,5/19/2020,,0,,0,,,,0,0,60
EV039,5/20/2020,,16.354,,7,,,,24.36,38.976,60
EV039,5/21/2020,,17.476,,7.4,,,,24.8,39.68,62
EV039,5/22/2020,,26.112,,9.4,,,,36.15,57.84,64
EV039,5/23/2020,,17.867,,7.27,,,,27.3,43.68,64
EV039,5/24/2020,,16.184,,7.76,,,,22.87,36.592,66
EV039,5/25/2020,,15.742,,7.54,,,,25.33,40.528,72
EV039,5/26/2020,,0,,0,,,,0,0,72
EV039,5/27/2020,,22.304,,7.36,,,,25.77,41.232,73
EV039,5/28/2020,,21.624,,8.54,,,,30.67,49.072,65
EV039,5/29/2020,,47.753,,16.82,,,,61.43,98.288,61
EV039,5/30/2020,,34.918,,14,,,,41.35,66.16,66
EV039,5/31/2020,,35.547,,15.63,,,,50.06,80.096,64
EV039,6/1/2020,,13.107,,6.38,,,,18.88,30.208,63
EV039,6/2/2020,,0,,0.02,,,,0.02,0.032,70
EV039,6/3/2020,,21.165,,7.46,,,,26.78,42.848,73
EV039,6/4/2020,,20.723,,6.97,,,,25.36,40.576,71
EV039,6/5/2020,,39.576,,15.94,,,,59.81,95.696,66
EV039,6/6/2020,,20.468,,6.9,,,,23.94,38.304,64
EV039,6/7/2020,,33.031,,16.51,,,,48.82,78.112,63
EV039,6/8/2020,,33.456,,14.02,,,,42.38,67.808,65
EV039,6/9/2020,,12.648,,7.85,,,,20.25,32.4,68
EV039,6/10/2020,,32.215,,13.08,,,,41.49,66.384,69
EV039,6/11/2020,,18.479,,7.36,,,,28.37,45.392,70
EV039,6/12/2020,,40.392,,15.48,,,,54.43,87.088,67
EV039,6/13/2020,,44.965,,18.28,,,,58.95,94.32,64
EV039,6/14/2020,,39.253,,16.2,,,,52.97,84.752,64
EV039,6/15/2020,,9.503,,5.22,,,,12.98,20.768,70
EV039,6/16/2020,,28.05,,13.38,,,,43.77,70.032,71
EV039,6/17/2020,,24.854,,9.23,,,,34.16,54.656,
EV039,6/18/2020,,21.046,,7.07,,,,26.36,42.176,71
EV039,6/19/2020,,36.958,,15.52,,,,54.38,87.008,69
EV039,6/20/2020,,28.849,,16.08,,,,44.23,70.768,59
EV039,6/21/2020,,47.158,,18.07,,,,58.14,93.024,
EV039,6/22/2020,,11.934,,7.57,,,,21.4,34.24,64
EV039,6/23/2020,,12.206,,6.97,,,,18.32,29.312,62
EV039,6/24/2020,,31.008,,9.19,,,,36.92,59.072,62
EV039,6/25/2020,,14.654,,7.29,,,,19.64,31.424,62
