Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,HV Acces. Energy,LV Acces. Energy,Elect. Heater Energy,Traction Energy
EV071,01/20/2020 15:39,01/20/2020 23:59,105.16999999999999,,,8.033333333333333,89,37,52,244.18,34,,,,,9.91,21.01,62.6,150.67
EV071,01/21/2020 00:00,01/21/2020 02:12,55.15,,,3.9166666666666665,37,19,18,154.71,32,,,,,2.72,5.56,28.53,117.91
EV071,01/21/2020 07:52,01/21/2020 08:04,4.58,,,0.21666666666666667,89,87,2,9.32,49,,,,,0.2,0.5,1.63,6.99
EV071,01/23/2020 06:16,01/23/2020 12:10,67.19,,,5.233333333333333,87,62,25,111.84,31,,,,,6.07,14.8,1.17,89.79
EV071,01/23/2020 13:16,01/23/2020 17:20,41.4,,,3.966666666666667,62,45,17,78.29,36,,,,,4.17,9.98,0.28,63.87
EV071,01/24/2020 07:11,01/24/2020 08:08,13.360000000000001,,,0.7166666666666667,89,84,5,22.37,27,,,,,0.74,2.17,0.33,19.13
EV071,01/24/2020 08:15,01/24/2020 11:37,43.65,,,3.316666666666667,84,68,16,72.7,33,,,,,3.57,8.84,0,60.28
EV071,01/24/2020 12:05,01/24/2020 17:13,53.13,,,5.066666666666666,68,50,18,85.74,43,,,,,5.65,10.13,0.86,69.11
EV071,01/25/2020 15:57,01/25/2020 23:59,54.6,,,7.933333333333334,90,65,25,113.7,32,,,,,11.75,19.38,1.31,81.26
EV071,01/26/2020 00:00,01/26/2020 02:30,36.349999999999994,,,4.316666666666666,65,55,10,82.02,28,,,,,6.53,5.92,0,69.56
EV071,01/26/2020 07:51,01/26/2020 12:30,58.64,,,4.183333333333334,86,68,18,87.61,33,,,,,4,12.75,1.23,69.63
EV071,01/26/2020 13:49,01/26/2020 16:52,36.58,,,3,67,54,13,57.78,44,,,,,2.64,8.1,0.57,46.47
EV071,01/27/2020 06:52,01/27/2020 07:23,6.76,,,0.5333333333333333,90,87,3,13.05,36,,,,,0.62,1.19,0,11.24
EV071,01/27/2020 07:50,01/27/2020 08:24,8.850000000000001,,,0.5833333333333334,86,83,3,14.91,32,,,,,0.77,1.61,0,12.52
EV071,01/27/2020 08:49,01/27/2020 09:22,8.93,,,0.5666666666666667,83,80,3,14.91,36,,,,,0.74,1.47,0.32,12.38
EV071,01/27/2020 09:49,01/27/2020 10:24,9.01,,,0.5666666666666667,80,77,3,14.91,32,,,,,0.69,1.57,0.31,12.34
EV071,01/27/2020 10:49,01/27/2020 11:24,9.09,,,0.5833333333333334,77,74,3,14.91,31,,,,,0.88,1.62,0.3,12.1
EV071,01/27/2020 11:49,01/27/2020 12:22,8.93,,,0.5666666666666667,73,70,3,14.91,32,,,,,0.62,1.55,0.3,12.44
EV071,01/27/2020 12:55,01/27/2020 14:24,17.939999999999998,,,1.1666666666666667,68,60,8,37.28,32,,,,,1.89,3.62,2.01,29.75
EV071,01/27/2020 14:49,01/27/2020 15:09,6.21,,,0.3333333333333333,60,58,2,11.18,30,,,,,0.46,0.93,0.28,9.51
EV071,01/28/2020 18:22,01/28/2020 18:41,12.04,,,0.3,90,86,4,18.64,33,,,,,0.16,0.84,0,17.64
EV071,01/29/2020 06:14,01/29/2020 11:24,65.48,,,4.3,89,64,25,119.3,30,,,,,4.58,11.38,1.86,101.48
EV071,01/29/2020 12:28,01/29/2020 17:12,54.290000000000006,,,4.15,64,42,22,100.66,38,,,,,5.32,11.51,0.27,83.56
EV071,01/30/2020 07:17,01/30/2020 07:27,2.02,,,0.18333333333333332,88,88,0,3.73,25,,,,,0.15,0.5,0,3.07
EV071,01/30/2020 07:51,01/30/2020 10:25,26.49,,,1.8666666666666667,88,77,11,48.46,28,,,,,2.29,5.31,2.21,38.65
EV071,01/30/2020 10:50,01/30/2020 12:26,17.79,,,1.2833333333333334,77,70,7,31.69,34,,,,,1.74,3.61,1.21,25.13
EV071,01/30/2020 12:51,01/30/2020 13:26,8.62,,,0.55,70,67,3,14.91,36,,,,,0.51,1.49,0,12.9
EV071,01/30/2020 13:50,01/30/2020 14:24,8.93,,,0.5833333333333334,67,64,3,14.91,34,,,,,0.59,1.55,0.29,12.48
EV071,01/30/2020 14:50,01/30/2020 15:09,6.14,,,0.3333333333333333,63,61,2,7.46,33,,,,,0.45,1,0.28,5.73
EV071,01/31/2020 15:43,01/31/2020 16:18,12.04,,,0.5833333333333334,87,83,4,11.18,35,,,,,0.83,1.5,0,8.86
EV071,01/31/2020 16:53,01/31/2020 18:44,75.42,,,1.85,83,54,29,132.34,34,,,,,1.1,4.81,0,126.43
EV071,02/01/2020 06:29,02/01/2020 11:24,65.94000000000001,,,4.5,89,61,28,128.62,33,,,,,5.31,12.5,3.06,107.74
EV071,02/01/2020 12:33,02/01/2020 17:07,53.52,,,4.333333333333333,61,39,22,102.52,46,,,,,4.67,10.54,1.32,85.99
EV071,02/01/2020 15:57,02/01/2020 23:51,57.48,,,6.1,92,66,26,124.89,40,,,,,9.59,16.35,0,98.95
EV071,02/02/2020 06:18,02/02/2020 16:27,78.99000000000001,,,9.9,89,56,33,156.58,51,,,,,14.25,20.47,0,121.86
EV071,02/03/2020 06:37,02/03/2020 06:59,4.819999999999999,,,0.38333333333333336,90,88,2,7.46,43,,,,,0.29,0.83,0,6.34
EV071,02/03/2020 07:22,02/03/2020 07:58,8.78,,,0.6166666666666667,88,85,3,11.18,41,,,,,0.52,1.55,0,9.11
EV071,02/03/2020 08:21,02/03/2020 08:56,8.47,,,0.6,85,82,3,11.18,42,,,,,0.71,1.52,0,8.96
EV071,02/03/2020 09:24,02/03/2020 09:55,8.08,,,0.5333333333333333,82,80,2,11.18,42,,,,,0.41,1.49,0,9.29
EV071,02/03/2020 10:21,02/03/2020 10:55,8.7,,,0.5833333333333334,79,76,3,13.05,41,,,,,0.6,1.62,0.31,10.52
EV071,02/03/2020 11:21,02/03/2020 11:55,8.7,,,0.5833333333333334,76,74,2,13.05,42,,,,,0.51,1.5,0,11.04
EV071,02/03/2020 12:22,02/03/2020 12:56,8.62,,,0.55,74,71,3,13.05,38,,,,,0.73,1.37,0,10.95
EV071,02/03/2020 13:20,02/03/2020 13:53,8.850000000000001,,,0.5666666666666667,70,68,2,13.05,35,,,,,0.48,1.37,0.29,10.91
EV071,02/03/2020 14:21,02/03/2020 14:52,8.47,,,0.5333333333333333,68,65,3,13.05,36,,,,,0.55,1.36,0,11.14
EV071,02/03/2020 15:20,02/03/2020 15:42,6.14,,,0.35,64,63,1,7.46,32,,,,,0.38,0.89,0.28,5.9
EV071,02/04/2020 06:04,02/04/2020 16:44,138.64,,,10.433333333333334,90,37,53,246.05,16,,,,,10.32,28.19,1.26,206.28
EV071,02/05/2020 06:10,02/05/2020 16:46,80.93,,,10.516666666666667,89,49,40,184.54,22,,,,,15.58,28.16,1.07,139.73
EV071,02/06/2020 14:47,02/06/2020 17:25,58.49,,,2.5,88,73,15,67.1,24,,,,,1.9,6.85,0,58.35
EV071,02/06/2020 18:01,02/06/2020 18:52,35.5,,,0.8333333333333334,73,54,19,87.61,24,,,,,0.2,2.37,0.61,84.44
EV071,02/08/2020 06:26,02/08/2020 06:55,6.76,,,0.3333333333333333,88,86,2,13.05,39,,,,,0.41,0.96,0.33,11.36
EV071,02/08/2020 07:21,02/08/2020 07:55,8.850000000000001,,,0.55,85,82,3,14.91,30,,,,,0.5,1.66,0,12.75
EV071,02/08/2020 08:21,02/08/2020 08:56,8.93,,,0.5833333333333334,82,79,3,14.91,31,,,,,0.52,1.97,0,12.42
EV071,02/08/2020 09:20,02/08/2020 09:58,8.78,,,0.6333333333333333,79,76,3,14.91,37,,,,,0.56,1.74,0,12.61
EV071,02/08/2020 10:20,02/08/2020 10:53,8.850000000000001,,,0.5666666666666667,75,72,3,14.91,39,,,,,0.66,1.41,0,12.84
EV071,02/08/2020 11:22,02/08/2020 11:55,8.54,,,0.5666666666666667,72,69,3,14.91,39,,,,,0.67,1.31,0,12.92
EV071,02/08/2020 12:21,02/08/2020 12:54,8.54,,,0.55,69,65,4,16.78,47,,,,,0.67,1.06,0,15.05
EV071,02/08/2020 13:24,02/08/2020 13:53,8,,,0.5,65,62,3,14.91,49,,,,,0.6,0.97,0,13.34
EV071,02/08/2020 14:20,02/08/2020 14:54,8.93,,,0.5666666666666667,62,58,4,16.78,49,,,,,0.75,1.18,0,14.85
EV071,02/08/2020 15:22,02/08/2020 15:58,8.31,,,0.6166666666666667,58,54,4,16.78,47,,,,,0.77,1.32,0,14.69
EV071,02/08/2020 16:21,02/08/2020 16:55,8.7,,,0.5833333333333334,54,50,4,16.78,41,,,,,0.79,1.33,0,14.66
EV071,02/08/2020 17:22,02/08/2020 17:56,8.93,,,0.5833333333333334,50,47,3,16.78,37,,,,,0.69,1.72,0,14.36
EV071,02/08/2020 18:22,02/08/2020 18:57,8.850000000000001,,,0.6,46,43,3,16.78,35,,,,,0.77,1.66,0.27,14.07
EV071,02/08/2020 19:24,02/08/2020 19:57,8.39,,,0.5666666666666667,42,39,3,14.91,34,,,,,0.77,1.64,0,12.5
EV071,02/08/2020 20:22,02/08/2020 20:53,8.62,,,0.5333333333333333,39,36,3,14.91,36,,,,,0.6,1.42,0,12.9
EV071,02/08/2020 21:21,02/08/2020 21:55,8.7,,,0.5833333333333334,36,32,4,16.78,37,,,,,0.84,1.54,0,14.4
EV071,02/08/2020 22:50,02/08/2020 22:59,4.35,,,0.16666666666666666,32,31,1,5.59,37,,,,,0.05,0.46,0,5.08
EV071,02/09/2020 07:34,02/09/2020 13:03,102.6,,,4.1,89,49,40,186.4,32,,,,,3.14,12.28,2.47,168.51
EV071,02/09/2020 14:13,02/09/2020 17:25,64.86,,,2.783333333333333,48,21,27,126.75,29,,,,,2.08,8.01,0.53,116.14
EV071,02/10/2020 14:54,02/10/2020 18:39,90.1,,,3.4833333333333334,92,58,34,156.58,32,,,,,2.47,9.34,1.96,142.8
EV071,02/11/2020 06:06,02/11/2020 16:15,129.70999999999998,,,9.95,90,40,50,234.86,26,,,,,14.01,27.62,0,193.23
EV071,02/12/2020 15:31,02/12/2020 23:59,104.31,,,8.383333333333333,92,51,41,191.99,26,,,,,10.64,20.37,0,160.98
EV071,02/13/2020 00:00,02/13/2020 02:20,58.02,,,4.25,51,38,13,102.52,22,,,,,3.96,5.65,0,92.91
EV071,02/13/2020 15:20,02/13/2020 16:18,19.34,,,0.9666666666666667,93,85,8,35.42,33,,,,,0.98,2.45,0,31.98
EV071,02/13/2020 16:58,02/13/2020 18:39,75.11,,,1.7,85,58,27,126.75,33,,,,,0.93,4.51,0,121.31
EV071,02/14/2020 06:33,02/14/2020 11:20,65.48,,,4.483333333333333,90,65,25,117.43,29,,,,,4.82,11.78,1.57,99.26
EV071,02/14/2020 12:26,02/14/2020 17:03,42.25,,,4.616666666666666,65,47,18,83.88,47,,,,,5.15,9.86,0.56,68.31
EV071,02/15/2020 05:54,02/15/2020 16:35,129.09,,,10.333333333333334,92,44,48,219.95,37,,,,,10.9,24.51,0.26,184.28
EV071,02/16/2020 06:55,02/16/2020 07:20,6.45,,,0.43333333333333335,92,88,4,14.91,38,,,,,0.52,1.01,0,13.39
EV071,02/16/2020 07:50,02/16/2020 08:21,8.78,,,0.5333333333333333,88,85,3,16.78,35,,,,,0.91,1.51,0,14.36
EV071,02/16/2020 08:50,02/16/2020 09:23,9.01,,,0.5666666666666667,84,81,3,14.91,36,,,,,0.71,1.41,0,12.79
EV071,02/16/2020 09:50,02/16/2020 10:21,8.7,,,0.5166666666666667,81,77,4,16.78,37,,,,,0.69,1.46,0.31,14.32
EV071,02/16/2020 10:50,02/16/2020 11:20,8.78,,,0.5166666666666667,77,74,3,16.78,37,,,,,0.6,1.52,0.3,14.35
EV071,02/16/2020 11:49,02/16/2020 12:24,8.93,,,0.5833333333333334,73,69,4,16.78,38,,,,,0.77,1.58,0.3,14.13
