Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV192,11/10/2022 13:11:00,11/10/2022 14:21:00,17,0.15,0.84,0.99,86.4,68.4,18,38.5,65.2333333333333,1922,1939,0.15151515151515152,,14.325551615445233
EV192,11/14/2022 07:19:00,11/14/2022 08:47:00,21,0.14,1.14,1.28,93.2,69.2,24,51.300000000000004,56.1333333333333,1946,1967,0.10937500000000003,,16.018810091430666
EV192,11/14/2022 11:38:00,11/14/2022 12:58:00,18,0.06,0.7,0.76,86,70,16,34.2,78.8333333333333,1967,1985,0.07894736842105263,,16.642857142857142
EV192,11/14/2022 14:15:00,11/14/2022 16:01:00,44,0.25,1.3900000000000001,1.64,77.6,41.6,36,77.1,67.3333333333333,1985,2029,0.1524390243902439,,18.75963963963964
EV192,11/15/2022 06:25:00,11/15/2022 08:53:00,27,0.41000000000000003,1.34,1.76,100,71.6,28.4,60.8,53.0375,2029,2056,0.2342857142857143,,10.124945887445886
EV192,11/15/2022 12:44:00,11/15/2022 13:54:00,27,0.21,0.9299999999999999,1.1400000000000001,93.2,72,21.2,45.4,73.1,2056,2083,0.1842105263157895,,24.029113924050634
EV192,11/15/2022 14:46:00,11/15/2022 17:06:00,28,0.27999999999999997,1.5,1.77,72,46.4,25.6,54.7,64.875,2083,2111,0.15730337078651682,,12.245128214467837
EV192,11/16/2022 06:57:00,11/16/2022 08:47:00,26,0.16,1.31,1.47,100,70,30,64.2,53.1428571428571,2111,2137,0.108843537414966,,7.989867679490321
EV192,11/16/2022 11:23:00,11/16/2022 12:35:00,12,0.21000000000000002,0.65,0.86,85.2,72,13.2,28.3,75.3,2137,2149,0.2441860465116279,,12.599244505494505
EV192,11/16/2022 14:12:00,11/16/2022 15:58:00,29,0.19,1.17,1.36,82.8,56.4,26.4,56.5,71.6,2149,2178,0.13970588235294118,,22.487662141779786
EV192,11/17/2022 06:56:00,11/17/2022 08:52:00,28,0.23,1.37,1.59,100,71.2,28.8,61.6,53.425,2178,2206,0.14375,,10.924428844605474
EV192,11/17/2022 12:31:00,11/17/2022 14:04:00,40,0.1,1.27,1.37,96,61.2,34.8,74.4,70.6,2206,2246,0.072992700729927,,29.66068580542265
EV192,11/28/2022 06:54:00,11/28/2022 08:54:00,28,0.23,1.36,1.6,100,73.2,26.8,57.300000000000004,56.7428571428571,2246,2274,0.14465408805031446,,11.604627297904608
EV192,11/28/2022 14:26:00,11/28/2022 16:34:00,42,0.11000000000000001,1.78,1.8900000000000001,100,62.8,37.2,79.7,60.6666666666667,2274,2316,0.058201058201058205,,23.905445795339414
EV192,11/29/2022 06:55:00,11/29/2022 09:04:00,28,0.22,1.38,1.61,100,73.2,26.8,57.4,55.7428571428571,2316,2344,0.1375,,11.944942031148928
EV192,11/29/2022 12:49:00,11/29/2022 15:30:00,61,0.18,1.96,2.14,96.8,43.2,53.6,114.7,63.64,2344,2405,0.08411214953271028,,26.659942595459235
