Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Drive Cycle
EV037,5/14/19 8:14 AM,5/14/19 8:30 AM,5.26,0,0.295000,0.295000,60.5,52,8.5,15.96,63,110.6,115.80,UDDS
EV037,5/14/19 8:53 AM,5/14/19 9:11 AM,5.30,0,0.293611,0.293611,52,44,8,14.62,65,115.8,121.10,UDDS
EV037,5/14/19 9:32 AM,5/14/19 9:50 AM,5.36,0,0.295000,0.295000,44,36,8,14.28,65,121.1,126.30,UDDS
EV037,5/14/19 10:11 AM,5/14/19 10:29 AM,5.34,0,0.295000,0.295000,36,25.7,10.3,13.99,66,126.3,131.70,UDDS
EV037,5/14/19 10:51 AM,5/14/19 11:08 AM,3.44,0,0.295000,0.295000,25.7,15.9,9.8,7.37,67,131.7,135.00,UDDS
EV037,5/15/19 8:16 AM,5/15/19 9:16 AM,19.42,0,1.000556,1.000556,92.6,68.5,24.1,47.00,62,135.1,154.40,Goods Movement
EV037,5/15/19 9:36 AM,5/15/19 10:36 AM,19.59,0,1.000556,1.000556,68.5,46.4,22.1,42.49,68,154.4,173.90,Goods Movement
EV037,5/15/19 10:58 AM,5/15/19 11:58 AM,19.54,0,1.000556,1.000556,46.4,23.8,22.6,42.94,68,173.9,193.30,Goods Movement
EV037,5/16/19 9:39 AM,5/16/19 10:14 AM,22.69,0,0.579167,0.579167,99.7,73.2,26.5,52.11,60,204.6,226.60,HHDDT Cruise
EV037,5/16/19 10:38 AM,5/16/19 11:12 AM,22.80,0,0.579167,0.579167,73.2,48.3,24.9,48.59,60,226.6,249.30,HHDDT Cruise
EV037,5/16/19 11:33 AM,5/16/19 12:07 PM,22.82,0,0.579167,0.579167,48.3,23,25.3,49.07,63,249.3,272.00,HHDDT Cruise
EV037,5/17/19 8:08 AM,5/17/19 8:43 AM,22.75,0,0.579167,0.579167,99.8,74.1,25.7,50.64,57,272,294.80,HHDDT Cruise
EV037,5/17/19 9:10 AM,5/17/19 9:45 AM,22.86,0,0.579167,0.579167,74.1,49.6,24.5,47.89,60,294.8,317.50,HHDDT Cruise
EV037,5/17/19 10:08 AM,5/17/19 11:08 AM,19.55,0,0.016676,0.016676,49.6,26.3,23.3,44.61,62,317.5,337.00,Goods Movement
