Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV133,11/20/2019,,3.97,,,1.72,,,,67.36,31.04,,,,
EV133,11/21/2019,,3.02,,,0.38,,,,24.27,28.04,,,,
EV133,11/22/2019,,,,,0.21,,,,,26.54,,,,
EV133,11/26/2019,,0.06,,,0.04,,,,1.57,23,,,,
EV133,11/27/2019,,0,,,0.12,,,,1.36,22.7,,,,
EV133,11/29/2019,,92.07,,,8.54,,,,294.01,13.52,,,,
EV133,11/30/2019,,82.18,,,11.75,,,,274.87,17.06,,,,
EV133,12/01/2019,,0,,,12,,,,0,15.919999999999998,,,,
EV133,12/02/2019,,55.17,,,11.08,,,,204.04,25.46,,,,
EV133,12/03/2019,,93.35,,,11.22,,,,256.85,31.88,,,,
EV133,12/04/2019,,41.91,,,7.15,,,,130.13,33.98,,,,
EV133,12/05/2019,,37.39,,,11.67,,,,95.88,33.260000000000005,,,,
EV133,12/06/2019,,76.52,,,10.63,,,,217.54,30.02,,,,
EV133,12/07/2019,,0.01,,,11.9,,,,0.45,30.2,,,,
EV133,12/08/2019,,0,,,11.98,,,,0,31.700000000000003,,,,
EV133,12/09/2019,,107.98,,,11.97,,,,301.7,28.22,,,,
EV133,12/10/2019,,96.69,,,11.27,,,,268.4,27.8,,,,
EV133,12/11/2019,,91.4,,,11.63,,,,261,27.38,,,,
EV133,12/12/2019,,86.95,,,11.03,,,,248.61,30.86,,,,
EV133,12/13/2019,,79.36,,,10.08,,,,224.11,30.86,,,,
EV133,12/14/2019,,0,,,12,,,,0,27.2,,,,
EV133,12/15/2019,,0,,,12,,,,0,23.96,,,,
EV133,12/16/2019,,116.1,,,9.54,,,,380.6,21.98,,,,
EV133,12/17/2019,,84.96,,,9.4,,,,286.76,19.7,,,,
EV133,12/18/2019,,59.82,,,11.76,,,,201.04,18.86,,,,
EV133,12/19/2019,,62.77,,,11.47,,,,211.35,22.7,,,,
EV133,12/20/2019,,142.23,,,10.17,,,,379.19,38,,,,
EV133,12/21/2019,,0,,,11.88,,,,0.02,39.68,,,,
EV133,12/22/2019,,0,,,12,,,,0,36.98,,,,
EV133,12/23/2019,,92.9,,,11.63,,,,236.62,32.06,,,,
EV133,12/24/2019,,92.85,,,11.82,,,,267.57,28.1,,,,
EV133,12/25/2019,,0,,,12,,,,0,24.68,,,,
EV133,12/26/2019,,142.15,,,11.57,,,,386.08,20.48,,,,
EV133,12/27/2019,,90.66,,,11.73,,,,279.69,18.2,,,,
EV133,12/28/2019,,0,,,12,,,,0,21.799999999999997,,,,
EV133,12/29/2019,,0,,,8.5,,,,0,24.62,,,,
EV133,12/31/2019,,17.25,,,3.49,,,,58.19,28.28,,,,
EV133,01/01/2020,,0,,,11.95,,,,0.01,30.02,,,,
EV133,01/02/2020,,158.2,,,11.82,,,,391.04,26.06,,,,
EV133,01/03/2020,,68.48,,,11.83,,,,169.32,28.130000000000003,,,,
EV133,01/04/2020,,0,,,11.99,,,,0.01,25.655,,,,
EV133,01/05/2020,,0,,,5.81,,,,0,24.125,,,,
EV133,01/06/2020,,83.31,,,8.47,,,,242.7,26.060000000000002,,,,
EV133,01/07/2020,,165.1,,,11.94,,,,411.8,30.560000000000002,,,,
EV133,01/08/2020,,111.62,,,23.58,,,,297.02,27.455,,,,
EV133,01/09/2020,,49.57,,,17.09,,,,127.39,20.3,,,,
EV133,01/10/2020,,146.62,,,,,,,152.41,15.485,,,,
EV133,01/11/2020,,,,,,,,,,24.485,,,,
EV133,01/12/2020,,,,,,,,,,24.755,,,,
EV133,01/13/2020,,77.1,,,,,,,,18.725,,,,
EV133,01/14/2020,,97.34,,,,,,,,17.015,,,,
EV133,01/15/2020,,107.56,,,,,,,,13.864999999999998,,,,
EV133,01/16/2020,,87.19,,,,,,,,26.015,,,,
EV133,01/17/2020,,109.4,,,,,,,174.67,21.424999999999997,,,,
EV133,01/18/2020,,,,,17.23,,,,,21.425,,,,
EV133,01/19/2020,,,,,,,,,,27.905,,,,
EV133,01/20/2020,,,,,,,,,,27.5,,,,
EV133,01/21/2020,,57.27,,,,,,,,29.075,,,,
EV133,01/22/2020,,21.11,,,12.02,,,,50.58,27.815,,,,
EV133,01/23/2020,,33.25,,,17.92,,,,,31.055,,,,
EV133,01/24/2020,,27.96,,,,,,,76.35,30.155,,,,
EV133,01/25/2020,,0.19,,,,,,,,28.625,,,,
EV133,01/26/2020,,,,,,,,,,28.265,,,,
EV133,01/27/2020,,0.17,,,9.46,,,,2.22,26.915,,,,
EV133,02/05/2020,,0,,,1.38,,,,1.31,21.244999999999997,,,,
EV133,02/06/2020,,71.36,,,17.79,,,,,26.465,,,,
EV133,02/07/2020,,65.88,,,,,,,,27.68,,,,
EV133,02/08/2020,,,,,,,,,,26.195,,,,
EV133,02/09/2020,,,,,,,,,,20.075,,,,
EV133,02/10/2020,,111.29,,,,,,,1.61,23.63,,,,
EV133,02/11/2020,,0.38,,,,,,,,24.44,,,,
EV133,02/12/2020,,94.58,,,,,,,,25.655,,,,
EV133,02/13/2020,,126.1,,,,,,,,26.195,,,,
EV133,02/14/2020,,108.24,,,,,,,,26.284999999999997,,,,
