Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV030,9/30/18 9:47 PM,9/30/18 10:00 PM,0.291,0.153,0.053,0.206,93,90.5,2.5,0.87,69.8,,
EV030,9/30/18 7:52 PM,9/30/18 8:02 PM,0.211,0.125,0.042,0.167,96.5,94.5,2,0.52,72.32,,
EV030,9/30/18 6:17 PM,9/30/18 7:17 PM,16.306,0.186,0.819,1.006,100,94,6,29.365,74.84,,
EV030,9/30/18 5:21 PM,9/30/18 6:06 PM,13.692,0.083,0.675,0.758,98.5,62.5,36,24.441,77.36,,
EV030,9/30/18 4:16 PM,9/30/18 5:06 PM,13.977,0.133,0.694,0.828,99.5,71.5,28,25.487,79.88,,
EV030,9/30/18 3:17 PM,9/30/18 4:02 PM,13.77,0.042,0.708,0.750,98,59,39,25.56,82.4,,
EV030,9/30/18 2:15 PM,9/30/18 3:00 PM,13.732,0.047,0.692,0.739,99,73.5,25.5,25.402,85.64,,
EV030,9/30/18 1:15 PM,9/30/18 2:05 PM,13.991,0.117,0.708,0.825,98.5,58,40.5,27.004,84.92,,
EV030,9/30/18 11:14 AM,9/30/18 12:59 PM,27.685,0.300,1.444,1.744,94.5,73.5,21,50.243,79.88,,
EV030,9/30/18 10:15 AM,9/30/18 11:04 AM,13.968,0.056,0.753,0.808,74.5,44.5,30,24.405,74.12,,
EV030,9/30/18 8:13 AM,9/30/18 10:05 AM,27.182,0.506,1.361,1.867,80,16.5,63.5,47.06,65.12,,
EV030,9/28/18 9:22 PM,9/28/18 9:26 PM,0.33,0.014,0.044,0.058,85.5,84,1.5,0.583,61.88,,
EV030,9/28/18 4:32 PM,9/28/18 4:37 PM,0.233,0.031,0.047,0.078,87.5,85,2.5,0.513,83.84,,
EV030,9/27/18 4:26 PM,9/27/18 4:34 PM,0.24,0.094,0.042,0.136,92.5,88.5,4,0.56,98.96,,
EV030,9/27/18 12:23 PM,9/27/18 12:30 PM,2.608,0.006,0.111,0.117,98.5,92,6.5,4.421,92.48,,
EV030,9/27/18 10:26 AM,9/27/18 12:07 PM,27.492,0.225,1.450,1.675,65,31,34,54.328,84.92,,
EV030,9/27/18 8:29 AM,9/27/18 10:15 AM,27.3,0.289,1.489,1.778,96.5,66.5,30,55.435,73.4,,
EV030,9/27/18 6:24 AM,9/27/18 8:17 AM,28.169,0.347,1.542,1.889,59,29.5,29.5,61.945,64.76,,
EV030,9/27/18 5:41 AM,9/27/18 6:12 AM,11.948,0.022,0.497,0.519,92,58,34,20.576,61.88,,
EV030,9/26/18 4:21 PM,9/26/18 4:27 PM,0.263,0.044,0.044,0.089,97,93.5,3.5,0.545,102.56,,
EV030,9/25/18 7:02 PM,9/25/18 7:08 PM,0.226,0.058,0.044,0.103,97.5,96.5,1,0.475,83.48,,
EV030,9/25/18 4:38 PM,9/25/18 6:47 PM,30.412,0.625,1.514,2.139,99.5,94,5.5,63.764,90.32,,
EV030,9/25/18 6:00 AM,9/25/18 4:26 PM,150.784,2.908,7.514,10.422,89,55,34,293.766,76.28,,
EV030,9/24/18 5:26 PM,9/24/18 5:31 PM,0.264,0.014,0.067,0.081,94,90.5,3.5,0.588,92.12,,
EV030,9/24/18 5:03 PM,9/24/18 5:11 PM,0.236,0.078,0.058,0.136,97.5,93.5,4,0.559,93.92,,
EV030,9/23/18 6:12 PM,9/23/18 6:15 PM,0.22,0.008,0.042,0.050,99,97,2,0.394,86,,
EV030,9/23/18 5:43 PM,9/23/18 5:46 PM,0.158,0.017,0.028,0.044,99.5,98.5,1,0.318,82.04,,
EV030,9/23/18 3:32 PM,9/23/18 3:47 PM,2.477,0.058,0.186,0.244,62.5,53,9.5,4.124,97.88,,
EV030,9/23/18 1:13 PM,9/23/18 3:07 PM,27.503,0.419,1.472,1.892,100,60,40,52.112,95.36,,
EV030,9/23/18 12:09 PM,9/23/18 12:59 PM,13.953,0.144,0.689,0.833,100,61,39,25.633,91.76,,
EV030,9/23/18 10:04 AM,9/23/18 11:58 AM,27.326,0.569,1.331,1.900,99.5,64,35.5,56.938,83.84,,
EV030,9/23/18 9:37 AM,9/23/18 9:46 AM,2.524,0.000,0.142,0.142,76,62.5,13.5,5.485,78.44,,
EV030,9/21/18 5:28 PM,9/21/18 5:37 PM,0.283,0.067,0.078,0.144,79,75.5,3.5,0.654,82.76,,
EV030,9/21/18 7:54 AM,9/21/18 8:18 AM,2.932,0.103,0.306,0.408,93.5,94,-0.5,5.374,63.68,,
EV030,9/21/18 7:37 AM,9/21/18 7:40 AM,0.171,0.000,0.039,0.039,16,15,1,0.36,60.44,,
EV030,9/21/18 5:53 AM,9/21/18 7:22 AM,25.674,0.308,1.169,1.478,87.5,16,71.5,53.937,57.56,,
EV030,9/20/18 9:00 PM,9/20/18 9:08 PM,0.441,0.042,0.094,0.136,94,89.5,4.5,1.066,73.4,,
EV030,9/20/18 4:24 PM,9/20/18 4:29 PM,0.205,0.028,0.053,0.081,96.5,94,2.5,0.379,96.44,,
EV030,9/20/18 8:22 AM,9/20/18 8:43 AM,2.769,0.111,0.239,0.350,76,93.5,-17.5,5.757,68,,
EV030,9/20/18 7:49 AM,9/20/18 8:04 AM,3.202,0.042,0.203,0.244,87.5,77,10.5,6.232,61.88,,
EV030,9/20/18 6:38 AM,9/20/18 6:48 AM,0.232,0.111,0.069,0.181,90,87.5,2.5,0.73,55.76,,
EV030,9/19/18 8:12 PM,9/19/18 8:26 PM,0.232,0.172,0.064,0.236,99,94.5,4.5,0.769,74.48,,
EV030,9/19/18 6:32 PM,9/19/18 7:33 PM,16.315,0.211,0.794,1.006,98,88.5,9.5,32.73,81.68,,
EV030,9/19/18 12:33 PM,9/19/18 6:13 PM,74.18,1.806,3.856,5.661,96,49.5,46.5,174.107,92.12,,
EV030,9/18/18 5:00 PM,9/18/18 5:02 PM,0.228,0.006,0.039,0.044,98.5,96.5,2,0.467,87.08,,
EV030,9/17/18 6:39 PM,9/17/18 6:47 PM,0.261,0.072,0.067,0.139,92,98,-6,0.671,70.88,,
EV030,9/17/18 6:02 PM,9/17/18 6:09 PM,2.666,0.008,0.108,0.117,100,92,8,6.533,77.72,,
EV030,9/17/18 4:58 PM,9/17/18 5:49 PM,13.698,0.175,0.675,0.850,99,57.5,41.5,26.833,83.12,,
EV030,9/17/18 8:57 AM,9/17/18 4:46 PM,110.583,2.286,5.533,7.819,100,50,50,248.752,77,,
EV030,9/17/18 5:43 AM,9/17/18 8:45 AM,44.037,0.569,2.464,3.033,99,72,27,88.367,56.84,,
EV030,9/15/18 6:19 PM,9/15/18 7:40 PM,17.467,0.614,0.731,1.344,99.5,100,-0.5,34.08,70.52,,
EV030,9/15/18 4:19 PM,9/15/18 6:09 PM,27.901,0.431,1.400,1.831,98.5,62.5,36,56.247,79.52,,
EV030,9/15/18 3:19 PM,9/15/18 4:04 PM,13.72,0.103,0.653,0.756,100,62.5,37.5,26.43,85.28,,
EV030,9/15/18 2:20 PM,9/15/18 3:04 PM,13.724,0.089,0.639,0.728,99.5,60,39.5,28.305,85.64,,
EV030,9/15/18 1:12 PM,9/15/18 2:09 PM,13.855,0.214,0.728,0.942,100,60.5,39.5,29.26,83.84,,
EV030,9/15/18 9:05 AM,9/15/18 1:00 PM,55.297,1.089,2.814,3.903,99,58,41,108.379,73.4,,
EV030,9/15/18 8:13 AM,9/15/18 8:55 AM,13.585,0.078,0.614,0.692,86,50.5,35.5,24.264,61.88,,
EV030,9/14/18 5:45 PM,9/14/18 5:48 PM,0.313,0.006,0.047,0.053,91,89,2,0.516,82.4,,
EV030,9/14/18 7:55 AM,9/14/18 7:57 AM,0.114,0.003,0.025,0.028,92,90.5,1.5,0.268,59.72,,
EV030,9/13/18 9:13 PM,9/13/18 9:26 PM,0.251,0.156,0.056,0.211,95,92.5,2.5,0.717,64.76,,
EV030,9/13/18 6:32 PM,9/13/18 7:31 PM,16.628,0.189,0.794,0.983,98.5,87.5,11,35.25,73.04,,
EV030,9/13/18 5:46 PM,9/13/18 6:11 PM,7.164,0.072,0.347,0.419,79.5,54.5,25,14.635,76.28,,
EV030,9/13/18 2:47 PM,9/13/18 5:34 PM,41.858,0.711,2.078,2.789,87,80.5,6.5,92.816,82.76,,
EV030,9/13/18 2:17 PM,9/13/18 2:36 PM,6.426,0.019,0.306,0.325,100,89,11,11.93,86.36,,
EV030,9/13/18 10:20 AM,9/13/18 2:06 PM,54.627,0.894,2.867,3.761,98.5,53,45.5,116.46,79.52,,
EV030,9/13/18 5:41 AM,9/13/18 10:08 AM,66.954,0.911,3.539,4.450,92.5,45.5,47,134.316,66.92,,
EV030,9/12/18 7:14 PM,9/12/18 7:24 PM,0.245,0.089,0.078,0.167,96,95,1,0.595,65.48,,
EV030,9/12/18 8:36 AM,9/12/18 6:54 PM,140.98,2.517,7.783,10.300,99.5,94,5.5,260.274,68,,
EV030,9/12/18 6:00 AM,9/12/18 8:24 AM,39.19,0.558,1.839,2.397,87,71.5,15.5,77.243,60.44,,
EV030,9/11/18 11:04 PM,9/11/18 11:13 PM,0.341,0.069,0.092,0.161,92,89.5,2.5,0.721,66.2,,
EV030,9/11/18 9:53 PM,9/11/18 10:00 PM,0.514,0.006,0.103,0.108,94,91.5,2.5,0.768,70.16,,
EV030,9/11/18 9:35 PM,9/11/18 9:38 PM,0.167,0.000,0.042,0.042,98,96.5,1.5,0.285,69.44,,
EV030,9/11/18 6:33 PM,9/11/18 7:31 PM,16.286,0.208,0.756,0.964,98.5,91,7.5,32.671,80.96,,
EV030,9/11/18 2:18 PM,9/11/18 6:15 PM,55.275,1.144,2.811,3.956,99,53.5,45.5,128.968,93.2,,
EV030,9/11/18 9:23 AM,9/11/18 2:05 PM,68.591,0.897,3.811,4.708,99.5,47,52.5,138.965,86,,
EV030,9/11/18 5:41 AM,9/11/18 9:12 AM,52.793,0.653,2.872,3.525,92,73.5,18.5,96.91,66.92,,
EV030,9/10/18 11:19 PM,9/10/18 11:22 PM,0.303,0.006,0.050,0.056,97,94.5,2.5,0.499,69.08,,
EV030,9/10/18 5:37 PM,9/10/18 5:39 PM,0.13,0.000,0.019,0.019,98,96.5,1.5,0.241,72.68,,
EV030,9/10/18 5:15 PM,9/10/18 5:21 PM,0.248,0.033,0.072,0.106,100,97,3,0.638,86,,
