Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Average Speed
EV082,5/1/2019 0:00,,,,,,,,,,,,,
EV082,5/2/2019 0:00,,23.61244,0.240507778,0.727701667,,,,27.91375,26.40538,,,,25.99782612
EV082,5/3/2019 0:00,,,,,,,,,,,,,
EV082,5/7/2019 0:00,,,,,,,,,,,,,
EV082,5/8/2019 0:00,,52.8173,1.824739167,2.401138333,,,,70.05023,68.51439,,,,17.25941424
EV082,5/9/2019 0:00,,52.19592,1.726298889,2.333013889,,,,91.70457,67.52398,,,,15.56668095
EV082,5/10/2019 0:00,,39.76832,1.045224167,1.438908611,,,,45.99428,44.21239,,,,22.26020638
EV082,5/11/2019 0:00,,,,,,,,,,,,,
EV082,5/12/2019 0:00,,,,,,,,,,,,,
EV082,5/13/2019 0:00,,1.24276,1.615095278,0.190626111,,,,1.58746,1.52034,,,,
EV082,5/14/2019 0:00,,,2.488283889,0.001610556,,,,0.00456,0.00436,,,,
EV082,5/15/2019 0:00,,80.15802,0.486705278,1.578055833,,,,79.87256,76.5186,,,,40.61415222
EV082,5/16/2019 0:00,,,0.517602778,,,,,,,,,,
EV082,5/17/2019 0:00,,,0.066501111,0.013359167,,,,0.14406,0.13995,,,,
EV082,5/18/2019 0:00,,,,,,,,,,,,,
EV082,5/19/2019 0:00,,,,,,,,,,,,,
EV082,5/20/2019 0:00,,,0.1115575,0.0106375,,,,0.18249,0.17819,,,,
EV082,5/21/2019 0:00,,,0.108702778,0.021083056,,,,0.38598,0.37728,,,,
EV082,5/22/2019 0:00,,,0.118560556,0.023272778,,,,0.15843,0.15313,,,,
EV082,5/23/2019 0:00,,,0.180996111,,,,,,,,,,
EV082,5/24/2019 0:00,,5.59242,5.038355556,0.200790833,,,,6.37484,6.24944,,,,19.81452296
EV082,5/25/2019 0:00,,1.86414,0.044348056,0.079906667,,,,2.37379,2.45949,,,,
EV082,5/26/2019 0:00,,,,,,,,,,,,,
EV082,5/27/2019 0:00,,,0.496676389,,,,,,,,,,
EV082,5/28/2019 0:00,,,3.033214722,,,,,,,,,,
EV082,5/29/2019 0:00,,6.2138,0.415708611,0.246898056,,,,8.41726,8.62748,,,,20.16218306
EV082,5/30/2019 0:00,,0.62138,0.418703611,0.014615,,,,,0.13192,,,,
EV082,5/31/2019 0:00,,22.99106,1.580533889,0.647027222,,,,,30.66208,,,,23.26825603
EV082,6/1/2019 0:00,,,0.557531111,,,,,,,,,,
EV082,6/2/2019 0:00,,,,,,,,,,,,,
EV082,6/3/2019 0:00,,,0.869731111,,,,,,,,,,
EV082,6/4/2019 0:00,,21.12692,0.293791111,0.672563611,,,,26.1656,29.492,,,,22.07787542
EV082,6/5/2019 0:00,,,0.18003,,,,,,,,,,
EV082,6/6/2019 0:00,,18.6414,0.258794444,0.567112778,,,,21.37889,25.28437,,,,24.46197147
EV082,6/7/2019 0:00,,18.02002,0.231443333,0.520303611,,,,21.42255,25.34184,,,,26.72252059
EV082,6/8/2019 0:00,,,,,,,,,,,,,
EV082,6/9/2019 0:00,,,,,,,,,,,,,
EV082,6/10/2019 0:00,,,0.041280833,0.055283889,,,,0.68205,0.80675,,,,
EV082,6/11/2019 0:00,,,,,,,,,,,,,
EV082,6/12/2019 0:00,,,,,,,,,,,,,
EV082,6/13/2019 0:00,,15.5345,0.742890556,0.886176667,,,,36.23056,42.85307,,,,34.66612649
