Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV196,10/12/2022 05:40:00,10/12/2022 06:06:00,7,0.09,0.21,0.31,100,88.8,11.2,24,67.2,1690,1697,0.3,,13.814814814814813
EV196,10/12/2022 06:50:00,10/12/2022 09:12:00,34,0.18,1.62,1.8,88.8,50.4,38.4,82.2,68.825,1697,1731,0.09999999999999999,,15.045138765344245
EV196,10/12/2022 13:46:00,10/12/2022 14:49:00,30,0.04,0.9,0.9400000000000001,74.8,48.4,26.400000000000002,56.5,76.3333333333333,1735,1765,0.0425531914893617,,27.643572593258124
EV196,10/13/2022 05:50:00,10/13/2022 06:11:00,8,0.08,0.22,0.30000000000000004,100,88,12,25.7,67.1,1765,1773,0.26666666666666666,,13.32142857142857
EV196,10/13/2022 06:51:00,10/13/2022 09:16:00,35,0.32,1.71,2.05,87.6,49.2,38.4,82.2,69.74,1773,1808,0.1576354679802956,,12.845130373502466
EV196,10/13/2022 15:03:00,10/13/2022 16:36:00,33,0.02,1.42,1.44,80.8,53.6,27.200000000000003,58.3,70.1333333333333,1812,1845,0.01388888888888889,,21.979591836734695
EV196,10/14/2022 14:36:00,10/14/2022 16:24:00,33,0.08,1.37,1.47,72,45.2,26.8,57.3,69.2666666666667,1905,1938,0.05517241379310344,,20.692238804080908
EV196,10/17/2022 05:41:00,10/17/2022 09:04:00,49,0.26,2.16,2.4,100,39.6,59.6,127.5,65.325,1938,1987,0.10743801652892562,,10.263440530674512
EV196,10/17/2022 15:03:00,10/17/2022 16:21:00,32,0.06,1.1400000000000001,1.2000000000000002,74.8,45.2,29.599999999999998,63.400000000000006,75.6,1991,2023,0.04999999999999999,,24.826758645324045
EV196,10/18/2022 05:49:00,10/18/2022 06:15:00,8,0.13,0.22999999999999998,0.35000000000000003,100,88.8,11.2,24,63.125,2023,2031,0.36111111111111116,,6.660714285714285
EV196,10/18/2022 06:51:00,10/18/2022 09:20:00,36,0.3,1.8800000000000001,2.19,88.8,44.8,44,94.2,66.5,2031,2067,0.13761467889908255,,15.438909579971032
EV196,10/18/2022 14:59:00,10/18/2022 16:26:00,29,0.13999999999999999,1.21,1.3499999999999999,76.8,44,32.8,70.2,89.9,2072,2101,0.1037037037037037,,17.667659574468086
EV196,10/19/2022 05:50:00,10/19/2022 06:12:00,8,0.11,0.21,0.32,100,88,12,25.7,68.4,2101,2109,0.34375,,8.88095238095238
EV196,10/19/2022 06:50:00,10/19/2022 09:10:00,36,0.07,1.78,1.84,87.6,46.4,41.2,88.2,74.04,2109,2145,0.03783783783783784,,12.081428571428571
EV196,10/20/2022 06:10:00,10/20/2022 09:25:00,44,0.1,2.08,2.18,100,46.4,53.6,114.7,73.875,2145,2189,0.045871559633027525,,14.387656621392189
EV196,10/20/2022 14:34:00,10/20/2022 16:27:00,34,0.29,1.32,1.61,81.6,48,33.2,71.1,79.7666666666667,2189,2223,0.18012422360248445,,23.45815160955348
EV196,10/21/2022 05:50:00,10/21/2022 06:07:00,8,0.05,0.23,0.28,100,88.4,11.6,24.8,66,2223,2231,0.17857142857142858,,26.64285714285714
EV196,10/21/2022 06:55:00,10/21/2022 08:52:00,36,0.16,1.47,1.62,88,46.4,41.199999999999996,88.19999999999999,67.5,2231,2267,0.09815950920245399,,16.65168575063613
EV196,10/21/2022 14:31:00,10/21/2022 16:53:00,33,0.32,1.55,1.87,86.4,54.8,31.599999999999998,67.7,75.9285714285714,2267,2300,0.1711229946524064,,10.918270668984546
EV196,10/24/2022 05:47:00,10/24/2022 06:59:00,16,0.16,0.51,0.67,100,73.2,26.8,57.4,57.25,2300,2316,0.23880597014925373,,16.088468720821663
EV196,10/24/2022 07:26:00,10/24/2022 09:08:00,24,0.24000000000000002,1.27,1.52,73.2,49.2,23.2,49.699999999999996,62,2316,2340,0.15894039735099338,,8.210714285714285
EV196,10/24/2022 14:33:00,10/24/2022 16:34:00,36,0.23,1.35,1.57,86.8,52.8,34,72.8,75.6,2340,2376,0.14556962025316456,,22.631784394792398
EV196,10/25/2022 14:30:00,10/25/2022 16:29:00,34,0.29,1.42,1.72,100,60.4,39.6,84.8,77,2376,2410,0.1695906432748538,,12.359106010268802
EV196,10/26/2022 07:43:00,10/26/2022 09:12:00,23,0.09,1.33,1.42,73.2,52,21.2,45.4,66.7,2425,2448,0.06338028169014083,,7.932624113475178
EV196,10/26/2022 13:16:00,10/26/2022 14:42:00,34,0.03,0.97,1,82.4,49.6,32.8,70.3,73.775,2448,2482,0.03,,28.394560526913466
EV196,10/27/2022 05:53:00,10/27/2022 07:25:00,23,0.12000000000000001,0.79,0.91,100,70,30,64.2,60.8,2482,2505,0.13186813186813187,,15.12045707915273
EV196,10/27/2022 07:48:00,10/27/2022 09:24:00,21,0.07,1.23,1.31,70,49.6,20.400000000000002,43.7,64.42,2505,2526,0.05384615384615385,,6.881967213114754
EV196,10/27/2022 14:32:00,10/27/2022 16:12:00,35,0.06,1.26,1.33,78.4,50.4,28,59.9,73.6,2526,2561,0.04545454545454545,,14.317568681318681
EV196,10/31/2022 07:05:00,10/31/2022 09:03:00,30,0.34,1.3,1.6400000000000001,84.4,51.6,32.400000000000006,69.3,62.7,2569,2599,0.2073170731707317,,19.831559906363054
EV196,10/31/2022 14:30:00,10/31/2022 16:21:00,34,0.13,1.35,1.47,89.2,61.2,28,59.9,74.8,2599,2633,0.08783783783783784,,21.111690392940393
EV196,11/01/2022 15:02:00,11/01/2022 15:53:00,26,0.04,0.8,0.85,67.2,45.6,21.6,46.2,71,2699,2725,0.047619047619047616,,29.976470588235294
EV196,11/02/2022 13:22:00,11/02/2022 14:47:00,32,0.04,0.95,0.99,64.4,35.6,28.8,61.7,68.775,2787,2819,0.04040404040404041,,27.288095238095238
EV196,11/03/2022 05:42:00,11/03/2022 06:48:00,18,0.18,0.59,0.77,100,71.6,28.4,60.800000000000004,58.625,2819,2837,0.23376623376623376,,13.107727272727272
EV196,11/03/2022 07:25:00,11/03/2022 09:01:00,24,0.24,1.21,1.4500000000000002,71.6,46.8,24.8,53.1,60.1,2837,2861,0.16551724137931034,,14.944383860414394
EV196,11/03/2022 14:30:00,11/03/2022 16:26:00,34,0.43000000000000005,1.2400000000000002,1.66,89.2,60,28.8,61.7,64,2861,2895,0.25748502994011974,,18.31848586196412
EV196,11/04/2022 06:46:00,11/04/2022 08:51:00,34,0.47,1.36,1.83,83.2,44.8,38.4,82.1,53.5,2902,2936,0.2568306010928961,,12.533277638540794
EV196,11/04/2022 15:02:00,11/04/2022 16:31:00,33,0.03,1.3299999999999998,1.3599999999999999,84.8,57.6,24.8,53.1,69.75,2940,2973,0.022058823529411766,,16.65426297840091
EV196,11/08/2022 07:29:00,11/08/2022 09:00:00,29,0.21,1.17,1.38,75.6,44,31.599999999999998,67.7,66.45,2986,3015,0.15217391304347827,,27.340677966101694
EV196,11/08/2022 14:32:00,11/08/2022 16:32:00,37,0.09000000000000001,1.49,1.58,88.4,53.2,35.199999999999996,75.39999999999999,65.4666666666667,3015,3052,0.0569620253164557,,20.42547065337763
EV196,11/09/2022 06:28:00,11/09/2022 09:06:00,51,0.11,2.25,2.36,84.4,25.6,58.8,125.9,58.1666666666667,3059,3110,0.046610169491525424,,22.46408734315711
EV196,11/09/2022 12:02:00,11/09/2022 12:39:00,8,0,0.29000000000000004,0.29000000000000004,48,39.6,8.4,18,65.1,3110,3118,0,,25.754761904761903
EV196,11/09/2022 13:28:00,11/09/2022 14:57:00,34,0.05,1.05,1.1,45.2,14.8,30.400000000000002,65.2,64.88,3118,3152,0.045454545454545456,,27.28222222222222
EV196,11/10/2022 06:47:00,11/10/2022 07:03:00,10,0.02,0.25,0.27,82,70,12,25.7,51.7,3160,3170,0.07407407407407407,,32.222222222222214
EV196,11/10/2022 07:47:00,11/10/2022 09:02:00,21,0.22,1.02,1.25,69.6,48.8,20.8,44.5,57.3,3170,3191,0.1774193548387097,,16.408
EV196,11/10/2022 15:02:00,11/10/2022 16:37:00,30,0.05,1.32,1.37,86.8,62.8,24,51.4,66.575,3194,3224,0.0364963503649635,,17.508887650191998
EV196,11/14/2022 07:03:00,11/14/2022 09:06:00,35,0.35000000000000003,1.51,1.86,83.2,48,35.2,75.39999999999999,56.6,3232,3267,0.1881720430107527,,17
EV196,11/14/2022 14:35:00,11/14/2022 16:16:00,39,0.06,1.28,1.3299999999999998,92.8,59.2,33.6,71.9,67.92,3267,3306,0.04477611940298507,,19.87873015873016
EV196,11/15/2022 07:19:00,11/15/2022 09:13:00,29,0.25,1.45,1.69,84.4,54,30.4,65.1,60.3,3313,3342,0.14705882352941177,,23.68181818181818
