Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Trip Percent Idling Time
EV019,8/1/19 9:12 AM,8/1/19 9:13 AM,0.01,0.00915,0.007794,0.016944,0,0,0,0.01,80.6,,,54
EV019,8/1/19 8:59 AM,8/1/19 9:02 AM,0.13,0.017197,0.024747,0.041944,100,100,0,0.03,82.4,31826.68,31826.68,41
EV019,8/1/19 12:49 AM,8/1/19 12:49 AM,0,0.008889,0,0.008889,100,100,0,0,82.4,31826.68,31826.68,100
EV019,7/30/19 2:27 AM,7/30/19 2:27 AM,0,0.008333,0,0.008333,100,100,0,-0.03,84.2,31826.68,31826.68,100
EV019,7/29/19 7:06 PM,7/29/19 9:16 PM,72.72,0.32375,1.834583,2.158333,75.7,45.5,30.2,16.58,89.6,31753.98,31826.06,15
EV019,7/29/19 6:05 PM,7/29/19 6:10 PM,0,0.070278,0,0.070278,67.1,67.1,0,0.29,102.2,31753.98,31753.98,100
EV019,7/29/19 5:48 PM,7/29/19 6:05 PM,12.01,0.014181,0.269431,0.283611,72.5,67.1,5.4,3.08,98.6,31741.97,31753.16,5
EV019,7/29/19 3:44 PM,7/29/19 5:28 PM,52.93,0.4138,1.310367,1.724167,100,72.5,27.5,15.81,102.2,31689.06,31741.25,24
EV019,7/23/19 4:05 PM,7/23/19 4:06 PM,0,0.005556,0,0.005556,0,0,0,0.01,98.6,,,100
EV019,7/23/19 12:24 PM,7/23/19 2:21 PM,69.03,0.3905,1.562,1.9525,67.8,35.3,32.5,17.35,98.6,31620.06,31688.41,20
EV019,7/23/19 11:07 AM,7/23/19 11:08 AM,0,0.010278,0,0.010278,56.1,56.1,0,0.01,93.2,31620.06,31620.06,100
EV019,7/23/19 9:25 AM,7/23/19 11:07 AM,54.45,0.27,1.4175,1.6875,77.6,56.1,21.5,12.36,89.6,31565.62,31619.05,16
EV019,7/23/19 9:02 AM,7/23/19 9:23 AM,13.19,0.04485,0.30015,0.345,82.4,78,4.4,2.94,84.2,31552.43,31564.86,13
EV019,7/23/19 5:40 AM,7/23/19 7:50 AM,62.03,0.475383,1.68545,2.160833,96.1,70.6,25.5,14.23,75.2,31490.4,31551.3,22
