Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV134,07/27/2019,,0.07,,,1.16,,,,4.17,68.84,,,,
EV134,07/28/2019,,0.02,,,0.44,,,,0.41,65.72,,,,
EV134,07/29/2019,,124.43,,,4.62,,,,192.63,66.92,,,,
EV134,07/30/2019,,0.24,,,4.31,,,,10.06,67.7,,,,
EV134,08/01/2019,,0.17,,,0.12,,,,0.96,72.02,,,,
EV134,08/02/2019,,0.2,,,0.82,,,,7.42,69.62,,,,
EV134,08/03/2019,,41.43,,,3.77,,,,67.1,65.6,,,,
EV134,08/05/2019,,0.28,,,2.36,,,,7.57,71.24,,,,
EV134,08/06/2019,,,,,1.9,,,,,70.7,,,,
EV134,08/07/2019,,0,,,0.41,,,,1.18,72.62,,,,
EV134,08/08/2019,,,,,1.91,,,,,74.78,,,,
EV134,08/09/2019,,19.83,,,2.66,,,,48.14,64.58,,,,
EV134,08/12/2019,,,,,1.1,,,,,54.74,,,,
EV134,08/13/2019,,,,,0.49,,,,,59.480000000000004,,,,
EV134,08/14/2019,,0,,,0.1,,,,1.48,63.02,,,,
EV134,08/15/2019,,,,,1.63,,,,,60.2,,,,
EV134,08/16/2019,,,,,0.43,,,,,58.7,,,,
EV134,08/17/2019,,0,,,0.51,,,,1.46,57.38,,,,
EV134,08/20/2019,,,,,3.74,,,,,67.88,,,,
EV134,08/21/2019,,,,,1.69,,,,,71.36,,,,
EV134,08/22/2019,,0,,,0.01,,,,0.05,60.38,,,,
EV134,08/23/2019,,53.27,,,1.39,,,,81.76,60.67999999999999,,,,
EV134,08/26/2019,,0,,,0.54,,,,3.31,57.14,,,,
EV134,08/27/2019,,,,,0.74,,,,,58.82,,,,
EV134,08/29/2019,,0.17,,,0.22,,,,1.24,61.82,,,,
EV134,08/30/2019,,0.16,,,0.08,,,,0.6,61.46,,,,
EV134,09/04/2019,,0.04,,,3.73,,,,10.87,67.88,,,,
EV134,09/05/2019,,0.01,,,3.73,,,,1.29,66.2,,,,
EV134,09/06/2019,,0.08,,,0.58,,,,2.02,63.08,,,,
EV134,09/07/2019,,0,,,1.74,,,,3.3,59,,,,
EV134,09/08/2019,,0.04,,,4.35,,,,0.55,57.14,,,,
EV134,09/09/2019,,0.16,,,5.05,,,,1.49,52.22,,,,
EV134,09/11/2019,,0.07,,,1.56,,,,6.19,52.82,,,,
EV134,09/17/2019,,0.98,,,0.49,,,,4.16,50.06,,,,
EV134,09/23/2019,,0,,,0.19,,,,0.33,54.32,,,,
EV134,09/24/2019,,0,,,0.61,,,,1.52,53.66,,,,
EV134,09/25/2019,,90.42,,,7.64,,,,155.4,49.46,,,,
EV134,09/26/2019,,81.88,,,10.62,,,,165.88,46.22,,,,
EV134,09/27/2019,,67.06,,,9.48,,,,119.64,45.32,,,,
EV134,09/28/2019,,115.15,,,11.26,,,,234.33,37.16,,,,
EV134,09/29/2019,,0,,,12,,,,0,29.84,,,,
EV134,09/30/2019,,105.24,,,10.55,,,,244.13,31.34,,,,
EV134,10/01/2019,,48.54,,,9.14,,,,131.39,33.02,,,,
EV134,10/02/2019,,36.11,,,6.22,,,,101.4,33.92,,,,
EV134,10/03/2019,,90.01,,,9.67,,,,179.68,38.36,,,,
EV134,10/04/2019,,88.51,,,10.53,,,,197.91,40.94,,,,
EV134,10/05/2019,,93.77,,,11.21,,,,222.35,39.68,,,,
EV134,10/06/2019,,0,,,12,,,,0,40.7,,,,
EV134,10/07/2019,,89.38,,,10.34,,,,189.17,44.24,,,,
EV134,10/08/2019,,90.63,,,5.58,,,,158.51,44.24,,,,
EV134,10/09/2019,,0.21,,,1.4,,,,6.75,27.02,,,,
EV134,10/10/2019,,123.79,,,10.14,,,,312.29,26.18,,,,
EV134,10/11/2019,,64.17,,,11.33,,,,161.17,30.74,,,,
EV134,10/12/2019,,93.54,,,11.75,,,,180.65,35.72,,,,
EV134,10/13/2019,,0,,,11.96,,,,0,39.68,,,,
EV134,10/14/2019,,89.39,,,11.1,,,,176.45,41.72,,,,
EV134,10/15/2019,,90.62,,,10.99,,,,267.65,39.08,,,,
EV134,10/16/2019,,91.49,,,10.17,,,,190.71,48.260000000000005,,,,
EV134,10/17/2019,,70.7,,,10.78,,,,142.63,41.78,,,,
EV134,10/18/2019,,83.01,,,10.53,,,,176.27,38.6,,,,
EV134,10/19/2019,,0.01,,,11.69,,,,0.11,36.08,,,,
EV134,10/20/2019,,0,,,11.94,,,,3.85,35.3,,,,
EV134,10/21/2019,,83.28,,,10.79,,,,210.55,36.02,,,,
EV134,10/22/2019,,104.01,,,11.16,,,,241.72,41.3,,,,
EV134,10/23/2019,,105.45,,,11.21,,,,223.72,36.379999999999995,,,,
EV134,10/24/2019,,96.6,,,11.5,,,,216.46,34.22,,,,
EV134,10/25/2019,,114.47,,,11.06,,,,231.53,45.68,,,,
EV134,10/26/2019,,75.68,,,3.91,,,,195.9,32.42,,,,
EV134,10/28/2019,,74.39,,,9.44,,,,289.53,18.2,,,,
EV134,10/29/2019,,101.84,,,10.88,,,,361.09,8.899999999999999,,,,
EV134,10/30/2019,,79.43,,,8.75,,,,268.49,12.26,,,,
EV134,10/31/2019,,83.42,,,11.7,,,,289.87,21.8,,,,
EV134,11/01/2019,,76.56,,,11.81,,,,251.18,23.66,,,,
EV134,11/02/2019,,93.96,,,11.7,,,,266.52,29.419999999999998,,,,
EV134,11/03/2019,,0,,,12.5,,,,0,33.14,,,,
EV134,11/04/2019,,78.13,,,11.85,,,,190.1,35.36,,,,
EV134,11/05/2019,,93.56,,,11.4,,,,217.07,36.44,,,,
EV134,11/06/2019,,93.17,,,11.14,,,,222.14,32.36,,,,
EV134,11/07/2019,,109.25,,,11.31,,,,248.74,30.38,,,,
EV134,11/08/2019,,65.47,,,9.25,,,,170.48,34.4,,,,
EV134,11/09/2019,,91.17,,,6.97,,,,209.44,35.72,,,,
EV134,11/10/2019,,0,,,12,,,,0,36.5,,,,
EV134,11/11/2019,,0,,,12,,,,0,24.259999999999998,,,,
