Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Trip Percent Idling Time
EV020,8/1/19 3:16 PM,8/1/19 3:17 PM,0.02,0.008,0.008667,0.016667,0,0,0,0.04,98.6,,,48
EV020,8/1/19 3:11 PM,8/1/19 3:11 PM,0,0.008889,0,0.008889,27.8,27.8,0,0.01,98.6,25934.83,25934.83,100
EV020,8/1/19 2:06 PM,8/1/19 3:10 PM,32.35,0.22365,0.84135,1.065,42,27.8,14.2,7.78,96.8,25902.49,25934.8,21
EV020,8/1/19 1:09 PM,8/1/19 2:00 PM,29.18,0.172333,0.689333,0.861667,54.9,42,12.9,6.94,95,25873.31,25901.9,20
EV020,8/1/19 11:20 AM,8/1/19 11:21 AM,0,0.011667,0,0.011667,45.9,45.9,0,0.01,87.8,25873.31,25873.31,100
EV020,8/1/19 11:16 AM,8/1/19 11:18 AM,0.02,0.015889,0.013,0.028889,45.9,45.9,0,0.05,87.8,25873.29,25873.29,55
EV020,8/1/19 10:03 AM,8/1/19 11:13 AM,46.04,0.140333,1.029111,1.169444,66.3,45.9,20.4,10.75,86,25827.27,25872.01,12
EV020,8/1/19 9:10 AM,8/1/19 9:58 AM,23.17,0.136283,0.665383,0.801667,74.9,66.3,8.6,4.96,80.6,25804.1,25826.47,17
EV020,8/1/19 8:07 AM,8/1/19 8:28 AM,12.53,0.047367,0.290967,0.338333,80,74.9,5.1,2.94,75.2,25791.58,25804.01,14
EV020,8/1/19 6:18 AM,8/1/19 8:01 AM,48.83,0.532425,1.185075,1.7175,100,80.4,19.6,11.44,69.8,25742.77,25791.23,31
EV020,8/1/19 12:52 AM,8/1/19 12:52 AM,0,0.005,0,0.005,0,0,0,0,80.6,,,100
EV020,7/31/19 2:26 PM,7/31/19 2:39 PM,4.59,0.070756,0.150356,0.221111,40.8,37.6,3.2,1.19,96.8,25738.17,25741.89,32
EV020,7/31/19 12:40 PM,7/31/19 2:14 PM,41.97,0.453447,1.110164,1.563611,60.8,39.2,21.6,10.64,93.2,25696.2,25737.21,29
EV020,7/31/19 11:16 AM,7/31/19 11:37 AM,12.51,0.0578,0.2822,0.34,65.5,61.2,4.3,2.57,86,25683.7,25696.13,17
EV020,7/31/19 10:30 AM,7/31/19 11:08 AM,18.52,0.171075,0.462536,0.633611,74.5,65.5,9,4.92,82.4,25665.18,25682.58,27
EV020,7/31/19 9:54 AM,7/31/19 10:05 AM,0.01,0.178033,0.003633,0.181667,74.5,74.5,0,0.23,82.4,25665.17,25665.17,98
EV020,7/31/19 9:49 AM,7/31/19 9:50 AM,0,0.007494,0.003061,0.010556,0,0,0,0.01,82.4,,,71
EV020,7/31/19 9:17 AM,7/31/19 9:44 AM,5.32,0.191589,0.253967,0.445556,76.1,74.5,1.6,1.08,80.6,25659.84,25664.81,43
EV020,7/31/19 7:37 AM,7/31/19 8:38 AM,38.17,0.09095,0.919606,1.010556,85.5,70.6,14.9,8.37,73.4,25621.69,25658.97,9
EV020,7/31/19 6:28 AM,7/31/19 7:35 AM,33.68,0.255236,0.854486,1.109722,99.6,85.5,14.1,7.77,66.2,25588.02,25621.57,23
EV020,7/31/19 6:19 AM,7/31/19 6:27 AM,3.57,0.018044,0.110844,0.128889,100,100,0,0.87,66.2,25584.44,25586.93,14
EV020,7/31/19 6:15 AM,7/31/19 6:19 AM,0,0.064444,0,0.064444,100,100,0,0.03,73.4,25584.44,25584.44,100
EV020,7/31/19 2:32 AM,7/31/19 2:32 AM,0,0.0075,0,0.0075,0,0,0,-0.03,77,,,100
EV020,7/30/19 1:08 PM,7/30/19 2:15 PM,33.99,0.246706,0.874683,1.121389,65.9,50.6,15.3,8.41,93.2,25550.45,25584.01,22
EV020,7/30/19 11:15 AM,7/30/19 11:15 AM,0,0.007222,0,0.007222,0,0,0,0.01,86,,,100
EV020,7/30/19 10:11 AM,7/30/19 11:14 AM,35.41,0.125867,0.923022,1.048889,61.2,46.7,14.5,7.79,84.2,25515.05,25549.85,12
EV020,7/30/19 9:00 AM,7/30/19 9:49 AM,31.95,0.08075,0.72675,0.8075,71,58,13,7.34,78.8,25483.12,25514.19,10
EV020,7/30/19 7:38 AM,7/30/19 8:39 AM,37.05,0.132961,0.889817,1.022778,85.9,71,14.9,8.36,73.4,25446.08,25482.12,13
EV020,7/30/19 6:15 AM,7/30/19 7:35 AM,34.56,0.455789,0.884767,1.340556,100,85.9,14.1,8.53,68,25411.53,25445.08,34
EV020,7/30/19 6:07 AM,7/30/19 6:07 AM,0,0.006111,0,0.006111,0,0,0,0.01,71.6,,,100
EV020,7/30/19 1:35 AM,7/30/19 1:36 AM,0,0.006389,0,0.006389,0,0,0,-0.02,78.8,,,100
EV020,7/29/19 1:07 PM,7/29/19 2:27 PM,37.56,0.319067,1.010378,1.329444,89.4,70.6,18.8,10.47,100.4,25373.97,25411.26,24
EV020,7/29/19 10:19 AM,7/29/19 11:23 AM,32.11,0.23155,0.82095,1.0525,86.7,72.9,13.8,8.08,89.6,25341.88,25372.94,22
EV020,7/29/19 10:01 AM,7/29/19 10:01 AM,0,0.002778,0,0.002778,0,0,0,0,87.8,,,100
EV020,7/29/19 9:34 AM,7/29/19 9:37 AM,0,0.062222,0,0.062222,87.1,87.1,0,0.08,87.8,25341.88,25341.88,100
