Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,7/10/18 5:25 AM,7/10/18 7:56 AM,36.582,0.706,1.808,2.514,85.5,77.5,8,73.644,73.4,,
EV026,7/2/18 5:16 PM,7/2/18 6:16 PM,14.175,0.231,0.756,0.986,99,94,5,30.176,84.92,,
EV026,7/2/18 3:11 PM,7/2/18 5:02 PM,23.207,0.431,1.417,1.847,99.5,65.5,34,51.611,89.6,,
EV026,7/2/18 10:35 AM,7/2/18 3:00 PM,51.996,1.242,3.164,4.406,85,65.5,19.5,111.11,86.72,,
EV026,7/2/18 8:09 AM,7/2/18 10:23 AM,28.858,0.578,1.661,2.239,100,87,13,56.441,69.8,,
EV026,7/2/18 5:39 AM,7/2/18 7:56 AM,30.871,0.583,1.708,2.292,86,72,14,59.76,61.88,,
EV026,6/29/18 8:07 AM,6/29/18 4:48 PM,100.689,2.522,6.169,8.692,99.5,76.5,23,210.566,85.28,,
EV026,6/29/18 5:40 AM,6/29/18 7:56 AM,30.935,0.461,1.794,2.256,84.5,72.5,12,59.02,63.68,,
EV026,6/27/18 5:17 PM,6/27/18 6:32 PM,14.398,0.394,0.850,1.244,99,94,5,30.583,82.76,,
EV026,6/27/18 3:09 PM,6/27/18 5:07 PM,23.301,0.503,1.456,1.958,100,63.5,36.5,49.19,96.44,,
EV026,6/27/18 2:11 PM,6/27/18 2:58 PM,11.581,0.103,0.681,0.783,99,62.5,36.5,26.509,94.28,,
EV026,6/27/18 12:33 PM,6/27/18 1:59 PM,17.353,0.389,1.044,1.433,83,67,16,36.76,92.48,,
EV026,6/27/18 10:09 AM,6/27/18 12:22 PM,28.59,0.550,1.661,2.211,100,85.5,14.5,54.852,84.56,,
EV026,6/27/18 7:08 AM,6/27/18 9:57 AM,34.652,0.736,2.086,2.822,100,72.5,27.5,68.918,68.72,,
EV026,6/27/18 5:39 AM,6/27/18 6:55 AM,19.318,0.172,1.086,1.258,81.5,57,24.5,38.755,58.64,,
EV026,6/22/18 2:10 PM,6/22/18 7:07 PM,54.581,1.494,3.461,4.956,99,94.5,4.5,112.672,100.76,,
EV026,6/22/18 9:19 AM,6/22/18 1:59 PM,54.431,1.164,3.506,4.669,99,76,23,119.589,91.4,,
EV026,6/22/18 5:25 AM,6/22/18 9:07 AM,47.359,0.972,2.731,3.703,90.5,65,25.5,96.581,69.8,,
EV026,6/21/18 1:11 PM,6/21/18 6:52 PM,65.43,1.392,4.300,5.692,99,93,6,136.844,91.04,,
EV026,6/21/18 10:12 AM,6/21/18 1:00 PM,32.702,0.664,2.128,2.792,98.5,71.5,27,67.682,83.48,,
EV026,6/21/18 9:10 AM,6/21/18 9:57 AM,10.833,0.108,0.681,0.789,99.5,73.5,26,22.785,74.12,,
EV026,6/21/18 8:06 AM,6/21/18 8:54 AM,10.832,0.089,0.706,0.794,100,77,23,23.019,68.36,,
EV026,6/21/18 5:23 AM,6/21/18 7:55 AM,34.031,0.619,1.911,2.531,82,64.5,17.5,74.939,57.56,,
EV026,6/15/18 5:12 PM,6/15/18 6:13 PM,14.151,0.228,0.792,1.019,99,93,6,29.291,82.4,,
EV026,6/15/18 5:38 AM,6/15/18 5:01 PM,135.214,3.261,8.119,11.381,81,66.5,14.5,276.955,71.96,,
EV026,6/13/18 8:44 AM,6/13/18 6:53 PM,114.771,2.681,7.458,10.139,87,92.5,-5.5,234.483,87.08,,
EV026,6/13/18 6:21 AM,6/13/18 8:33 AM,26.797,0.478,1.711,2.189,100,89,11,49.975,71.24,,
EV026,6/13/18 5:30 AM,6/13/18 6:11 AM,14.796,0.108,0.583,0.692,88.5,54.5,34,26.301,63.32,,
EV026,6/8/18 1:16 PM,6/8/18 7:27 PM,66.214,1.703,4.469,6.172,99.5,65,34.5,139.988,81.32,,
EV026,6/8/18 11:11 AM,6/8/18 1:05 PM,21.803,0.447,1.450,1.897,98.5,56.5,42,50.128,85.28,,
EV026,6/8/18 9:08 AM,6/8/18 10:54 AM,21.781,0.397,1.369,1.767,100,46,54,46.969,77.36,,
EV026,6/8/18 8:07 AM,6/8/18 8:55 AM,10.916,0.158,0.653,0.811,100,78,22,22.415,69.44,,
EV026,6/8/18 5:28 AM,6/8/18 7:56 AM,36.59,0.608,1.867,2.475,95,62.5,32.5,72.879,58.64,,
EV026,6/7/18 5:16 PM,6/7/18 6:39 PM,14.466,0.489,0.889,1.378,98.5,99,-0.5,32.643,80.6,,
EV026,6/7/18 9:33 AM,6/7/18 5:01 PM,86.698,2.131,5.347,7.478,57.5,71.5,-14,185.013,82.76,,
EV026,6/7/18 5:36 AM,6/7/18 9:21 AM,52.165,1.031,2.728,3.758,89,57,32,109.202,62.24,,
EV026,5/18/18 5:11 PM,5/18/18 6:12 PM,13.105,0.319,0.700,1.019,99,92.5,6.5,29.576,83.48,,
EV026,5/18/18 10:32 AM,5/18/18 3:55 PM,57.865,1.939,3.444,5.383,86,65.5,20.5,132.992,84.2,,
EV026,5/18/18 7:40 AM,5/18/18 10:20 AM,30.653,0.811,1.853,2.664,80.5,87.5,-7,62.843,66.2,,
EV026,5/18/18 5:37 AM,5/18/18 6:54 AM,17.939,0.267,1.017,1.283,88,64,24,36.303,55.4,,
EV026,5/18/18 5:12 PM,5/15/18 6:56 PM,21.721,0.517,1.222,1.739,98.5,93,5.5,44.657,71.24,,
EV026,5/18/18 11:40 AM,5/15/18 4:55 PM,59.417,1.394,3.864,5.258,86,66.5,19.5,138.412,74.48,,
EV026,5/18/18 5:27 AM,5/15/18 10:38 AM,60.7,1.503,3.675,5.178,90.5,83.5,7,129.084,59,,
EV026,5/11/18 5:13 PM,5/11/18 6:16 PM,14.153,0.261,0.789,1.050,98.5,93,5.5,33.159,83.48,,
EV026,5/11/18 1:03 PM,5/11/18 4:29 PM,34.649,1.319,2.114,3.433,99.5,85.5,14,77.644,84.56,,
EV026,5/11/18 10:35 AM,5/11/18 12:22 PM,20.302,0.503,1.278,1.781,84,88,-4,39.902,78.08,,
EV026,5/11/18 7:05 AM,5/11/18 10:20 AM,38.668,0.956,2.297,3.253,100,88,12,77.694,67.28,,
EV026,5/11/18 5:38 AM,5/11/18 6:55 AM,19.279,0.231,1.053,1.283,75,72,3,41.648,56.48,,
EV026,5/7/18 5:11 PM,5/7/18 6:12 PM,14.172,0.256,0.758,1.014,100,92.5,7.5,34.123,87.8,,
EV026,5/7/18 4:05 PM,5/7/18 5:00 PM,11.715,0.194,0.733,0.928,99.5,56,43.5,28.07,89.96,,
EV026,5/7/18 5:37 AM,5/7/18 3:54 PM,115.391,3.361,6.933,10.294,85.5,52,33.5,256.697,69.44,,
EV026,4/30/18 2:20 PM,4/30/18 6:10 PM,39.57,1.450,2.386,3.836,87.5,99.5,-12,91.636,71.24,,
EV026,4/30/18 11:09 AM,4/30/18 2:05 PM,31.557,0.997,1.925,2.922,100,94.5,5.5,69.116,73.04,,
EV026,4/30/18 7:09 AM,4/30/18 10:57 AM,44.757,1.069,2.736,3.806,100,74.5,25.5,93.382,59,,
EV026,4/30/18 5:37 AM,4/30/18 6:58 AM,19.458,0.222,1.128,1.350,88.5,61.5,27,40.072,49.28,,
EV026,4/26/18 5:13 PM,4/26/18 6:08 PM,10.783,0.306,0.608,0.914,100,99.5,0.5,24.058,75.56,,
EV026,4/26/18 5:48 AM,4/26/18 5:01 PM,130.416,3.400,7.825,11.225,90,58,32,288.94,63.32,,
EV026,4/25/18 6:12 PM,4/25/18 7:10 PM,11.011,0.372,0.592,0.964,100,92.5,7.5,20.458,73.04,,
EV026,4/25/18 4:20 PM,4/25/18 6:01 PM,19.327,0.525,1.161,1.686,90.5,58,32.5,46.427,81.32,,
EV026,4/25/18 10:27 AM,4/25/18 4:05 PM,53.33,2.167,3.469,5.636,88,57.5,30.5,130.468,80.96,,
EV026,4/25/18 5:18 AM,4/25/18 9:50 AM,54.707,1.383,3.139,4.522,97.5,78.5,19,122.667,59.36,,
