Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV089,05/01/20,,57.681,,14.93,,,,51.37,82.192,67.4
EV089,05/02/20,,50.456,,10.23,,,,39.21,62.736,67
EV089,05/03/20,,13.651,,4.03,,,,13.37,21.392,65.9
EV089,05/04/20,,36.465,,11.06,,,,38.41,61.456,67.4
EV089,05/05/20,,53.278,,16.64,,,,49.81,79.696,72.4
EV089,05/06/20,,66.946,,15.03,,,,61.59,98.544,75.3
EV089,05/07/20,,31.11,,5.65,,,,20.78,33.248,75.4
EV089,05/08/20,,53.448,,16.54,,,,46.53,74.448,73.5
EV089,05/09/20,,46.937,,11.73,,,,52.72,84.352,69.8
EV089,05/10/20,,7.429,,2.14,,,,9.78,15.648,66.2
EV089,05/11/20,,50.847,,16.86,,,,57.29,91.664,66.2
EV089,05/12/20,,70.142,,16.67,,,,63.87,102.192,61.9
EV089,05/13/20,,55.692,,15.15,,,,57.3,91.68,62
EV089,05/14/20,,60.979,,15.81,,,,62.49,99.984,63.9
EV089,05/15/20,,51.799,,13.73,,,,47.59,76.144,66.9
EV089,05/16/20,,46.954,,11.92,,,,47.65,76.24,69.6
EV089,05/17/20,,25.262,,7.34,,,,22.21,35.536,68.4
EV089,05/18/20,,45.781,,11.78,,,,38.16,61.056,64.5
EV089,05/19/20,,64.855,,16.14,,,,59.89,95.824,60.2
EV089,05/20/20,,68.374,,16.39,,,,57.65,92.24,62.3
EV089,05/21/20,,58.412,,15.51,,,,55.57,88.912,66.8
EV089,05/22/20,,53.346,,11.97,,,,43,68.8,65.7
EV089,05/23/20,,0,,0.03,,,,0,0,64.3
EV089,05/24/20,,0,,0.05,,,,0.1,0.16,67.1
EV089,05/25/20,,0,,0,,,,0,0,71.4
EV089,05/26/20,,0,,0,,,,0,0,74.6
EV089,05/27/20,,0,,0.32,,,,0.61,0.976,75.9
EV089,05/28/20,,0,,0.37,,,,0.36,0.576,70.7
EV089,05/29/20,,20.978,,8.13,,,,34.08,54.528,67
EV089,05/30/20,,64.277,,15.98,,,,66.77,106.832,65.7
EV089,05/31/20,,76.075,,15.28,,,,73.92,118.272,66.3
EV089,06/01/20,,33.473,,11.2,,,,38.72,61.952,70.6
EV089,06/02/20,,65.654,,14.9,,,,54.94,87.904,75.5
EV089,06/03/20,,55.692,,15.21,,,,50.15,80.24,78.2
EV089,06/04/20,,58.497,,14.82,,,,51.19,81.904,72.1
EV089,06/05/20,,46.41,,13.49,,,,48.65,77.84,64
EV089,06/06/20,,74.409,,14.82,,,,57.87,92.592,64.3
EV089,06/07/20,,45.543,,10.67,,,,47.08,75.328,69.7
EV089,06/08/20,,56.644,,15.14,,,,52.09,83.344,69.3
EV089,06/09/20,,71.434,,14.26,,,,55.2,88.32,72.8
EV089,06/10/20,,58.99,,14.43,,,,49.08,78.528,75.6
EV089,06/11/20,,56.134,,13.54,,,,43.85,70.16,76
EV089,06/12/20,,56.967,,13.76,,,,51.95,83.12,71.1
EV089,06/13/20,,54.791,,11.86,,,,59.17,94.672,67.2
EV089,06/14/20,,53.754,,15.64,,,,60.16,96.256,67.6
EV089,06/15/20,,47.6,,11.31,,,,52.59,84.144,71
EV089,06/16/20,,51.816,,14.34,,,,51.46,82.336,67.3
EV089,06/17/20,,40.885,,11.56,,,,40.85,65.36,67.7
EV089,06/18/20,,64.345,,15.61,,,,58.47,93.552,65.3
EV089,06/19/20,,53.907,,15.24,,,,58.33,93.328,64.8
EV089,06/20/20,,56.746,,16.6,,,,59.63,95.408,67
EV089,06/21/20,,61.03,,14.37,,,,53.79,86.064,68.6
EV089,06/22/20,,44.37,,12.65,,,,43.91,70.256,71
EV089,06/23/20,,57.681,,15.07,,,,50.4,80.64,72.3
EV089,06/24/20,,38.539,,11.31,,,,35.42,56.672,71.5
EV089,06/25/20,,52.666,,14.6,,,,54.23,86.768,69.4
EV089,06/26/20,,50.83,,14.84,,,,52.86,84.576,71.4
EV089,06/27/20,,42.109,,11.2,,,,55.5,88.8,71.3
EV089,06/28/20,,79.203,,15.12,,,,74.45,119.12,67.8
EV089,06/29/20,,56.763,,15.71,,,,50.31,80.496,66.8
EV089,06/30/20,,44.098,,14.87,,,,50.68,81.088,68.1
EV089,07/01/20,,56.168,,15.39,,,,54.3,86.88,67
EV089,07/02/20,,44.812,,14.85,,,,47.85,76.56,69.4
EV089,07/03/20,,31.212,,13.04,,,,38.06,60.896,73.2
EV089,07/04/20,,53.533,,12.46,,,,56.6,90.56,77.1
EV089,07/05/20,,80.087,,15.75,,,,71.24,113.984,78.5
EV089,07/06/20,,56.474,,13.72,,,,55.97,89.552,78.2
EV089,07/07/20,,46.546,,14.86,,,,45.65,73.04,76.4
EV089,07/08/20,,46.308,,14.89,,,,53.94,86.304,75.2
EV089,07/09/20,,45.696,,14.68,,,,51.78,82.848,73.2
EV089,07/10/20,,59.398,,16.01,,,,68.74,109.984,79.7
EV089,07/11/20,,63.342,,16.85,,,,73.42,117.472,83.5
EV089,07/12/20,,54.417,,14.68,,,,64.64,103.424,82.7
EV089,07/13/20,,57.8,,15.88,,,,67.48,107.968,78.7
EV089,07/14/20,,47.413,,14.56,,,,63.88,102.208,72.3
EV089,07/15/20,,38.675,,11.93,,,,44.89,71.824,70.5
EV089,07/16/20,,43.027,,13.72,,,,43.61,69.776,70.9
EV089,07/17/20,,47.243,,13.52,,,,43.56,69.696,72.4
EV089,07/18/20,,61.574,,15.03,,,,54.49,87.184,74.2
EV089,07/19/20,,64.77,,16.13,,,,57.23,91.568,74
EV089,07/20/20,,63.07,,17.79,,,,59.96,95.936,74.7
EV089,07/21/20,,44.659,,14.68,,,,44.84,71.744,72.7
EV089,07/22/20,,66.181,,15.15,,,,52.43,83.888,72.2
EV089,07/23/20,,53.193,,15.14,,,,52.17,83.472,68.1
EV089,07/24/20,,55.437,,15.61,,,,51.69,82.704,69.8
EV089,07/25/20,,71.485,,17.79,,,,67.98,108.768,72.8
EV089,07/26/20,,32.198,,7.92,,,,32.15,51.44,76.7
EV089,07/27/20,,38.471,,10.5,,,,39.08,62.528,75.9
EV089,07/28/20,,42.721,,13.89,,,,38.78,62.048,75
EV089,07/29/20,,51.476,,14.19,,,,46.5,74.4,76.2
EV089,07/30/20,,48.722,,15.19,,,,49.17,78.672,80.3
EV089,07/31/20,,52.649,,14.07,,,,44.19,70.704,86
EV089,08/01/20,,70.873,,15.22,,,,54.82,87.712,84.5
EV089,08/02/20,,49.249,,15.68,,,,53.04,84.864,79
EV089,08/03/20,,30.515,,11.37,,,,35.96,57.536,79
EV089,08/04/20,,49.47,,15.32,,,,51.71,82.736,76.8
EV089,08/05/20,,46.41,,14.68,,,,48.84,78.144,71.3
EV089,08/06/20,,55.573,,14.91,,,,50.25,80.4,71
EV089,08/07/20,,49.844,,12.25,,,,49.84,79.744,72.8
EV089,08/08/20,,65.45,,13.58,,,,53.85,86.16,75
EV089,08/09/20,,72.879,,16.98,,,,72.19,115.504,76.8
EV089,08/10/20,,28.22,,8.88,,,,27.88,44.608,76.5
EV089,08/11/20,,57.018,,16.06,,,,47.36,75.776,77.3
EV089,08/12/20,,54.757,,14.99,,,,46.11,73.776,77.8
EV089,08/13/20,,49.113,,15.46,,,,48.08,76.928,84.1
EV089,08/14/20,,57.137,,13.45,,,,44.8,71.68,86.8
EV089,08/15/20,,40.375,,8.25,,,,28.84,46.144,89.3
EV089,08/16/20,,47.549,,12.55,,,,48.06,76.896,86.6
EV089,08/17/20,,48.773,,15.47,,,,50.77,81.232,87.2
EV089,08/18/20,,72.063,,11.78,,,,50.55,80.88,87.4
EV089,08/19/20,,58.922,,14.39,,,,47.41,75.856,87.1
EV089,08/20/20,,32.402,,10.64,,,,32.41,51.856,85.3
EV089,08/21/20,,52.19,,16.11,,,,53.73,85.968,85.2
EV089,08/22/20,,55.267,,18.26,,,,60.88,97.408,85.2
EV089,08/23/20,,62.356,,19.17,,,,61.27,98.032,81.6
EV089,08/24/20,,52.139,,15.64,,,,52.04,83.264,81.5
EV089,08/25/20,,59.687,,14.73,,,,46.65,74.64,81.7
EV089,08/26/20,,42.245,,11.88,,,,38.27,61.232,82
EV089,08/27/20,,70.941,,12.11,,,,61.36,98.176,82
EV089,08/28/20,,61.625,,13.19,,,,60.09,96.144,80
EV089,08/29/20,,69.071,,16.25,,,,69.06,110.496,76.3
EV089,08/30/20,,18.411,,7.13,,,,21.54,34.464,72.6
EV089,08/31/20,,39.474,,8.55,,,,32.44,51.904,72.2
EV089,09/01/20,,62.305,,13.91,,,,55.41,88.656,69.7
EV089,09/02/20,,58.446,,14.7,,,,50.21,80.336,73.4
EV089,09/03/20,,53.312,,12.67,,,,45.5,72.8,77.7
EV089,09/04/20,,60.095,,12.77,,,,42.94,68.704,81.9
EV089,09/05/20,,48.331,,10.9,,,,39.08,62.528,91.4
EV089,09/06/20,,39.474,,12.06,,,,39.15,62.64,92.5
EV089,09/07/20,,64.719,,15.71,,,,53.41,85.456,81.2
EV089,09/08/20,,47.991,,14.04,,,,46.01,73.616,73.1
EV089,09/09/20,,52.241,,15.27,,,,47.87,76.592,74.6
EV089,09/10/20,,36.975,,12.33,,,,33.93,54.288,72.4
EV089,09/11/20,,52.921,,14.35,,,,52.28,83.648,72.7
EV089,09/12/20,,50.065,,12.57,,,,48.98,78.368,73.7
EV089,09/13/20,,33.779,,8.92,,,,40.19,64.304,73.8
EV089,09/14/20,,15.453,,6.74,,,,20.69,33.104,75.4
EV089,09/15/20,,38.386,,13.88,,,,45.37,72.592,77.4
EV089,09/16/20,,42.857,,11.68,,,,34.42,55.072,77.3
EV089,09/17/20,,57.664,,16.36,,,,47.57,76.112,77.7
EV089,09/18/20,,38.59,,12.73,,,,38.54,61.664,80.6
EV089,09/19/20,,23.409,,5.3,,,,26.1,41.76,79.1
EV089,09/20/20,,31.348,,11.75,,,,36.62,58.592,76.7
EV089,09/21/20,,2.465,,0.47,,,,2.2,3.52,74.6
EV089,09/22/20,,36.159,,13.89,,,,43.16,69.056,75
EV089,09/23/20,,42.806,,13.11,,,,45.65,73.04,75
EV089,09/24/20,,52.19,,16.42,,,,54.03,86.448,75
EV089,09/25/20,,42.857,,12.64,,,,47.47,75.952,73.2
EV089,09/26/20,,34.119,,8.24,,,,33.71,53.936,72.3
