Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Average Ambient Temperature (logger),Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed,GPS Average Speed,GPS Distance,Average Battery Voltage,Average Battery Power Used,Average Battery Current
EV053,02/04/2021 19:50:37,02/04/2021 20:07:40,1.2960602203871,0.7938888888888889,0.2838888888888889,1.0777777777777777,,,4.18788290037455,8.79455409078655,52.052,60.8699895285487,8.713473223474217,10.009533443861315,0.73659793814432994,,4.5611966263744,17.2893458452637,4.912753270897956,363,25.5690615364006,70.4381860506905
EV053,02/04/2021 20:55:20,02/04/2021 20:58:50,,0.005833333333333334,0.058333333333333334,0.06416666666666666,,,0,0,55.508,60.7466043170631,10.515569076592833,10.515569076592833,0.09090909090909091,,,1.54899294370874,0.09035792223415254,376.671906019055,2.90858601424967,7.72180236373279
EV053,02/10/2021 15:36:03,02/10/2021 15:58:53,4.69992764133972,0.23527777777777778,0.38027777777777777,0.6155555555555555,,,8.80068575340842,18.4814400821577,49.568,53.6002008733354,11.943870044835828,16.643797686175553,0.38222021660649824,,12.3507427778234,26.0565074962221,9.915492275113337,374.687012866337,26.4717282882063,70.6502424135251
EV053,02/10/2021 16:48:52,02/10/2021 17:09:07,1.98036750330821,0.05638888888888889,0.3375,0.3938888888888889,,,4.2052259212815,8.83097443469114,52.268,60.799971006207,17.5202358544388,19.500603357747003,0.14315937940761636,,5.86775556535764,13.8844728038257,4.6860093305098225,365.934278802783,15.4112603097525,42.1148310023676
EV053,03/18/2021 15:19:17,03/18/2021 15:38:54,2.63581717691605,0.16583333333333333,0.3269444444444444,0.49277777777777776,,,6.1393533534433,12.8926420422309,48.038,50.0001126238042,19.525451364034176,22.161268540950225,0.3365276211950395,,8.06197267365997,14.3775202815557,4.700650699912511,363.77110692344,16.9616446187164,46.6272452536651
EV053,03/29/2021 13:43:59,03/29/2021 13:45:53,0.0000104394575427131,0.0022222222222222222,0.03166666666666667,0.03388888888888889,,,0,0,45.86,55.4095564547513,22.570159766539568,22.570170205997112,0.06557377049180327,,0.000329667080243969,6.43262347888332,0.20369975592539566,356.619915806245,0.441354469386412,1.23760465925914
EV053,03/29/2021 15:41:00,03/29/2021 15:54:30,0.117904896434047,0.15722222222222224,0.2247222222222222,0.3819444444444444,,,0.758067010928301,1.59194072294943,52.25,55.4821530624026,22.570170205997112,22.688075102431156,0.4116363636363637,,0.524062522347505,1.21678460291895,0.27375524437286247,387.249999811297,3.03104242839106,7.82709471883294
EV053,04/09/2021 16:28:01,04/09/2021 16:31:23,0.00177501060983093,1.8063888888888888,0.05611111111111111,1.8625,,,0.49309670326241,1.03550307685106,50.432,65.3382968355523,22.696562050290662,22.698337060900496,0.9698732289336316,,0.0316322864976441,0.444769272448898,0.02495773246739044,384.955092751544,7.62230625579615,19.8005076418503
EV053,04/09/2021 18:19:47,04/09/2021 18:21:48,0.00106319629617408,0.06805555555555555,0.03361111111111111,0.10166666666666667,,,0,0,63.41,65.407635744904,22.755485970638716,22.756549166934892,0.6693989071038251,,0.0316322864976646,1.13297523711525,0.03808055518273284,377.880947637261,4.5688793169755,12.0907903548535
EV053,04/30/2021 16:42:32,04/30/2021 16:45:41,0.0096270616517155,2.2380555555555555,0.0525,2.2905555555555557,,,0.132317484787777,0.277866718054331,70.16007038,84.1078929163289,22.75658156366831,22.766208625320026,0.9770797962648556,,0.18337260288981,0.0791083012705798,0.00415318583223972,377.000001242921,2.99872511620346,7.95417800084098
EV053,04/30/2021 18:59:58,04/30/2021 19:20:28,2.10143247114286,0.37027777777777776,0.3352777777777778,0.7055555555555555,,,7.54214468419221,15.8385038368036,80.222,84.1965459516038,23.286780677184947,25.388560756325706,0.5248031496062993,,5.00013370830171,12.6630192177682,4.700843697804819,373.297417142952,16.3243051230201,43.7437190629869
EV053,04/30/2021 20:52:18,04/30/2021 20:57:25,0.0125300066417913,0.021666666666666667,0.08527777777777777,0.10694444444444444,,,0,0,87.134,84.2,25.661291009331627,25.67382101597342,0.2025974025974026,,0.146931673975426,1.15953711574405,0.09888274352779766,368.618839617962,1.84488753281767,5.00486501104968
EV053,06/10/2021 14:40:01,06/10/2021 14:40:11,0,0.6216666666666667,0.002777777777777778,0.6244444444444445,,,0.00001363726087788,0.000028638247843548,57.326,84.2,25.67702616718378,25.67702616718378,0.9955516014234875,,0,20.317096282709,0.05643638028911159,365.750064093001,0,0
EV053,06/10/2021 15:17:30,06/10/2021 15:21:29,0.0134397155946252,0.0011111111111111111,0.06638888888888889,0.0675,,,0.0795993388925069,0.167158611674265,57.326,84.2,25.787580480401445,25.80102019599607,0.016460905349794237,,0.202439230713974,1.6989979768154,0.1127945858685278,364.626483674429,1.94860106681761,5.3441018523424
EV053,06/21/2021 19:23:05,06/21/2021 19:34:17,1.15154563823999,0.0025,0.18638888888888888,0.18888888888888888,,,4,8.4,89.00607038,82.4004403207337,26.7952028485479,27.946748486787893,0.013235294117647059,,6.16957288802965,19.6770690417959,3.6727086937286244,354.750121836368,22.5927690926694,63.6864308198619
EV053,07/21/2021 14:01:51,07/21/2021 14:15:31,1.47878667953501,0.001388888888888889,0.2275,0.2288888888888889,,,2.40043258030276,5.0409084186358,65.03,77.0176280913585,28.72166299278134,30.200449672316353,0.006067961165048544,,6.49273303476493,15.8760091068162,3.615924252366181,351.000273626989,14.7145070668673,41.9216398745731
