Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Average Speed,Maximum Speed
EV204,03/25/2021,,0,,,,,66,,13.28,37.52,,,66,66,,,,
EV204,03/26/2021,,0,,,,,59,,17.21,39.53,,,59,59,,,,
EV204,03/29/2021,,0,,,,,,,2.25,47.05,,,,,,,,
EV204,03/30/2021,,0,,,,,,,6.1,,,,,,,,,
EV204,03/31/2021,,0.6,,,,,,,14.37,53.51,,,,,,,4.54,13
EV204,04/06/2021,,0.2,,,,,,,2.52,45.04,,,,,,,2.68,10.5
EV204,04/07/2021,,9.6,,,0.733333333333333,97.43,94,3.43000000000001,27.79,62.81,,,97.43,93.36,,,15.93,49.9
EV204,04/09/2021,,12.1,,,0.716666666666667,89.84,85,4.84,28.27,56.04,,,89.84,85,,,20.66,45.4
EV204,04/12/2021,,80.42,,,1.45,80.42,73,,73,48.47,,,80.42,72.3,,,14.7,38.5
EV204,04/15/2021,,12.2,,,1.1,80.06,73,7.06,39.93,43.78,,,80.06,72.6,,,14.53,40.2
EV204,04/19/2021,,17.9,,,3.33333333333333,100,88,12,74,39.06,,,100,87.26,,,12.71,41.6
EV204,04/20/2021,,0.3,,,,,84,,27.68,,,,84,84,,,,
EV204,04/29/2021,,0,,,,,,,4.1,,,,,,,,,
EV204,05/03/2021,,0,,,,,,,6.83,,,,,,,,,
EV204,05/05/2021,,0.2,,,,,,,2.62,38.07,,,,,,,5.91,9.7
EV204,05/06/2021,,10.9,,,1.41666666666667,98.96,94,4.95999999999999,22.29,75.64,,,100,93.49,,,11.53,36.3
EV204,05/07/2021,,77.5,,,10.1333333333333,,57,,144.43,83.28,,,97.58,57,,,12.4,43.1
EV204,05/08/2021,,28.6,,,1.65,58.54,47,11.54,37.49,69.89,,,58.54,46.33,,,21.62,46.7
EV204,05/09/2021,,20.9,,,1.08333333333333,100,89,11,48.28,48.62,,,100,88.59,,,24.09,64.3
EV204,05/10/2021,,0,,,,,,,5.82,,,,,,,,,
EV204,05/11/2021,,36.5,,,4.56666666666667,98.38,69,29.38,112.29,50.07,,,98.38,68.68,,,12.8,44
EV204,05/12/2021,,115.7,,,15.35,99.38,45,54.38,192.15,64.43,,,99.38,44.78,,,12.43,37.5
EV204,05/13/2021,,99.8,,,13.4333333333333,59.37,8,51.37,168.73,73.32,,,59.37,7.32,,,12.77,40.4
EV204,05/14/2021,,112.8,,,14.9333333333333,100,51,49,173.89,69.03,,,100,50.1,,,12.42,37.9
EV204,05/15/2021,,116.1,,,14.7333333333333,97.15,46,51.15,175.22,64.13,,,97.15,46,,,12.92,48.2
EV204,05/16/2021,,106.9,,,15.0666666666667,100,51,49,173.39,63.09,,,100,50.61,,,11.98,39.5
EV204,05/17/2021,,33.3,,,4.3,98.43,82,16.43,65.21,61.03,,,98.43,81.97,,,12.94,41.1
EV204,05/18/2021,,0.3,,,,,98,,5.32,,,,98,98,,,,
EV204,05/20/2021,,63,,,7.8,97.76,69,28.76,104.63,78.8,,,97.76,69,,,14.55,46.6
EV204,05/21/2021,,106.6,,,14.9833333333333,100,56,44,158.58,72.14,,,100,55.68,,,13.27,40.2
EV204,05/22/2021,,107.4,,,15.0333333333333,100,57,43,153.22,65.61,,,100,57,,,13.22,39
EV204,05/23/2021,,114.3,,,15.0666666666667,100,50,50,174.66,71.13,,,100,50,,,13.34,34.4
EV204,05/24/2021,,116.6,,,14.9666666666667,69.4,16,53.4,171.15,74.5,,,69.4,16,,,12.01,40.9
EV204,05/25/2021,,0.2,,,,,,,1.08,61.81,,,,,,,5.36,11.8
EV204,05/27/2021,,0,,,,,,,0.81,,,,,,,,,
EV204,06/01/2021,,1.5,,,0.3,100,99,1,6.55,76.97,,,100,99,,,10.72,28.1
EV204,06/02/2021,,11.8,,,1.2,100,95,5,23.61,81.54,,,100,94.43,,,13.59,37.3
EV204,06/06/2021,,0,,,,,,,0.14,,,,,,,,,
EV204,06/07/2021,,51.9,,,7.16666666666667,100,77,23,91.4,80.93,,,100,76.18,,,12.35,34.7
EV204,06/08/2021,,0,,,,,,,0.06,,,,,,,,,
EV204,06/09/2021,,115.4,,,15.3666666666667,100,36,64,224.46,89.18,,,100,35.52,,,13.28,41.2
EV204,06/10/2021,,99.6,,,13.1333333333333,100,50,50,181.27,87.66,,,100,49.17,,,12.46,40.8
EV204,06/11/2021,,105.7,,,14.9666666666667,90.41,37,53.41,176.51,78.97,,,90.41,37,,,12.83,39
EV204,06/12/2021,,83.8,,,12.6166666666667,100,59,41,153.45,85.37,,,100,59,,,12,38
EV204,06/13/2021,,87.2,,,12.8333333333333,100,50,50,163,89.73,,,100,50,,,13.17,41.9
EV204,06/14/2021,,56.8,,,8.01666666666667,100,71,29,114.56,88.57,,,100,71,,,10.15,33.6
EV204,06/15/2021,,106.5,,,15.4166666666667,100,31,69,227,94.28,,,100,30.36,,,12.8,41
EV204,06/16/2021,,112.5,,,15.0166666666667,100,32,68,242.88,94.99,,,100,31.55,,,13.68,46.7
EV204,06/17/2021,,116.1,,,15.2333333333333,100,29,71,259,94.44,,,100,28.56,,,12.82,44.5
EV204,06/18/2021,,111.4,,,15.05,100,40,60,213.11,89.94,,,100,39.55,,,12.71,38.7
EV204,06/19/2021,,102.5,,,15.0333333333333,100,49,51,179.92,84.81,,,100,48.39,,,12.99,39.4
EV204,06/20/2021,,97.9,,,14.85,85.2,38,47.2,156.35,82.07,,,85.2,37.52,,,12.35,37.3
EV204,06/21/2021,,108.6,,,15.1833333333333,100,54,46,164.97,72.47,,,100,53.36,,,13.21,41.5
EV204,06/22/2021,,84.3,,,11.0166666666667,100,57,43,157.27,89.43,,,100,57,,,11.27,38.9
EV204,06/23/2021,,106,,,14.9166666666667,100,36,64,218.95,92.31,,,104.28,36,,,13.43,34.4
EV204,06/24/2021,,106.1,,,24.1666666666667,36.39,49,,176.52,79.61,,,100,35.44,,,13.43,44
EV204,06/25/2021,,107.2,,,15.7333333333333,100,49,51,171.38,70.65,,,100,48.4,,,13.52,41.5
EV204,06/26/2021,,8.4,,,0.816666666666667,52.23,49,3.23,11.82,59.77,,,60.97,32,,,17.18,30.1
EV204,06/28/2021,,83.4,,,12.8166666666667,100,64,36,135.83,73.43,,,100,63.66,,,64,100
EV204,06/29/2021,,95.1,,,14.9833333333333,100,57,43,151.49,76.8,,,100,57,,,12.94,43.5
EV204,06/30/2021,,98.2,,,15.05,100,50,50,177.02,81.16,,,100,49.11,,,13.66,45.7
