Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,HV Acces. Energy,LV Acces. Energy,Elect. Heater Energy,Traction Energy
EV076,01/01/2020 06:29,01/01/2020 06:55,6.6,,,0.45,90,87,3,11.18,30,,,,,0.97,1.35,0,8.86
EV076,01/01/2020 07:20,01/01/2020 07:54,8.93,,,0.5666666666666667,87,84,3,14.91,24,,,,,0.79,1.77,0,12.35
EV076,01/01/2020 08:20,01/01/2020 08:55,9.01,,,0.6,84,80,4,14.91,24,,,,,0.61,2.04,0,12.26
EV076,01/01/2020 09:21,01/01/2020 09:57,8.93,,,0.6166666666666667,80,77,3,14.91,27,,,,,0.96,1.94,0,12.01
EV076,01/01/2020 10:20,01/01/2020 10:57,9.09,,,0.6166666666666667,77,74,3,14.91,23,,,,,0.81,2.01,0,12.09
EV076,01/01/2020 11:22,01/01/2020 11:56,9.01,,,0.5833333333333334,73,70,3,14.91,27,,,,,0.92,1.92,0,12.07
EV076,01/01/2020 12:22,01/01/2020 12:57,8.850000000000001,,,0.6,70,66,4,14.91,30,,,,,0.96,1.92,0,12.03
EV076,01/01/2020 13:21,01/01/2020 15:47,24.39,,,1.8166666666666667,66,56,10,44.74,31,,,,,2.65,5.09,0,37
EV076,01/02/2020 14:57,01/02/2020 23:59,81.14,,,8.483333333333333,91,61,30,141.66,30,,,,,6.93,21.17,0,113.56
EV076,01/03/2020 00:01,01/03/2020 00:14,2.9499999999999997,,,0.23333333333333334,60,60,0,1.86,25,,,,,0.23,0.64,0,0.99
EV076,01/03/2020 06:57,01/03/2020 07:31,6.84,,,0.5666666666666667,88,84,4,14.91,25,,,,,0.62,1.62,0,12.67
EV076,01/03/2020 07:54,01/03/2020 08:33,9.01,,,0.5833333333333334,84,81,3,16.78,24,,,,,0.6,1.77,0,14.41
EV076,01/03/2020 09:00,01/03/2020 10:31,17.939999999999998,,,1.5333333333333334,81,74,7,33.55,31,,,,,1.46,4.45,0,27.65
EV076,01/03/2020 10:54,01/03/2020 13:28,27.18,,,2.2,74,62,12,54.06,36,,,,,2.47,5.76,0,45.83
EV076,01/03/2020 13:50,01/03/2020 15:12,15.219999999999999,,,1.1666666666666667,62,56,6,27.96,37,,,,,1.16,2.96,0,23.84
EV076,01/04/2020 06:02,01/04/2020 16:10,131.10999999999999,,,10.016666666666667,90,40,50,233,32,,,,,12.66,29.52,0,190.82
EV076,01/07/2020 10:24,01/07/2020 10:52,4.58,,,0.3333333333333333,60,57,3,11.18,49,,,,,0.28,0.87,0.84,9.19
EV076,01/08/2020 05:56,01/08/2020 16:59,130.52,,,10.533333333333333,89,39,50,231.14,41,,,,,12.75,24.84,0,193.54
EV076,01/09/2020 05:52,01/09/2020 16:19,140.84,,,10.383333333333333,89,40,49,225.54,31,,,,,15.18,30.18,2.9,177.29
EV076,01/10/2020 06:06,01/10/2020 08:01,15.84,,,1.6333333333333333,90,83,7,33.55,33,,,,,1.39,4.42,0,27.74
EV076,01/10/2020 08:23,01/10/2020 09:58,17.79,,,1.3166666666666667,82,76,6,27.96,25,,,,,1.11,4.26,0,22.6
EV076,01/10/2020 10:21,01/10/2020 11:55,18.1,,,1.2666666666666666,76,70,6,29.82,27,,,,,1.31,3.89,0,24.62
EV076,01/10/2020 12:20,01/10/2020 13:55,17.939999999999998,,,1.2666666666666666,70,63,7,31.69,27,,,,,1.53,3.82,0,26.34
EV076,01/10/2020 14:20,01/10/2020 14:54,8.78,,,0.5666666666666667,63,60,3,14.91,27,,,,,0.64,1.85,0,12.42
EV076,01/10/2020 15:20,01/10/2020 15:42,6.21,,,0.38333333333333336,60,58,2,7.46,26,,,,,0.44,1.22,0,5.79
EV076,01/11/2020 06:26,01/11/2020 06:48,5.75,,,0.38333333333333336,90,88,2,11.18,23,,,,,0.38,1.14,0,9.66
EV076,01/11/2020 07:20,01/11/2020 07:55,9.01,,,0.6,87,84,3,13.05,17,,,,,0.76,2.02,0,10.27
EV076,01/11/2020 08:19,01/11/2020 08:53,9.01,,,0.5833333333333334,84,81,3,13.05,18,,,,,0.53,2.03,0,10.48
EV076,01/11/2020 09:19,01/11/2020 09:55,9.09,,,0.6166666666666667,81,78,3,14.91,24,,,,,0.79,2.17,0,11.95
EV076,01/11/2020 10:19,01/11/2020 10:53,8.93,,,0.5666666666666667,78,75,3,14.91,28,,,,,0.55,1.86,0,12.5
EV076,01/11/2020 11:19,01/11/2020 12:55,17.939999999999998,,,1.2,75,68,7,29.82,25,,,,,1.55,3.92,0,24.35
EV076,01/11/2020 13:20,01/11/2020 13:52,8.78,,,0.55,68,65,3,13.05,26,,,,,0.67,1.78,0,10.59
EV076,01/11/2020 14:19,01/11/2020 14:55,9.01,,,0.6,65,62,3,14.91,24,,,,,0.57,1.98,0,12.37
EV076,01/11/2020 15:20,01/11/2020 15:39,6.06,,,0.3333333333333333,62,60,2,7.46,23,,,,,0.35,1.23,0,5.88
