Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Trip Percent Idling Time
EV018,7/30/19 2:04 PM,7/30/19 2:05 PM,0,0.005,0,0.005,0,0,0,0,93.2,,,100
EV018,7/30/19 1:40 PM,7/30/19 1:49 PM,0.06,0.144925,0.010908,0.155833,93.3,92.9,0.4,0.46,95,21430.21,21430.21,93
EV018,7/30/19 1:27 PM,7/30/19 1:29 PM,0.05,0.013597,0.011125,0.024722,93.3,93.3,0,0.08,96.8,21430.15,21430.15,55
EV018,7/30/19 10:54 AM,7/30/19 10:54 AM,0.01,0.005289,0.002489,0.007778,0,0,0,0.01,86,,,68
EV018,7/30/19 10:40 AM,7/30/19 10:50 AM,4.24,0.027153,0.132569,0.159722,96.1,93.7,2.4,1.37,86,21425.91,21429.64,17
EV018,7/29/19 3:33 PM,7/29/19 3:41 PM,3.47,0.02415,0.110017,0.134167,99.2,96.5,2.7,1.36,104,21422.43,21424.92,18
EV018,7/29/19 3:20 PM,7/29/19 3:33 PM,0,0.217222,0,0.217222,100,99.2,0.8,1.42,105.8,21422.43,21422.43,100
EV018,7/26/19 10:39 AM,7/26/19 10:46 AM,0.09,0.10535,0.01715,0.1225,100,100,0,0.16,78.8,21422.34,21422.34,86
EV018,7/26/19 8:43 AM,7/26/19 8:44 AM,0.02,0.003867,0.004189,0.008056,0,0,0,0.01,78.8,,,48
EV018,7/26/19 8:39 AM,7/26/19 8:40 AM,0.02,0.005222,0.007833,0.013056,0,0,0,0.01,78.8,,,40
EV018,7/26/19 8:28 AM,7/26/19 8:29 AM,0,0.0133,0.0042,0.0175,100,100,0,0.01,78.8,21422.29,21422.29,76
EV018,7/26/19 7:35 AM,7/26/19 7:37 AM,0.06,0.019147,0.012242,0.031389,100,100,0,0.02,87.8,21422.23,21422.23,61
