Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV027,9/28/18 9:28 PM,9/28/18 9:31 PM,0.292,0.02,0.04,0.053,95,94,1,0.558,59,,
EV027,9/28/18 4:37 PM,9/28/18 7:04 PM,30.69,0.79,1.67,2.458,97,95.5,1.5,61.366,75.56,,
EV027,9/28/18 9:34 AM,9/28/18 4:26 PM,98.377,1.63,5.23,6.867,99,52,47,203.35,76.64,,
EV027,9/28/18 9:01 AM,9/28/18 9:24 AM,7.409,0.02,0.35,0.372,88,64.5,23.5,14.225,67.28,,
EV027,9/28/18 5:51 AM,9/28/18 8:48 AM,45.759,0.87,2.08,2.953,88.5,89,-0.5,91.153,59.72,,
EV027,9/27/18 10:18 PM,9/27/18 10:21 PM,0.16,0.01,0.04,0.042,92.5,92,0.5,0.3,70.52,,
EV027,9/27/18 7:00 PM,9/27/18 7:10 PM,0.41,0.09,0.07,0.167,61.5,57.5,4,0.89,81.32,,
EV027,9/27/18 6:16 PM,9/27/18 6:23 PM,2.6,0.00,0.11,0.111,72.5,65,7.5,4.716,86.72,,
EV027,9/27/18 5:08 PM,9/27/18 5:51 PM,13.588,0.04,0.68,0.728,73.5,35,38.5,26.583,92.12,,
EV027,9/27/18 4:15 PM,9/27/18 4:52 PM,10.883,0.05,0.56,0.611,66,40,26,22.123,98.96,,
EV027,9/27/18 3:54 PM,9/27/18 4:04 PM,2.826,0.02,0.15,0.175,80,71.5,8.5,7.044,100.4,,
EV027,9/27/18 12:18 PM,9/27/18 3:40 PM,48.774,0.93,2.43,3.358,85.5,47.5,38,112.792,96.44,,
EV027,9/27/18 10:54 AM,9/27/18 12:07 PM,20.113,0.29,0.93,1.222,98,87.5,10.5,41.585,87.8,,
EV027,9/27/18 5:37 AM,9/27/18 10:39 AM,71.839,1.38,3.64,5.022,95,54.5,40.5,145.97,69.8,,
EV027,9/26/18 5:22 PM,9/26/18 5:35 PM,0.245,0.16,0.06,0.214,100,97.5,2.5,0.896,91.4,,
EV027,9/26/18 8:04 AM,9/26/18 8:13 AM,2.37,0.00,0.15,0.147,98,100,-2,3.54,64.04,,
EV027,9/26/18 5:37 AM,9/26/18 7:47 AM,30.029,0.55,1.61,2.161,93,57.5,35.5,63.108,59.72,,
EV027,9/25/18 7:59 PM,9/25/18 8:05 PM,0.212,0.07,0.03,0.103,89,98.5,-9.5,0.536,76.64,,
EV027,9/25/18 6:30 PM,9/25/18 7:35 PM,16.229,0.29,0.79,1.086,95.5,89,6.5,32.717,83.12,,
EV027,9/25/18 5:45 PM,9/25/18 6:15 PM,7.469,0.10,0.40,0.500,56.5,42.5,14,16.415,88.52,,
EV027,9/25/18 2:45 PM,9/25/18 5:35 PM,41.09,0.74,2.09,2.828,83.5,59,24.5,94.706,97.52,,
EV027,9/25/18 2:14 PM,9/25/18 2:32 PM,6.426,0.02,0.28,0.303,99,85,14,12.638,95,,
EV027,9/25/18 11:54 AM,9/25/18 2:04 PM,30.675,0.57,1.59,2.161,84.5,49,35.5,70.537,95.72,,
EV027,9/24/18 10:59 PM,9/24/18 11:30 PM,0.53,0.36,0.15,0.506,90,87.5,2.5,1.85,67.64,,
EV027,9/24/18 6:32 PM,9/24/18 7:42 PM,16.401,0.35,0.81,1.167,87.5,89,-1.5,33.783,84.2,,
EV027,9/24/18 2:45 PM,9/24/18 6:15 PM,48.953,1.00,2.50,3.494,85.5,42.5,43,116.515,96.44,,
EV027,9/24/18 2:14 PM,9/24/18 2:33 PM,6.451,0.02,0.29,0.308,99,87,12,13.83,95.72,,
EV027,9/24/18 11:48 AM,9/24/18 2:00 PM,30.111,0.71,1.50,2.206,80,53.5,26.5,72.593,97.52,,
EV027,9/21/18 11:08 PM,9/21/18 11:11 PM,0.305,0.01,0.06,0.064,86,83.5,2.5,0.596,65.84,,
EV027,9/21/18 5:05 PM,9/21/18 5:08 PM,0.23,0.01,0.05,0.061,87.5,85.5,2,0.487,96.44,,
EV027,9/20/18 4:58 PM,9/20/18 5:01 PM,0.242,0.01,0.04,0.050,89,87,2,0.541,93.92,,
EV027,9/19/18 7:31 PM,9/19/18 7:38 PM,0.254,0.05,0.07,0.119,89.5,91,-1.5,0.618,75.2,,
EV027,9/19/18 6:07 PM,9/19/18 6:15 PM,2.626,0.01,0.13,0.139,97,90,7,6.013,84.2,,
EV027,9/19/18 5:25 PM,9/19/18 5:49 PM,7.179,0.02,0.37,0.386,73.5,48.5,25,16.856,89.6,,
EV027,9/19/18 4:57 PM,9/19/18 5:14 PM,6.493,0.01,0.29,0.294,93,76,17,13.704,88.88,,
EV027,9/19/18 11:56 AM,9/19/18 4:42 PM,69.33,1.24,3.52,4.758,99.5,45,54.5,156.092,86.36,,
EV027,9/19/18 9:37 AM,9/19/18 11:43 AM,28.361,0.55,1.55,2.100,99.5,52.5,47,52.848,76.28,,
EV027,9/19/18 9:15 AM,9/19/18 9:22 AM,2.468,0.01,0.12,0.125,94,85.5,8.5,5.372,71.6,,
EV027,9/18/18 4:54 PM,9/18/18 4:57 PM,0.231,0.01,0.04,0.047,95.5,93,2.5,0.465,87.08,,
EV027,9/17/18 7:43 PM,9/17/18 7:53 PM,0.232,0.10,0.06,0.158,94,95,-1,0.68,67.64,,
EV027,9/17/18 5:42 PM,9/17/18 6:43 PM,16.399,0.20,0.82,1.019,97.5,92,5.5,34.948,77,,
