Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,HV Acces. Energy,LV Acces. Energy,Elect. Heater Energy,Traction Energy
EV072,01/18/2020 13:51,01/18/2020 14:23,6.54,,,0.55,65,61,4,18.64,30,,,,,1.06,1.76,0,15.82
EV072,01/18/2020 14:52,01/18/2020 16:26,14.65,,,1.2833333333333334,61,53,8,35.42,29,,,,,1.44,4.23,0.55,29.2
EV072,01/18/2020 16:51,01/18/2020 17:41,6.45,,,0.85,53,49,4,18.64,29,,,,,0.86,2.59,1.85,13.34
EV072,01/18/2020 18:50,01/18/2020 20:27,12.88,,,1.35,49,42,7,33.55,26,,,,,1.8,4.38,0.79,26.58
EV072,01/18/2020 20:51,01/18/2020 21:25,5.8,,,0.5833333333333334,41,38,3,14.91,23,,,,,0.77,2.05,0.26,11.83
EV072,01/18/2020 21:53,01/18/2020 22:26,8.19,,,0.5666666666666667,38,34,4,14.91,20,,,,,0.52,2.04,0,12.36
EV072,01/18/2020 22:52,01/18/2020 23:24,6.46,,,0.55,34,31,3,14.91,18,,,,,0.51,2.03,0,12.38
EV072,01/18/2020 23:54,01/18/2020 23:59,0.96,,,0.1,31,30,1,1.86,21,,,,,0.11,0.28,0,1.47
EV072,01/19/2020 00:01,01/19/2020 00:13,2.68,,,0.21666666666666667,30,29,1,3.73,15,,,,,0.22,0.78,0,2.73
EV072,01/19/2020 06:01,01/19/2020 17:07,96.89,,,10.316666666666666,90,44,46,216.22,30,,,,,9.2,27.66,11.36,168
EV072,01/20/2020 08:32,01/20/2020 10:03,12.82,,,1.5333333333333334,89,82,7,29.82,25,,,,,0.89,4.06,2.26,22.61
EV072,01/20/2020 11:45,01/20/2020 14:11,18.12,,,2.2333333333333334,82,74,8,39.14,41,,,,,0.79,5.57,4.63,28.16
EV072,01/21/2020 05:25,01/21/2020 16:17,100.76,,,10.633333333333333,91,40,51,236.73,38,,,,,13.2,27.64,7.54,188.35
EV072,01/22/2020 05:31,01/22/2020 10:00,38.42,,,4.316666666666666,91,66,25,113.7,33,,,,,5.09,11.8,10.47,86.34
EV072,01/22/2020 10:35,01/22/2020 11:10,9.59,,,0.5666666666666667,66,61,5,24.23,33,,,,,0.48,1.84,0.28,21.63
EV072,01/22/2020 14:45,01/22/2020 18:24,60.53,,,3.4833333333333334,89,56,33,156.58,36,,,,,2.64,9.81,2.05,142.08
EV072,01/23/2020 06:46,01/23/2020 07:26,5.4,,,0.6833333333333333,91,88,3,14.91,38,,,,,0.6,1.69,1.32,11.3
EV072,01/23/2020 07:52,01/23/2020 11:23,30.14,,,2.6333333333333333,87,74,13,59.65,30,,,,,2.66,7.72,1.54,47.72
EV072,01/23/2020 11:49,01/23/2020 12:26,5.13,,,0.5333333333333333,74,71,3,14.91,34,,,,,0.57,1.56,0.3,12.48
EV072,01/23/2020 12:50,01/23/2020 13:24,7.24,,,0.5666666666666667,71,68,3,14.91,35,,,,,0.64,1.62,0.29,12.36
EV072,01/23/2020 13:50,01/23/2020 14:27,7.44,,,0.6166666666666667,68,64,4,14.91,35,,,,,0.83,1.82,0.28,11.98
EV072,01/23/2020 14:49,01/23/2020 15:15,4.1899999999999995,,,0.43333333333333335,64,62,2,9.32,37,,,,,0.51,1.18,0,7.63
EV072,01/24/2020 05:34,01/24/2020 16:43,104.51,,,10.65,92,36,56,259.1,36,,,,,14.6,34.26,6.98,203.25
EV072,01/25/2020 06:00,01/25/2020 11:27,48.91,,,5.116666666666666,92,65,27,124.89,35,,,,,5.62,12.26,4.5,102.51
EV072,01/25/2020 12:16,01/25/2020 18:00,38.08,,,5.233333333333333,65,44,21,98.79,37,,,,,6.5,11.98,7.06,73.25
EV072,01/26/2020 06:11,01/26/2020 11:22,55.760000000000005,,,4.733333333333333,89,66,23,109.98,31,,,,,4.75,13.37,5.56,86.3
EV072,01/26/2020 12:20,01/26/2020 17:38,42.760000000000005,,,5.216666666666667,66,48,18,83.88,40,,,,,5.23,10.8,2.52,65.33
EV072,01/27/2020 15:16,01/27/2020 19:21,65.35,,,3.7,89,56,33,152.85,34,,,,,2.53,10.84,1.82,137.66
EV072,01/28/2020 06:20,01/28/2020 15:31,50.4,,,7.1,90,59,31,145.39,32,,,,,5.48,19.26,19.39,101.26
EV072,01/29/2020 05:31,01/29/2020 17:29,115.11,,,11.183333333333334,92,38,54,253.5,34,,,,,12.91,32.01,10.89,197.7
EV072,01/30/2020 14:43,01/30/2020 18:41,67.36,,,3.966666666666667,90,60,30,141.66,33,,,,,2.04,8.78,1.6,129.24
EV072,01/31/2020 06:00,01/31/2020 16:31,70.95,,,10.45,89,54,35,164.03,30,,,,,15.28,26,0.97,121.78
EV072,02/01/2020 07:41,02/01/2020 13:05,78.96000000000001,,,4.733333333333333,89,51,38,177.08,38,,,,,3.46,12.25,2.1,159.27
EV072,02/01/2020 14:01,02/01/2020 17:31,50.42,,,3.433333333333333,51,26,25,119.3,42,,,,,2.28,8.66,1.82,106.55
EV072,02/01/2020 05:58,02/01/2020 16:42,129.79,,,10.35,91,48,43,199.45,42,,,,,10.83,20.99,0,167.63
