Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Energy Consumed While Driving,Energy Consumed While Idling,Average Speed,Maximum Speed
EV143,10/15/2021,,0.21437306132188025,0.3546525,0.0317361111111111,2.85867361111111,46,42,6,2.612851,70.96957548833952,89021.44711758332,89021.66770435654,46,42,0.124061907110184,,0.52093,2.065794,0.12193819516674553,11.107010061242343
EV143,10/18/2021,,0.00932056788356001,0.389371944444444,0.00277777777777778,0.392149722222222,43,39,7.5,3.082857,67.9995778643376,89021.66770435654,89021.68013178042,43,38.5,0.992916537688624,,0.024246,3.045217,0.055535050306211725,1.3883762576552932
EV143,10/22/2021,,67.01177684820647,2.50686888888889,3.866035,7.60782916666667,40,86,213,139.616371,60.31958400833269,89021.68013178042,89088.76025945976,89.5,0,0.329511721934111,,121.148118,18.458731,9.13834046856987,46.29215382168138
EV143,10/25/2021,,80.02950394694982,2.67481916666667,4.1592975,8.04210222222222,85.5,86.5,254.5,165.885789,61.22433148597355,89088.76025945976,89168.82393882229,89,51,0.332601985495224,,147.394383,18.485817,10.334894778799661,42.36974817068321
EV143,10/26/2021,,128.92209620814444,5.34893527777778,7.24277194444444,14.0921988888889,86,87.5,373,253.573336,57.40245927020927,89168.87986222957,89297.78953101388,90,52,0.379567115107579,,217.089224,36.483751,9.238785346345306,42.83577656486121
EV143,10/27/2021,,179.09160751212917,5.95971194444444,10.4786577777778,18.4826027777778,87.5,84.5,540,361.668123,56.36012529249159,89297.78953101388,89477.03648132406,90,45,0.322449820303989,,316.875587,44.775699,9.621223117243048,41.398855682812375
EV143,10/28/2021,,188.8036392467987,5.50817083333333,11.3105269444444,19.1390369444444,88,69,583.5,388.288115,53.01260190211114,89493.40961223953,89666.06381420007,89,48,0.287797701071485,,341.413299,46.889006,9.791843325738556,42.29207677165355
EV143,10/29/2021,,154.14666037839018,5.27635138888889,9.54452,16.7187130555556,69,79,584,267.401627,60.11442288213901,89673.72532100034,89820.52426703056,90,0,0.315595546819651,,241.230632,26.167831,9.197174789611372,41.01049868766404
EV143,11/01/2021,,132.9144067396405,4.23428472222222,7.25228916666667,13.7337930555556,79.5,71,522,341.161724,53.27254739244085,89820.52426703056,89953.46974232978,89,31,0.308311382375853,,292.411996,48.725151,9.517847847375673,43.534819156128215
EV143,11/02/2021,,122.5468277757894,4.52475861111111,7.32034833333333,13.7123922222222,71.5,84.5,416,276.767462,50.02465553541471,89953.52877259307,90076.07560036886,89,25.5,0.329975874215318,,234.401335,42.38547,9.264376310097814,40.117277598822874
EV143,11/03/2021,,145.8265001143323,4.80866611111111,9.14178194444444,15.9251588888889,85,88,491.5,325.696998,45.8225496011176,90076.07560036886,90222.00151987394,90,32,0.301954042949371,,277.660866,48.024745,8.893169973601557,33.01034458760837
EV143,11/04/2021,,146.79273231826136,5.3657525,8.95681805555555,16.1415908333333,88.5,69,466.5,302.678148,46.69457288190987,90222.00462672989,90368.79735904816,89.5,0,0.332417823955704,,267.412542,35.26323,8.995501012013786,40.69981309154537
EV143,11/05/2021,,66.61720614113577,2.12505805555556,4.12873305555556,7.2851775,70,85,239,160.946866,38.68760131391885,90368.79735904816,90435.65068624234,88.5,47,0.291696126217317,,138.452203,22.49359,9.136890766258384,30.05883142448103
EV143,11/08/2021,,145.3138688807365,5.44637194444444,8.47393666666667,15.72968,0,88,437.5,288.158459,60.00906033875618,90435.65068624234,90581.129218489,89.5,0,0.346248108317807,,251.80454,36.353652,9.027692165333072,41.43769138232721
EV143,11/09/2021,,144.7328868159946,5.17442527777778,7.95561527777778,14.9170541666667,88,90,464.5,303.107235,57.858569027992125,90581.129218489,90726.04851666267,90,46.5,0.346879834313429,,259.635482,43.459769,9.370633251255255,39.72892060367454
EV143,11/10/2021,,143.92199741012487,4.61358833333333,8.30325388888889,14.7387152777778,89.5,83,440,286.554101,64.57746295497071,90726.04851666267,90870.0046894884,90,46.5,0.313025134578008,,255.157817,31.38768,9.702076034255658,47.45722480712638
EV143,11/11/2021,,114.1117138411676,3.85087888888889,6.78032444444445,12.1728647222222,83.5,78.5,339,230.160862,57.53717959525207,90870.0046894884,90984.12261704147,89,52,0.316349435959713,,200.559504,29.583595,9.65415820177693,39.107549411437205
EV143,11/12/2021,,0.00621371192237333,0.00944388888888889,0.00395833333333333,0.0143744444444444,78,78,1,0.328264,60.079584200332576,90984.13193760936,90984.13193760936,78,78,0.656991574553606,,0.125682,0.223107,0,0
EV143,11/15/2021,,64.28395793565576,2.73319055555556,3.94519916666667,8.28997916666667,78,82,308,199.637336,40.53534644205758,90984.13193760936,91048.49978065595,90,38,0.329698121141907,,158.107328,41.499246,7.4611239350170955,39.262892209496535
EV143,11/16/2021,,145.4226082180068,5.17505027777778,8.52998,15.5268319444444,82,0,419,279.711066,56.02107082310231,91048.49978065595,91194.04976996836,89.5,0,0.333297242882147,,248.018034,31.686391,9.163436471514377,39.61241350513003
EV143,11/17/2021,,145.22998376978444,5.13954111111111,8.93228694444444,15.8144588888889,80.5,88,374,238.350762,67.31100698662289,91194.04976996836,91339.31392915377,90,55,0.324990007386349,,214.89198,23.454002,9.151668365299283,43.57365485564305
EV143,11/18/2021,,143.375190760956,4.40818916666667,7.88039333333333,14.5706605555556,88.5,85,476,315.681987,47.52966046543709,91339.31392915377,91482.78232559352,89,47.5,0.302538731848083,,271.962274,43.70495,9.655842031109747,43.57365485564305
EV143,11/19/2021,,113.62393807663246,4.01171972222222,6.56566472222222,12.16981,85,84.5,349,230.047557,40.28168096351062,91482.78232559352,91596.40937052612,89.5,0,0.329645222252625,,197.089062,32.942864,9.32019701227234,36.62206464248787
EV143,11/22/2021,,1.1402161377555078,0.205408333333333,0.163258611111111,1.51178305555556,85,77,16.5,6.253066,56.61672982775889,91596.40937052612,91597.5868689354,85,0,0.135871567404127,,3.594167,2.653731,2.190450634672821,16.077979599141017
EV143,11/23/2021,,9.441735266046289,1.23200416666667,0.970482777777778,2.67762361111111,78,83,72,44.141787,39.622209261884656,91597.5868689354,91607.06899332895,89.5,0,0.460111033363435,,27.612723,16.475658,3.089821213055152,24.66066919191919
EV143,11/24/2021,,0,1.33693305555556,0.0127647222222222,1.53122388888889,83.5,0,28.5,,58.98518507585184,91607.06899332895,91607.06899332895,83.5,0,0.87311402679701,,,,0,0
EV143,11/26/2021,,131.1683530680824,4.59311055555556,7.31400583333333,14.0665516666667,68,82.5,451.5,304.265958,34.890069468223395,91607.06899332895,91738.29948351624,88,39.5,0.326527116552651,,255.812694,48.418745,9.355002439564997,37.4764500318142
EV143,11/27/2021,,0.02174799172830668,0.0165972222222222,0.00277777777777778,0.0234025,82.5,82,1,0.212737,65.11958016833572,91738.29948351624,91738.32433836396,82.5,82,0.709207230946361,,0.024558,0.173586,0.0546126247713354,0.1092252495426708
EV143,11/29/2021,,80.95534702338344,2.45477972222222,4.19908722222222,8.268305,82.5,84.5,329.5,216.7382,36.74847243043934,91738.32433836396,91819.50959272846,89.5,36.5,0.296890320594393,,180.315871,36.410797,9.36374628644619,42.913447963890874
EV143,12/01/2021,,176.59990903125745,5.59172972222222,10.1530391666667,18.5462958333333,85,81.5,593.5,400.341778,52.99714088669535,91819.50959272846,91996.21824171836,89.5,38.5,0.301501160796334,,340.022924,60.308856,8.899088120818764,43.80666905273204
