Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV050,08/05/20,,75.157,,9.77,,,,91.28,146.048,73
EV050,08/06/20,,60.316,,6.51,,,,64.53,103.248,69
EV050,08/07/20,,49.504,,7.31,,,,52.87,84.592,76
EV050,08/08/20,,71.655,,6.91,,,,63.28,101.248,80
EV050,08/09/20,,45.339,,6.53,,,,51.95,83.12,81
EV050,08/10/20,,29.546,,3.65,,,,39.52,63.232,83
EV050,08/11/20,,64.617,,7.85,,,,71.71,114.736,78
EV050,08/12/20,,38.08,,6.04,,,,46.1,73.76,77
EV050,08/13/20,,0,,0,,,,0,0,84
EV050,08/14/20,,69.802,,10.03,,,,78.53,125.648,89
EV050,08/15/20,,81.685,,8.4,,,,86.05,137.68,91
EV050,08/16/20,,113.815,,7.15,,,,88.64,141.824,95
EV050,08/17/20,,50.609,,5.91,,,,54.76,87.616,94
EV050,08/18/20,,38.828,,5.51,,,,44.54,71.264,92
EV050,08/19/20,,44.948,,4,,,,45.31,72.496,90
EV050,08/20/20,,29.784,,3.96,,,,28,44.8,83
EV050,08/21/20,,65.212,,7.17,,,,77,123.2,78
EV050,08/22/20,,81.107,,8.52,,,,109.31,174.896,79
EV050,08/23/20,,31.212,,4.45,,,,60.25,96.4,83
EV050,08/24/20,,34.867,,4.75,,,,52.06,83.296,83
EV050,08/25/20,,39.423,,3.67,,,,41.62,66.592,81
EV050,08/26/20,,32.657,,5.51,,,,21.11,33.776,79
EV050,08/27/20,,0.935,,0.22,,,,0.63,1.008,73
EV050,08/28/20,,102.799,,7.01,,,,100.01,160.016,77
EV050,08/29/20,,87.873,,8.13,,,,108.9,174.24,78
EV050,08/30/20,,54.621,,6.73,,,,66.76,106.816,76
EV050,08/31/20,,66.742,,6.19,,,,77.94,124.704,76
EV050,09/01/20,,90.202,,8.25,,,,103.89,166.224,74
EV050,09/02/20,,83.538,,7.6,,,,92.72,148.352,71
EV050,09/03/20,,13.957,,0.7,,,,8.1,12.96,72
EV050,09/04/20,,91.46,,7.6,,,,89.53,143.248,76
EV050,09/05/20,,29.359,,3.95,,,,32.33,51.728,82
EV050,09/06/20,,7.089,,1.28,,,,3.35,5.36,88
EV050,09/07/20,,26.197,,1.99,,,,12.98,20.768,92
EV050,09/08/20,,48.569,,6.14,,,,44.31,70.896,88
EV050,09/09/20,,85.068,,8.89,,,,92.27,147.632,78
EV050,09/10/20,,0.952,,0.18,,,,0.75,1.2,69
EV050,09/11/20,,49.045,,4.67,,,,51.07,81.712,70
EV050,09/12/20,,70.669,,7.35,,,,77.5,124,74
EV050,09/13/20,,0,,0.05,,,,0.08,0.128,74
EV050,09/14/20,,0,,0.17,,,,0.17,0.272,71
EV050,09/15/20,,0,,0,,,,0,0,73
EV050,09/16/20,,0.357,,0.33,,,,0.79,1.264,74
EV050,09/17/20,,37.519,,4.49,,,,32.14,51.424,74
EV050,09/18/20,,81.056,,6.7,,,,73.88,118.208,76
EV050,09/19/20,,54.23,,6.66,,,,56.45,90.32,71
EV050,09/20/20,,65.144,,9.34,,,,87.85,140.56,74
EV050,09/21/20,,55.658,,5.31,,,,53.56,85.696,77
EV050,09/22/20,,65.62,,5.54,,,,56.85,90.96,77
EV050,09/23/20,,68.918,,8.23,,,,71.1,113.76,75
EV050,09/24/20,,53.975,,6.78,,,,52.14,83.424,74
EV050,09/25/20,,62.101,,5.92,,,,66.33,106.128,72
EV050,09/26/20,,96.696,,9.87,,,,118.61,189.776,74
EV050,09/27/20,,58.548,,5.85,,,,50.82,81.312,79
EV050,09/28/20,,88.842,,10.51,,,,92.16,147.456,78
EV050,09/29/20,,22.457,,4.47,,,,35.96,57.536,80
EV050,09/30/20,,56.763,,6.19,,,,57.71,92.336,79
EV050,10/01/20,,41.854,,5.96,,,,44.19,70.704,80
EV050,10/02/20,,93.041,,11.46,,,,93.21,149.136,76
EV050,10/03/20,,75.259,,8.77,,,,84.1,134.56,75
EV050,10/04/20,,65.348,,8.61,,,,78.91,126.256,77
EV050,10/05/20,,100.793,,10.32,,,,96.57,154.512,76
EV050,10/06/20,,86.224,,8.44,,,,83.51,133.616,74
EV050,10/07/20,,39.338,,4.12,,,,49.26,78.816,72
EV050,10/08/20,,71.604,,6.95,,,,72.31,115.696,66
EV050,10/09/20,,48.127,,5.55,,,,56.55,90.48,63
EV050,10/10/20,,72.114,,7.56,,,,87.88,140.608,67
EV050,10/11/20,,47.974,,5.71,,,,54.4,87.04,67
EV050,10/12/20,,77.027,,8.82,,,,77.83,124.528,69
EV050,10/13/20,,52.258,,4.8,,,,53.3,85.28,70
EV050,10/14/20,,90.797,,9.1,,,,96.64,154.624,77
EV050,10/15/20,,90.049,,8.34,,,,94.21,150.736,77
EV050,10/16/20,,49.232,,6.82,,,,59.14,94.624,73
EV050,10/17/20,,71.281,,10.94,,,,98.64,157.824,72
EV050,10/18/20,,74.97,,9.7,,,,105.16,168.256,72
EV050,10/19/20,,60.18,,4.65,,,,63.07,100.912,72
EV050,10/20/20,,90.848,,10.17,,,,82.94,132.704,71
EV050,10/21/20,,98.651,,8.76,,,,101.75,162.8,71
EV050,10/22/20,,0,,0,,,,0,0,69
EV050,10/23/20,,87.227,,8.88,,,,90.26,144.416,65
EV050,10/24/20,,73.508,,11.02,,,,84.78,135.648,62
EV050,10/25/20,,95.608,,9.76,,,,93.17,149.072,60
EV050,10/26/20,,84.643,,8.11,,,,87.89,140.624,61
EV050,10/27/20,,68.187,,10.52,,,,98.4,157.44,57
EV050,10/28/20,,9.571,,1.23,,,,10.22,16.352,58
EV050,10/29/20,,0.935,,0.53,,,,1.47,2.352,59
EV050,10/30/20,,61.404,,10.13,,,,90.89,145.424,59
EV050,10/31/20,,75.191,,8.77,,,,89.82,143.712,59
EV050,11/01/20,,53.397,,7.96,,,,115.32,184.512,61
EV050,11/02/20,,62.22,,5.75,,,,74.69,119.504,60
EV050,11/03/20,,88.077,,9.78,,,,100.79,161.264,62
EV050,11/04/20,,63.41,,8.52,,,,86.96,139.136,60
EV050,11/05/20,,88.281,,9.16,,,,95.18,152.288,63
