Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV034,9/28/18 9:10 PM,9/28/18 9:13 PM,0.305,0.011,0.042,0.053,84,82.5,1.5,0.59,61.88,,
EV034,9/28/18 5:03 PM,9/28/18 5:06 PM,0.227,0.011,0.042,0.053,86,83.5,2.5,0.496,81.32,,
EV034,9/26/18 6:00 PM,9/26/18 6:29 PM,2.924,0.300,0.183,0.483,97,86,11,8.424,84.2,,
EV034,9/26/18 5:00 PM,9/26/18 5:49 PM,13.868,0.189,0.625,0.814,97,46,51,34.395,95,,
EV034,9/26/18 1:57 PM,9/26/18 4:44 PM,41.424,0.800,1.986,2.786,97,46,51,99.593,98.96,,
EV034,9/26/18 7:52 AM,9/26/18 1:45 PM,85.726,1.628,4.261,5.889,86,49,37,188.423,77.72,,
EV034,9/25/18 11:41 PM,9/25/18 11:42 PM,0.085,0.000,0.017,0.017,86.5,86,0.5,0.136,69.44,,
EV034,9/25/18 11:22 PM,9/25/18 11:29 PM,0.426,0.053,0.075,0.128,90,87.5,2.5,0.883,71.24,,
EV034,9/25/18 9:48 PM,9/25/18 9:52 PM,0.09,0.058,0.019,0.078,94.5,94,0.5,0.303,73.04,,
EV034,9/25/18 8:00 PM,9/25/18 8:03 PM,0.079,0.028,0.019,0.047,55.5,55,0.5,0.293,79.16,,
EV034,9/25/18 4:25 PM,9/25/18 4:30 PM,0.096,0.050,0.031,0.081,87.5,85.5,2,0.403,79.52,,
EV034,9/25/18 4:07 PM,9/25/18 4:14 PM,0.33,0.019,0.097,0.117,94,90,4,0.779,91.04,,
EV034,9/24/18 5:43 PM,9/24/18 5:48 PM,0.289,0.008,0.081,0.089,96.5,93.5,3,0.642,91.04,,
EV034,9/22/18 4:54 PM,9/22/18 7:17 PM,30.376,0.803,1.581,2.383,97.5,97,0.5,60.633,87.44,,
EV034,9/22/18 1:51 PM,9/22/18 4:41 PM,41.765,0.597,2.231,2.828,99,44.5,54.5,86.316,94.64,,
EV034,9/22/18 12:51 PM,9/22/18 1:39 PM,13.905,0.092,0.703,0.794,97.5,61.5,36,27.332,91.4,,
EV034,9/22/18 9:41 AM,9/22/18 12:29 PM,41.433,0.617,2.178,2.794,99.5,55,44.5,82.446,80.24,,
EV034,9/22/18 7:42 AM,9/22/18 9:30 AM,25.913,0.508,1.294,1.803,92.5,65,27.5,50.396,64.04,,
EV034,9/21/18 11:14 PM,9/21/18 11:21 PM,0.468,0.014,0.100,0.114,99,95.5,3.5,0.996,66.2,,
EV034,9/21/18 4:28 PM,9/21/18 4:33 PM,0.28,0.036,0.061,0.097,100,98.5,1.5,0.656,100.76,,
EV034,9/20/18 4:40 PM,9/20/18 7:08 PM,30.375,0.956,1.508,2.464,99,100,-1,65.703,87.8,,
EV034,9/20/18 12:36 PM,9/20/18 4:25 PM,54.937,0.889,2.919,3.808,99,56,43,117.408,91.04,,
EV034,9/20/18 11:36 AM,9/20/18 12:22 PM,13.625,0.058,0.703,0.761,98.5,57,41.5,28.169,84.56,,
EV034,9/20/18 9:35 AM,9/20/18 11:23 AM,27.836,0.356,1.444,1.800,99.5,66.5,33,57.775,78.08,,
EV034,9/20/18 8:36 AM,9/20/18 9:23 AM,13.88,0.097,0.683,0.781,99.5,66.5,33,30.197,70.88,,
EV034,9/20/18 7:37 AM,9/20/18 8:24 AM,13.962,0.047,0.728,0.775,97,56,41,30.488,64.4,,
EV034,9/20/18 5:49 AM,9/20/18 7:23 AM,26.669,0.339,1.233,1.572,88,48,40,60.004,59.36,,
EV034,9/19/18 3:49 PM,9/19/18 3:55 PM,0.236,0.022,0.075,0.097,94,90.5,3.5,0.679,87.8,,
EV034,9/18/18 8:08 PM,9/18/18 8:19 PM,0.209,0.144,0.042,0.186,96.5,93.5,3,0.63,71.24,,
EV034,9/18/18 6:34 PM,9/18/18 7:36 PM,16.667,0.214,0.814,1.028,96,87,9,36.429,75.92,,
EV034,9/18/18 2:16 PM,9/18/18 6:14 PM,55.644,1.111,2.856,3.967,97,51.5,45.5,134.311,83.84,,
EV034,9/18/18 9:17 AM,9/18/18 2:03 PM,68.887,1.050,3.717,4.767,99.5,46,53.5,142.667,75.56,,
EV034,9/18/18 7:25 AM,9/18/18 9:05 AM,27.36,0.181,1.489,1.669,97.5,57,40.5,56.26,60.08,,
EV034,9/18/18 5:40 AM,9/18/18 7:13 AM,25.676,0.217,1.339,1.556,84,55,29,45.927,53.6,,
EV034,9/17/18 9:39 PM,9/17/18 9:49 PM,0.168,0.108,0.067,0.175,93.5,91,2.5,0.731,61.16,,
EV034,9/17/18 8:14 PM,9/17/18 8:18 PM,0.062,0.050,0.014,0.064,86,86,0,0.255,67.28,,
EV034,9/17/18 6:32 PM,9/17/18 7:32 PM,16.551,0.217,0.783,1.000,97.5,86.5,11,36.502,73.04,,
EV034,9/17/18 5:47 PM,9/17/18 6:17 PM,7.471,0.128,0.375,0.503,77.5,50.5,27,17.018,78.44,,
EV034,9/17/18 2:16 PM,9/17/18 5:36 PM,47.929,0.936,2.389,3.325,100,78.5,21.5,114.853,84.92,,
EV034,9/17/18 5:44 AM,9/17/18 2:05 PM,121.751,2.133,6.208,8.342,74.5,55.5,19,244.145,68,,
