Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time
EV011,3/29/19 10:54 PM,3/29/19 10:55 PM,0,0.009016,0,0.009016,60.8,60.8,0,0.01,60.8,14914.43,14914.43,100
EV011,3/29/19 10:32 PM,3/29/19 10:52 PM,12.22,0.040459,0.296699,0.337158,65.5,61.2,4.3,2.59,60.8,14902.21,14913.39,12
EV011,3/29/19 9:47 PM,3/29/19 9:53 PM,0.39,0.057066,0.039656,0.096721,21.2,21.2,0,-0.08,66.2,14901.81,14901.81,59
EV011,3/29/19 9:12 PM,3/29/19 9:14 PM,0.17,0.015123,0.021762,0.036885,21.6,21.6,0,0.06,68,14901.64,14901.64,41
EV011,3/29/19 8:22 PM,3/29/19 8:50 PM,13.85,0.107082,0.358492,0.465574,24.7,21.2,3.5,3,68,14887.78,14901.45,23
EV011,3/29/19 8:16 PM,3/29/19 8:21 PM,0.75,0.046295,0.050153,0.096448,24.7,24.7,0,0.17,68,14887.02,14887.02,48
EV011,3/29/19 7:16 PM,3/29/19 7:23 PM,0.56,0.074836,0.038552,0.113388,25.9,25.9,0,0.16,68,14886.46,14886.46,66
EV011,3/29/19 6:19 PM,3/29/19 6:46 PM,19.31,0.035913,0.412995,0.448907,31.4,26.3,5.1,3.76,68,14867.16,14885.8,8
EV011,3/29/19 5:02 PM,3/29/19 5:38 PM,21.51,0.060574,0.545164,0.605738,43.1,32.9,10.2,5.87,68,14845.66,14866.78,10
EV011,3/29/19 4:51 PM,3/29/19 4:52 PM,0.11,0.00582,0.013579,0.019399,43.9,43.9,0,0.05,68,14845.54,14845.54,30
EV011,3/29/19 4:34 PM,3/29/19 4:47 PM,9.69,0.021148,0.190328,0.211475,47.8,43.1,4.7,2.45,68,14835.85,14844.55,10
EV011,3/29/19 3:24 PM,3/29/19 3:29 PM,0.71,0.031148,0.05082,0.081967,48.2,47.5,0.7,0.24,64.4,14835.14,14835.14,38
EV011,3/29/19 2:56 PM,3/29/19 3:10 PM,3.4,0.074754,0.158852,0.233607,51,48.6,2.4,0.9,62.6,14831.73,14834.22,32
EV011,3/29/19 2:26 PM,3/29/19 2:29 PM,0.37,0.00841,0.038311,0.046721,51.4,51,0.4,0.13,60.8,14831.35,14831.35,18
EV011,3/29/19 2:12 PM,3/29/19 2:16 PM,0.38,0.024153,0.046885,0.071038,51.4,51.4,0,0.14,60.8,14830.96,14830.96,34
EV011,3/29/19 1:14 PM,3/29/19 1:29 PM,7.76,0.031213,0.228896,0.260109,55.3,51.4,3.9,2.09,60.8,14823.2,14829.41,12
EV011,3/29/19 1:10 PM,3/29/19 1:10 PM,0,0.00847,0,0.00847,55.3,55.3,0,0,75.2,14823.2,14823.2,100
EV011,3/28/19 10:47 PM,3/28/19 10:57 PM,5.4,0.031874,0.135885,0.16776,59.2,56.1,3.1,1.76,57.2,14817.79,14822.76,19
