Vehicle ID,Date,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV111,12/15/20,26,,,11.45,75.53,99.93,49.33,78.928,55.5,6607,6633
EV111,12/16/20,24,,,8.88,99.93,82.55,40.26,64.416,58,6633,6657
EV111,12/17/20,37,,,15.6,82.19,82.35,65.27,104.432,55.5,6657,6694
EV111,12/18/20,34,,,13.98,81.83,97.53,61.5,98.4,56.5,6694,6728
EV111,12/19/20,0,,,0,98.83,100,NA,NA,57,6728,6728
EV111,12/20/20,8,,,4.03,100,82.26,17.74,28.384,60.5,6728,6736
EV111,12/21/20,36,,,13.7,81.8,81.62,61.37,98.192,64,6736,6772
EV111,12/22/20,37,,,15.19,81.22,84.6,64.38,103.008,59.5,6772,6809
EV111,12/23/20,34,,,13.3,84.17,86.3,63.47,101.552,58,6809,6843
EV111,12/24/20,0,,,0,87.6,99.25,0.75,1.2,55,6843,6843
EV111,12/25/20,0,,,0,99.25,99.25,NA,NA,56,6843,6843
EV111,12/26/20,0,,,0,99.25,99.25,NA,NA,55,6843,6843
EV111,12/27/20,8,,,3.67,99.25,89.64,18.17,29.072,54.5,6843,6851
EV111,12/28/20,33,,,14.73,88.97,73.61,66.3,106.08,47,6852,6885
EV111,12/29/20,35,,,14.92,74.69,82.99,71.86,114.976,49.5,6885,6920
EV111,12/30/20,37,,,15.94,82.83,83.3,73.08,116.928,53,6920,6957
EV111,12/31/20,28,,,10.2,83.18,100,53.77,86.032,52,6958,6986
