Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,HV Accessories Energy,LV Accessories Energy,Electric Heater Energy,Traction Energy,Regenerated Energy,Average Speed,Maximum Speed
EV181,05/18/2022,5,175.368000000002,12.05,4.416666666666667,16.46666666666667,66,90,86,322.6,68.2370449678801,78999.504,79174.872,91,50,0.7317813765182186,,17.6,30,25.4,426.1,176.5,11.442566844919787,106.3
EV181,05/19/2022,6,91.7519999999931,6.266666666666667,3.3666666666666663,9.633333333333333,89,66,36,162.1,69.6484490398818,79175.128,79266.624,92,66,0.6505190311418685,,13.7,18.65,7.45,212.8,90.5,8.065007385524373,67.21
EV181,05/20/2022,3,148.127999999997,9.483333333333333,4.6499999999999995,14.133333333333333,66,90,65,308.15,61.0065909090909,79266.752,79414.752,92,62,0.6709905660377358,,12.05,26.15,62.45,350,142.5,9.997872582480092,91.68
EV181,05/21/2022,4,147.624000000011,9.533333333333333,4.883333333333333,14.416666666666668,89,90,54,257.7,57.2294759825328,79414.752,79562.376,92,66,0.6612716763005779,,9.4,23.55,39.35,328.1,142.7,8.934609460946094,105.48
EV181,05/22/2022,2,145,13.983333333333334,4.133333333333333,18.116666666666667,88,91,53,277.3,57.8567788898999,79562.376,79707.376,92,73,0.7718491260349586,,10.25,29.25,60.2,283.5,105.9,7.696675774134791,101.58
EV181,05/23/2022,4,144.375999999989,6.283333333333333,4.383333333333334,10.666666666666666,91,89,59,282.2,61.2710467706013,79707.376,79851.752,93,64,0.5890625,,12.05,24.95,24.6,361.3,140.7,9.568327759197324,107.09
EV181,05/24/2022,4,92.1200000000099,10.233333333333333,0.20000000000000046,10.433333333333334,,,,,71.0884210526316,79851.752,79943.872,,,0.9808306709265174,,,,,,,8.335593984962406,65.75
EV181,05/25/2022,4,197.751999999993,5.75,4.366666666666666,10.116666666666665,70,90,109,413.7,57.1490234375,79944.128,80141.624,91,44,0.5683690280065898,,16.4,31.15,51.45,508.4,193.7,11.65447572815534,107.01
EV181,05/26/2022,3,145.376000000004,5.716666666666667,4.499999999999999,10.216666666666667,90,90,66,321,54.8118226600985,80141.624,80287,90,61,0.5595432300163132,,10,22.4,73.2,359,143.6,14.244754098360655,86.78
EV181,05/27/2022,4,145.495999999999,4.45,5.3,9.75,90,90,55,259.05,63.5140381282496,80287,80432.496,90,68,0.45641025641025645,,14.05,18.9,21.9,347.5,143.3,13.971388888888889,83.28
EV181,05/28/2022,3,147.376000000004,7.183333333333334,4.966666666666666,12.15,90,90,50,235.35,73.7874809160305,80432.496,80579.872,90,75,0.5912208504801097,,22.45,21.7,0,315,123.8,12.729451219512194,65.65
EV181,05/29/2022,3,144.376000000004,9.533333333333333,4.233333333333333,13.766666666666667,90,89,46,210,70.9668341708543,80579.872,80724.248,91,76,0.6924939467312348,,11.15,22.7,6.75,274.4,105,10.521896984924624,106.4
EV181,05/30/2022,4,147.255999999994,8.333333333333332,4.183333333333333,12.516666666666666,89,78,55,255.1,70.7567567567568,80724.248,80871.504,90,74,0.6657789613848202,,16.5,17.5,0,346.5,125.4,15.66436036036036,76.01
EV181,05/31/2022,4,144.368000000002,12.033333333333333,4.333333333333334,16.366666666666667,77,90,60,282.25,68.8745652173913,80871.624,81015.872,91,53,0.7352342158859471,,14.9,24,9.75,386,152.4,9.422960954446854,108.34
EV181,06/01/2022,4,1.25599999999395,0.06666666666666667,0.18333333333333335,0.25,,,,,66.8123167155425,81016,81017.128,,,0.26666666666666666,,,,,,,0.21085043988269794,17.85
EV181,06/02/2022,4,115.368000000002,13.65,9.25,22.9,91,71,47,207.05,78.0347826086957,81017.128,81132.496,91,68,0.5960698689956332,,30.25,18.15,7.15,261.6,110.1,16.735855421686747,69.76
EV181,06/03/2022,3,174.255999999994,1.5333333333333334,0.1333333333333333,1.6666666666666667,,,,,67.046138996139,81132.496,81306.752,,,0.92,,,,,,,9.9598649951784,106.48
EV181,06/04/2022,3,147.624000000011,7.083333333333333,4.499999999999999,11.583333333333332,89,74,53,238.4,70.8131958762887,81306.752,81454.376,89,74,0.6115107913669066,,19.35,18.25,0,337.7,136.9,18.205360824742268,65.14
EV181,06/05/2022,2,144.495999999999,14.566666666666666,4.083333333333333,18.650000000000002,73,91,45,201.55,66.1982938388626,81454.496,81598.872,92,73,0.7810545129579981,,9.3,21.85,0,278.8,108.4,8.38686964795433,105.48
EV181,06/06/2022,4,143.751999999993,5.283333333333333,4.35,9.633333333333333,91,90,56,256.05,69.3940968122786,81598.872,81742.624,92,63,0.5484429065743944,,14.6,23.95,12.2,348.3,143,10.635941176470588,107.19
EV181,06/07/2022,3,114.880000000005,4.666666666666667,4.766666666666667,9.433333333333334,89,54,47,209.65,70.9735294117647,81742.624,81857.504,89,54,0.49469964664310956,,12.25,13.85,0.45,309,125.9,16.767487804878048,79.02
EV181,06/08/2022,5,93.3680000000022,11.916666666666666,2.25,14.166666666666666,54,75,37,158.3,71.1055793991416,81857.504,81950.872,85,40,0.8411764705882353,,17.8,17.9,0,210.3,87.7,6.902011412268188,85.04
EV181,06/09/2022,2,144.127999999997,5.266666666666667,4.25,9.516666666666667,80,90,60,268.8,70.4952158693116,81950.872,82095,91,56,0.553415061295972,,21.55,24.3,10.05,360.5,147.6,9.842365967365968,106.99
EV181,06/10/2022,5,144.376000000004,4.916666666666667,4.166666666666666,9.083333333333334,89,90,57,264.7,75.5914498141264,82095,82239.376,90,62,0.5412844036697247,,22.75,19.05,0,369.1,146.2,16.657193308550188,107.37
EV181,06/11/2022,2,147.623999999996,8.283333333333333,4.516666666666667,12.799999999999999,89,90,56,254,76.0625538020086,82239.376,82387,90,68,0.6471354166666667,,25.9,21.3,0,345,138.2,13.32206008583691,76.34
EV181,06/12/2022,2,141.872000000003,12.966666666666667,3.9666666666666672,16.933333333333334,90,91,47,229.8,71.7921472392638,82387,82528.872,91,70,0.765748031496063,,12.25,36.95,9.1,282.5,111,10.489914110429448,105.58
EV181,06/13/2022,4,147.376000000004,13.066666666666666,5.716666666666668,18.783333333333335,91,77,58,273.9,74.2323590814196,82528.872,82676.248,92,71,0.6956521739130435,,25.8,27.5,17.5,342.7,139.6,9.432798353909465,106.15
EV181,06/14/2022,4,174.751999999993,4.916666666666667,4.416666666666666,9.333333333333332,77,90,84,318.5,80.864322647363,82676.248,82851,92,62,0.5267857142857144,,53.3,31.5,0.4,394.5,161.2,11.208628865979382,107.01
EV181,06/15/2022,2,143.248000000007,4.5,4.383333333333333,8.883333333333335,89,90,48,229.7,73.5981024667932,82851,82994.248,90,66,0.5065666041275797,,21.9,19,0,320.2,131.4,15.80686679174484,108.03
EV181,06/16/2022,6,115.87999999999,3.833333333333333,4.999999999999999,8.833333333333334,90,63,48,219.2,80.6755555555556,82994.248,83110.128,90,62,0.43396226415094336,,37.6,19.5,0,289.4,127.3,17.525812807881774,66.47
EV181,06/17/2022,6,61.3760000000038,4.55,1.3333333333333333,5.883333333333334,,,,,80.0643326039387,83110.128,83171.504,,,0.7733711048158639,,,,,,,7.636271551724138,69.55
EV181,06/18/2022,6,0.99199999999837,0.03333333333333333,0.11666666666666667,0.15,90,89,1,1.9,74.4,83171.504,83172.496,90,89,0.22222222222222224,,0.35,0.25,0,1.5,0.2,6.677777777777778,16.48
EV181,06/19/2022,2,118.631999999998,12.1,4.7666666666666675,16.866666666666667,89,51,53,246.6,92.4631868131868,83172.624,83291.128,90,51,0.717391304347826,,65.2,31.7,0,238.4,88.7,18.53994520547945,107.09
EV181,06/20/2022,3,127.744000000006,14.833333333333332,5.016666666666667,19.849999999999998,50,55,102,325.8,89.8355644355644,83291.624,83418.872,91,32,0.7472712006717045,,92.1,49.7,0,309.7,125.7,7.358008008008008,69.55
EV181,06/21/2022,2,145.87999999999,5.3,4.833333333333333,10.133333333333335,56,63,173,1111,86.8324232081911,83418.872,83564.752,94,42,0.5230263157894736,,244.55,86.75,0,1086.5,306.8,7.177911338448423,72.05
EV181,06/22/2022,4,161.376000000004,11.983333333333333,4.816666666666667,16.8,63,60,139,246.25,82.2858851674641,83564.872,83726.128,93,40,0.7132936507936507,,64.85,54,0,401.6,274.2,12.01814201183432,69.53
EV181,06/24/2022,2,144.623999999996,5.85,0.08333333333333327,5.933333333333333,,,,,83.1592079207921,83901.248,84045.872,,,0.9859550561797753,,,,,,,8.945732673267326,106.86
EV181,06/25/2022,3,143.751999999993,13.433333333333332,4.233333333333333,17.666666666666664,89,75,49,234.65,78.9498136645963,84045.872,84189.624,93,74,0.7603773584905661,,26.45,25.1,0,303.5,120.4,10.888906832298137,100.15
EV181,06/26/2022,2,121.127999999997,13.783333333333331,4.416666666666668,18.200000000000003,72,60,45,217.4,72.4202294056309,84189.624,84310.752,95,60,0.7573260073260071,,25.5,25.3,0,271.9,105.3,7.4780813347236705,107.4
EV181,06/27/2022,2,127,14.433333333333334,4.949999999999999,19.383333333333333,60,59,63,247.7,78.4859287054409,84311.504,84437.752,93,42,0.7446259673258814,,44.4,28.5,0,295.2,120.4,7.051802816901408,71.47
EV181,06/28/2022,2,141.624000000011,14.683333333333334,4.266666666666666,18.950000000000003,60,61,66,306.15,78.5122398001665,84437.752,84579.376,94,44,0.7748460861917326,,61.4,35.35,0,342.8,133.4,7.579824561403509,70.12
EV181,06/29/2022,3,124.127999999997,8.9,5.516666666666667,14.416666666666668,61,66,69,283.5,78.5630340017437,84579.376,84703.504,92,50,0.6173410404624278,,68.35,47.55,0,285.9,118.3,6.252325783972125,67.51
EV181,06/30/2022,3,144,10.116666666666667,4.35,14.466666666666667,66,65,72,299.4,87.0921086675291,84703.752,84847.504,92,46,0.6993087557603687,,62.1,31.9,0,335.2,129.8,11.084819587628866,106.66
EV181,07/02/2022,1,31.872000000003,0,0.016666666666666666,0.016666666666666666,44,96,48,,76.6309623430962,85015.504,85047.376,96,23,0,,,,,,,1.5768284518828453,63.74
EV181,07/03/2022,2,142.127999999997,4.266666666666667,4.0166666666666675,8.283333333333335,95,82,51,238.75,71.6929752066116,85047.376,85189.504,95,72,0.5150905432595573,,20.3,18.65,0,311.7,111.9,17.177530864197532,101.63
EV181,07/04/2022,5,0.623999999996158,3.716666666666667,0.15000000000000002,3.866666666666667,80,91,2,9.45,77.0391304347826,85189.504,85190.128,92,80,0.9612068965517241,,0.35,8.4,0,0.7,0,0.1852608695652174,12.29
EV181,07/05/2022,6,1,0.45,0.15,0.6,91,90,1,1.8,78.575,85190.128,85191.128,91,90,0.75,,0.35,0.35,0,1.1,0,8.895,16.48
EV181,07/06/2022,5,1.1200000000099,0.2,0.23333333333333334,0.4333333333333333,90,88,3,8,78.575,85191.248,85192.248,90,88,0.4615384615384616,,3.85,3.25,0,1.1,0.2,1.8815,19.03
EV181,07/07/2022,4,1,11.916666666666668,0.18333333333333243,12.1,88,88,1,2.7,73.8909090909091,85192.376,85193.248,88,87,0.984848484848485,,0.4,1.6,0,1.2,0.5,1.5327272727272727,15.38
EV181,07/08/2022,3,116.503999999986,8.8,5.033333333333334,13.833333333333334,87,60,89,228.4,83.2051329055912,85193.376,85309.752,95,60,0.636144578313253,,44.3,35.5,0,260.8,112.2,6.280778388278388,64.76
EV181,07/09/2022,3,32,0.11666666666666667,0.09999999999999998,0.21666666666666665,59,90,13,,83.7953161592506,85309.752,85341.752,90,43,0.5384615384615385,,,,,,,4.509063231850117,58.2
EV181,07/10/2022,2,143.248000000007,4.283333333333333,4.283333333333333,8.566666666666666,90,90,47,227,76.649710982659,85341.872,85485,90,76,0.5,,27.4,18.85,0.35,300.5,120.1,16.39028790786948,108.03
