Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC
EV127,2/25/2021,18.0,76.428633,0.366944444,3.044447222,3.411391666,87.0,48.0,41.0,86.48376,52.0,13585.65554,13662.08418,87.0,48.0
EV127,2/26/2021,21.0,81.1510526,0.186388889,4.44,4.626388889,92.0,48.0,55.0,116.0148,56.0,13662.08418,13743.23523,100.0,48.0
EV127,3/1/2021,17.0,92.584279,0.195277778,3.783055556,3.9783333339999998,100.0,37.0,63.0,132.88968,53.0,13743.23523,13835.81951,100.0,37.0
EV127,3/2/2021,3.0,12.2410087,0.031388889,0.457777778,0.489166667,100.0,94.0,5.0,10.5468,58.0,13835.81951,13848.06052,100.0,94.0
EV127,3/4/2021,2.0,0.1864113,0.038611111,0.060277778,0.098888889,93.0,92.0,2.0,4.21872,50.0,13848.12265,13848.30907,93.0,91.0
EV127,3/9/2021,2.0,0.2485484,0.008611111,0.075,0.083611111,96.0,95.0,1.0,2.10936,46.0,13860.55007,13860.79862,96.0,95.0
EV127,3/10/2021,20.0,65.0575437,0.261111111,3.438330556,3.699441667,100.0,48.0,53.0,111.79608,41.0,13860.79862,13925.85617,100.0,48.0
EV127,3/11/2021,19.0,97.2445615,0.344444444,4.671111111,5.015555555,100.0,33.0,71.0,149.76456,39.0,13925.85617,14023.10073,100.0,33.0
EV127,3/12/2021,19.0,76.428633,0.5075,4.919441667,5.426941667,100.0,53.0,50.0,105.468,39.0,14023.10073,14099.52936,100.0,53.0
EV127,3/15/2021,16.0,75.3101652,0.343611111,3.390836111,3.734447222,100.0,33.0,69.0,145.54584,41.0,14099.52936,14174.83953,100.0,33.0
EV127,3/16/2021,17.0,97.3688357,0.2975,4.361944444,4.659444444,100.0,23.0,81.0,170.85816,42.0,14174.83953,14272.20836,100.0,22.0
EV127,3/17/2021,19.0,85.5627867,0.446666667,4.455,4.901666667,100.0,42.0,60.0,126.5616,50.0,14272.20836,14357.77115,100.0,42.0
EV127,3/18/2021,18.0,97.7416583,0.150833333,4.047219444,4.198052777000001,100.0,32.0,70.0,147.6552,56.0,14357.77115,14455.51281,100.0,31.0
EV127,3/19/2021,19.0,65.4925034,0.310277778,3.934163889,4.244441667,30.0,52.0,52.0,109.68672,57.0,14455.51281,14521.00531,100.0,29.0
EV127,3/22/2021,24.0,71.2091166,0.431388889,0.679441667,1.110830556,100.0,50.0,51.0,107.57736,51.0,14521.00531,14592.21443,100.0,50.0
EV127,3/24/2021,21.0,57.3525433,0.1575,3.760827778,3.918327778,100.0,62.0,42.0,88.59312,54.0,14592.27656,14649.62911,100.0,62.0
EV127,3/25/2021,21.0,77.1742782,0.604444444,3.859444444,4.4638888880000005,100.0,46.0,55.0,116.0148,45.0,14649.62911,14726.80339,100.0,46.0
EV127,3/26/2021,25.0,57.4768175,0.161666667,3.754722222,3.916388889,43.0,60.0,41.0,86.48376,48.0,14726.80339,14784.2802,100.0,43.0
EV127,3/29/2021,20.0,64.9332695,0.501388889,3.806111111,4.3075,100.0,53.0,46.0,97.03056,67.0,14784.2802,14849.21347,100.0,53.0
