Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Average Ambient Temperature (logger),Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed,GPS Average Speed,GPS Distance,Average Battery Voltage,Average Battery Power Used,Average Battery Current
EV064,05/03/2021 11:44:36,05/03/2021 11:47:27,0.18028042272914,0.001388888888888889,0.04722222222222222,0.04861111111111111,,,0.395219506867079,0.612590235643972,48.362,,3521.642567406347,3521.822847829076,0.02857142857142857,,3.79677613286838,0.845571611787163,0.040149856090431875,1573.27650600599,-2188.92061652157,-1391.31335665749
EV064,05/03/2021 12:58:00,05/03/2021 15:24:02,22.1390701311956,0.8894444444444445,1.2047222222222222,2.0941666666666667,,,39.664584897312,61.4801065908336,54.7057142857143,,3521.8289787640183,3546.6052807898473,0.42472476455763364,,10.4737799433699,12.1949428018941,25.051574630650745,1549.76439722703,-1241.89629628007,-799.691592057886
EV064,05/03/2021 17:34:31,05/03/2021 17:52:38,5.1216357105965,0.05333333333333334,0.3016666666666667,0.355,,,9.75263868565714,15.1165899627686,79.286,,3550.598464964607,3555.7201006752034,0.15023474178403756,,16.9641609996258,18.0706902936849,5.455706797303746,1528.54589382812,-603.30112486374,-394.689572161175
EV064,05/04/2021 11:37:27,05/04/2021 11:39:01,0.00953616899803816,0.31472222222222224,0.026111111111111113,0.3408333333333333,,,0.0312029828723865,0.0483646234521991,50.684,,3573.143568878405,3573.153105047403,0.9233903830480849,,0.365214982911381,4.4872533777738,0.11716717494830191,1580.24116250212,-2206.92467409257,-1396.57460295375
EV064,05/04/2021 13:18:44,05/04/2021 15:29:57,24.4593154098967,0.15166666666666667,1.4872222222222222,1.6388888888888888,,,40.2804130200843,62.4346401811307,60.446,,3573.9552079150885,3598.442795907241,0.09254237288135594,,16.6814311294273,17.2231070548,25.367600711842833,1537.40213769577,-1252.5330644341,-815.516424493074
EV064,05/04/2021 17:35:21,05/04/2021 17:52:03,5.15109889018309,0.06916666666666667,0.27805555555555556,0.3472222222222222,,,6.412885242021,9.93997212513255,82.34607038,,3602.2344110395297,3607.385509929713,0.19920000000000002,,18.5081058037189,19.598921672433,5.4546902340332455,1536.15588082771,-606.517518400358,-394.828106945472
EV064,05/06/2021 11:49:35,05/06/2021 11:52:48,0.171936119234465,0.2036111111111111,0.05333333333333334,0.2569444444444444,,,0.272901613023933,0.422997500187096,49.892,,3623.671717171718,3623.8436532909523,0.7924324324324324,,3.20921035730759,4.47474592131949,0.23973824117155806,1581.77511327141,-2216.77855172411,-1401.44988571693
EV064,05/06/2021 13:20:09,05/06/2021 15:25:29,23.3848351759856,0.5155555555555555,1.4305555555555554,1.9461111111111111,,,39.4564771318439,61.157539554358,58.262,,3624.7172950446393,3649.0043372141567,0.2649157864687411,,16.4182537155232,18.2388631641215,25.92268588940587,1532.92520333876,-1270.40153291407,-829.530200389725
EV064,05/06/2021 17:31:59,05/06/2021 17:52:11,3.54328951080365,0.1636111111111111,0.24305555555555558,0.4066666666666666,,,5.55577493479759,8.61145114893626,77.342,,3653.5596715183333,3657.7111307748255,0.40232240437158473,,10.7139630905644,12.9034860477312,4.992201850567684,1555.85289380681,-717.204402617649,-460.446406627447
EV064,05/07/2021 11:51:03,05/07/2021 11:54:53,0.118132360750891,0.15305555555555556,0.0636111111111111,0.21666666666666667,,,0.0134249875434733,0.0208087306923836,46.004,,3674.7484291736264,3674.8665615343775,0.7064102564102563,,1.84953486695456,2.09883113865028,0.1340552548118985,1583.33772254534,-2223.442605394,-1404.27564740872
