Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Trip Percent Idling Time
EV021,8/1/19 12:03 PM,8/1/19 12:32 PM,13.37,0.05,0.44,0.49,89,84.3,4.7,2.62,93.2,24855.05,24867.48,10
EV021,8/1/19 11:36 AM,8/1/19 12:02 PM,7.56,0.13,0.32,0.44,92.2,89,3.2,1.67,91.4,24847.49,24854.94,29
EV021,8/1/19 10:51 AM,8/1/19 11:24 AM,17.97,0.12,0.42,0.54,100,92.2,7.8,4.92,87.8,24829.53,24846.92,23
EV021,8/1/19 9:20 AM,8/1/19 9:21 AM,0,0.03,0,0.03,100,100,0,0.02,80.6,24829.53,24829.53,100
EV021,8/1/19 9:16 AM,8/1/19 9:17 AM,0.06,0.01,0.01,0.03,100,100,0,0.05,82.4,24829.46,24829.46,45
EV021,8/1/19 12:50 AM,8/1/19 12:50 AM,0,0.01,0,0.01,0,0,0,0,84.2,,,100
EV021,7/31/19 7:35 PM,7/31/19 8:49 PM,39.02,0.22,1.02,1.25,91.8,75.7,16.1,9.5,87.8,24790.45,24828.97,18
EV021,7/31/19 5:06 PM,7/31/19 5:27 PM,12.38,0.06,0.29,0.35,76.9,71.4,5.5,3.06,98.6,24778.07,24789.25,18
EV021,7/31/19 3:37 PM,7/31/19 5:00 PM,40.32,0.29,1.09,1.38,95.7,76.9,18.8,10.37,96.8,24737.77,24777.54,21
EV021,7/31/19 3:09 PM,7/31/19 3:33 PM,12.48,0.11,0.28,0.39,100,95.7,4.3,3.34,86,24725.29,24737.72,28
EV021,7/31/19 2:49 PM,7/31/19 2:55 PM,0.2,0.05,0.05,0.1,100,100,0,0.1,77,24725.08,24725.08,49
EV021,7/31/19 2:33 PM,7/31/19 2:37 PM,0.07,0.04,0.02,0.06,100,100,0,0.03,98.6,24725.01,24725.01,74
EV021,7/30/19 2:29 AM,7/30/19 2:29 AM,0,0.01,0,0.01,0,0,0,-0.01,77,,,100
EV021,7/30/19 1:37 AM,7/30/19 1:37 AM,0,0.01,0,0.01,0,0,0,-0.03,78.8,,,100
