Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Energy Consumed While Driving,Energy Consumed While Idling,Average Speed
EV138,05/05/2021,,15.285731329038414,0.3099930555555555,0.679121944444444,0.9910644444444444,,,7.2,,77.6985596192385,,,0.3134044631368,,,,16.9076018279004
EV138,05/09/2021,,173.7291716376362,4.5538058333333336,3.83924888888889,11.430419444444444,,,76.8,273.338459,71.0842168411867,,,0.542568347764522,,268.692232,4.646227,42.7803071977505
EV138,05/10/2021,,0.07767139902966674,0.47195305555555556,0.0455586111111111,0.5158441666666667,,,2,6.351215,87.8966666666667,,,0.911966021163237,,0.909004,5.442211,1.65398715306246
EV138,05/11/2021,,1.1899258331344944,1.3747958333333334,0.231293055555556,1.600255,,,2,7.249561,65.9019045534151,,,0.855989878794587,,2.720434,4.529127,4.28786793711369
EV138,05/14/2021,,62.48198023542511,1.5661983333333334,2.46915138888889,5.557929444444444,,,,94.22295,66.9163509421265,,,0.388119603291991,,89.999648,4.223302,23.0701421768077
EV138,05/17/2021,,0,0.04105444444444444,,0.04049944444444444,,,,,65.6170454545455,,,,,,,0
EV138,05/19/2021,,0.01553427980593335,0.024424166666666667,0.0158333333333333,0.040535555555555554,,,,0.140078,52.3650568181818,,,0.606698544784616,,0.097761,0.042317,0.900745964456045
EV138,05/20/2021,,0.02485484768949335,0.3202786111111111,0.0547211111111111,0.3747211111111111,,,0.8,3.942217,72.1804768041237,,,0.854076928945873,,0.851397,3.09082,0.507628933940138
EV138,05/24/2021,,0.03417541557305337,0.9144461111111111,0.0675091666666667,0.9816772222222222,,,,2.080245,52.447619047619,,,0.931250263434152,,0.457813,1.622432,0.656788758120392
EV138,05/25/2021,,18.081901694106417,1.5641488888888888,0.820298611111111,3.089685277777778,,,10.4,32.55348,60.0977476133652,,,0.655979588096986,,31.469741,1.083739,20.5417881753351
EV138,06/02/2021,,0.16777022190408017,0.6802888888888888,0.103853888888889,1.0392780555555554,,,2,6.206567,79.4881332599119,,,0.867557424703693,,1.484692,4.721875,1.62809935694913
EV138,06/03/2021,,13.878325578620856,0.11272611111111111,0.712656388888889,0.8248266666666667,,,8.4,,82.7344113976706,,,0.136574389584358,,,,19.0225517292425
EV138,06/04/2021,,11.051086653940985,0.3212069444444445,0.633622777777778,0.9556636111111112,,,6,,79.6244371482176,,,0.33640233118936,,,,16.8597352463351
EV138,06/08/2021,,0.03417541557305337,0.04224222222222222,0.0302994444444444,0.07309777777777778,,,,0.37146,73.0578125,,,0.582316676239709,,0.261341,0.110119,1.42451681080759
EV138,06/24/2021,,0.0403891274954267,0.04666861111111111,0.0341680555555556,0.07944722222222222,,,0.8,0.915508,85.4853125,,,0.577319835608154,,0.664652,0.250856,1.47908420477936
EV138,06/30/2021,,3.566670643442297,2.7833333333333334e-4,0.121706666666667,0.12226333333333333,,,2.4,7.837203,82.8659514925373,,,0.00228170130207266,,7.837203,0,28.9252738289558
EV138,07/14/2021,,0.04349598345661337,1.2897630555555555,0.0238902777777778,1.3139308333333333,,,3.2,,95.3190108695652,,,0.981813864303791,,,,0.982009703900891
EV138,07/19/2021,,15.304372464805535,3.6157316666666666,1.07446944444444,7.3183686111111115,,,12.8,36.657563,77.4585957178841,,,0.770911860922334,,24.419893,12.23767,12.5965570790346
EV138,07/20/2021,,17.684224131074526,3.862392222222222,1.22810388888889,5.089940555555556,,,12.8,43.292293,78.6190567484663,,,0.758745736744934,,30.000093,13.2922,13.3616426487699
EV138,07/21/2021,,34.89620615604868,3.4059155555555556,1.94186722222222,5.335168055555555,,,22,73.020868,81.2145123106061,,,0.636883676298246,,56.46299,16.557878,17.1329616257748
EV138,07/22/2021,,22.462568599379622,2.029799722222222,1.26755305555556,3.294297222222222,,,15.2,47.160423,72.9747637195122,,,0.615584639866829,,38.714975,8.445448,15.5199303984325
EV138,07/23/2021,,8.92910403245049,0.1961077777777778,0.383896944444444,0.5772272222222222,,,4,,68.3420715547703,,,0.33811410539282,,,,22.7027729415108
EV138,07/26/2021,,0.01242742384474667,0.25903000000000004,0.0569469444444444,3.5168030555555556,,,0.8,1.041082,77.0073547215496,,,0.819775001164818,,0.465125,0.575957,0.530784173314553
EV138,07/29/2021,,3.21870277578939,0.17826944444444445,0.251106388888889,0.4240991666666667,,,3.2,7.170763,79.1350675675676,,,0.415182762058363,,6.040057,1.130706,12.5249815254683
EV138,08/09/2021,,3.40511413346059,0.09362083333333333,0.338898888888889,0.43085277777777775,,,3.2,6.017656,75.4965909090909,,,0.216454484092248,,5.819075,0.198581,9.87534777017718
EV138,08/10/2021,,0.2485484768949336,1.4361552777777777,0.124171388888889,1.5597711111111112,,,1.2,2.298341,65.5505490654206,,,0.92041962010804,,1.047995,1.250346,1.77324700947836
EV138,08/11/2021,,11.352451682176092,2.206766388888889,0.864738611111111,3.0692830555555557,,,10.8,39.509469,92.2522475369458,,,0.718464202040657,,24.345848,15.163621,12.299448714031
EV138,08/12/2021,,0.05903026326254673,0.3969594444444445,0.1138925,0.5100186111111111,,,1.2,2.441736,76.4559267241379,,,0.777053799562496,,1.058711,1.383025,0.842944672821291
EV138,08/18/2021,,9.547368368726636,1.5575530555555555,0.490846666666667,2.0475669444444446,,,8,25.949524,57.3390440088757,,,0.76037554519185,,21.124059,4.825465,17.847003994942
