Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time
EV013,3/29/19 4:36 PM,3/29/19 5:41 PM,31.05,0.40427,0.688352,1.092623,66.3,51,15.3,9.13,68,1665.69,1695.52,37
EV013,3/29/19 2:00 PM,3/29/19 3:38 PM,25.3,0.916503,0.720109,1.636612,78,66.3,11.7,6.59,62.6,1640.38,1665.24,56
EV013,3/29/19 11:09 AM,3/29/19 12:22 PM,51.48,0.205904,1.005298,1.211202,100,78,22,13.89,55.4,1588.92,1639.88,17
EV013,3/28/19 3:17 PM,3/28/19 3:51 PM,27.94,0.039915,0.530303,0.570219,85.9,73.3,12.6,7.45,68,1561,1588.34,7
EV013,3/28/19 2:43 PM,3/28/19 2:45 PM,0.19,0.013254,0.02691,0.040164,85.9,85.9,0,0.05,62.6,1560.8,1560.8,33
EV013,3/28/19 2:16 PM,3/28/19 2:22 PM,1.09,0.011743,0.072137,0.08388,86.3,85.9,0.4,0.21,62.6,1559.71,1559.71,14
EV013,3/28/19 1:26 PM,3/28/19 2:00 PM,4.79,0.349333,0.223344,0.572678,87.8,86.7,1.1,1.07,60.8,1554.9,1558.63,61
EV013,3/28/19 11:21 AM,3/28/19 12:28 PM,30.66,0.441202,0.661803,1.103005,100,88.2,11.8,7.81,55.4,1524.26,1554.09,40
EV013,3/27/19 12:53 PM,3/27/19 1:13 PM,17.4,0.016667,0.316667,0.333333,92.5,82,10.5,5.95,62.6,1506.87,1523.03,5
EV013,3/27/19 11:09 AM,3/27/19 11:34 AM,17.41,0.052284,0.349902,0.402186,100,92.5,7.5,4.64,59,1489.48,1505.63,13
EV013,3/8/19 9:26 PM,3/8/19 10:42 PM,49.63,0.227213,1.035082,1.262295,73.3,53.7,19.6,11.86,51.8,1439.87,1488.34,18
EV013,3/8/19 7:51 PM,3/8/19 8:14 PM,7.78,0.128568,0.249574,0.378142,29,26.7,2.3,1.63,59,1432.09,1439.54,34
EV013,3/8/19 2:30 PM,3/8/19 3:00 PM,21.19,0.064538,0.43191,0.496448,38,28.2,9.8,5.96,57.2,1410.91,1432.04,13
EV013,3/8/19 12:33 PM,3/8/19 2:09 PM,93.05,0.160055,1.440492,1.600546,81.2,37.6,43.6,26.3,53.6,1317.92,1409.88,10
EV013,3/8/19 9:32 AM,3/8/19 11:50 AM,108.74,0.115123,2.187336,2.302459,98.8,47.5,51.3,29.17,46.4,1209.25,1317.36,5
EV013,3/7/19 10:02 PM,3/7/19 10:31 PM,8.84,0.051964,0.42044,0.472404,100,99.6,0.4,1.44,57.2,1200.4,1209.1,11
EV013,3/6/19 11:23 AM,3/6/19 11:57 AM,9.4,0.124667,0.442,0.566667,84.7,79.6,5.1,3.35,55.4,1190.99,1199.69,22
EV013,3/5/19 11:15 PM,3/5/19 11:39 PM,6.65,0.106451,0.287811,0.394262,88.2,85.5,2.7,1.69,60.8,1184.33,1190.55,27
EV013,3/5/19 9:33 PM,3/5/19 10:01 PM,6.51,0.137948,0.337735,0.475683,91.8,88.6,3.2,1.88,60.8,1177.81,1184.02,29
EV013,3/5/19 8:45 PM,3/5/19 9:21 PM,8.82,0.096,0.504,0.6,94.5,91.8,2.7,1.7,62.6,1168.98,1177.68,16
