Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time
EV010,4/1/19 12:59 AM,4/1/19 1:03 AM,0.73,0.017246,0.054612,0.071858,37.6,37.3,0.3,0.04,68,10212,10212,24
EV010,4/1/19 12:45 AM,4/1/19 12:49 AM,0.73,0.017008,0.051025,0.068033,39.6,39.2,0.4,0.31,71.6,10211.27,10211.27,25
EV010,4/1/19 12:05 AM,4/1/19 12:10 AM,0.7,0.030792,0.057186,0.087978,38.8,38.8,0,0.09,73.4,10210.57,10210.57,35
EV010,3/31/19 11:36 PM,4/1/19 12:05 AM,10.95,0.147546,0.32841,0.475956,41.2,38.8,2.4,0.87,71.6,10199.61,10209.56,31
EV010,3/31/19 8:38 PM,3/31/19 9:03 PM,12.14,0.096776,0.323989,0.420765,47.1,41.2,5.9,3.82,82.4,10187.47,10198.65,23
EV010,3/31/19 5:29 PM,3/31/19 6:54 PM,29.2,0.741497,0.684459,1.425956,18.8,50.2,-31.4,-17.76,84.2,10158.27,10186.86,52
EV010,3/31/19 4:29 PM,3/31/19 5:24 PM,51.98,0.055016,0.861923,0.91694,34.1,19.2,14.9,9.29,75.2,10106.32,10157.27,6
EV010,3/31/19 4:26 PM,3/31/19 4:28 PM,0.03,0.02341,0.004459,0.027869,34.5,34.1,0.4,0.01,71.6,10106.29,10106.29,84
EV010,3/31/19 4:26 PM,3/31/19 4:26 PM,0,0.005738,0,0.005738,34.5,34.5,0,0,69.8,,,100
EV010,3/31/19 4:14 PM,3/31/19 4:26 PM,5.27,0.043298,0.144954,0.188251,36.5,34.5,2,1.05,71.6,10101.03,10106,23
EV010,3/31/19 12:18 PM,3/31/19 1:37 PM,77.92,0.052437,1.258492,1.310929,83.5,35.7,47.8,25.41,68,10023.16,10100.21,4
EV010,3/31/19 11:33 AM,3/31/19 11:48 AM,5.39,0.075352,0.184484,0.259836,85.5,83.5,2,1.35,64.4,10017.77,10022.74,29
EV010,3/30/19 5:15 PM,3/30/19 5:25 PM,1.52,0.076984,0.083399,0.160383,72.5,71.4,1.1,0.46,84.2,10016.24,10017.48,48
EV010,3/30/19 5:04 PM,3/30/19 5:11 PM,1.38,0.06177,0.066918,0.128689,72.5,72.5,0,0.29,82.4,10014.85,10016.1,48
EV010,3/30/19 4:10 PM,3/30/19 4:23 PM,2.58,0.070238,0.142604,0.212842,74.1,72.9,1.2,0.75,82.4,10012.27,10014.76,33
EV010,3/29/19 10:35 PM,3/29/19 10:48 PM,2.25,0.11353,0.100678,0.214208,52.2,51,1.2,0.73,69.8,10010.01,10011.25,53
EV010,3/29/19 10:16 PM,3/29/19 10:23 PM,1.18,0.027891,0.098885,0.126776,52.5,52.2,0.3,0.35,69.8,10008.82,10008.82,22
EV010,3/29/19 8:50 PM,3/29/19 9:29 PM,14.19,0.201161,0.447746,0.648907,58.8,53.3,5.5,2.99,71.6,9994.62,10008.29,31
EV010,3/29/19 10:44 AM,3/29/19 11:03 AM,10.72,0.049617,0.260492,0.310109,65.9,59.6,6.3,3.49,57.2,9983.89,9993.83,16
EV010,3/29/19 3:02 AM,3/29/19 3:05 AM,0.07,0.022852,0.021956,0.044809,65.9,65.9,0,0.05,59,,,51
EV010,3/29/19 2:43 AM,3/29/19 2:45 AM,0,0.044902,0.000454,0.045355,65.9,65.9,0,0.02,59,9983.81,9983.81,99
EV010,3/28/19 10:38 PM,3/28/19 10:40 PM,0,0.024399,0.001557,0.025956,65.9,65.9,0,0.01,66.2,9983.8,9983.8,94
EV010,3/28/19 10:10 PM,3/28/19 10:38 PM,10.89,0.180033,0.293738,0.47377,69,65.9,3.1,1.93,64.4,9972.9,9982.84,38
EV010,3/28/19 1:05 PM,3/28/19 1:33 PM,14.92,0.013631,0.44074,0.454372,76.5,69.8,6.7,3.98,66.2,9957.99,9971.66,3
EV010,3/28/19 10:57 AM,3/28/19 11:46 AM,13.87,0.22882,0.588393,0.817213,80.4,76.5,3.9,2.44,60.8,9944.09,9957.76,28
EV010,3/27/19 8:18 PM,3/27/19 8:52 PM,10.69,0.203115,0.361093,0.564208,71.8,68.2,3.6,2.15,69.8,9933.4,9943.34,36
EV010,3/27/19 10:38 AM,3/27/19 10:55 AM,10.73,0.028661,0.257951,0.286612,78,72.5,5.5,3.15,57.2,9922.67,9932.61,10
