Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time
EV008,3/31/19 4:15 PM,3/31/19 5:38 PM,47.01,0.041418,1.339183,1.380601,81.6,62.4,19.2,11.14,84.2,7196.01,7241.99, 3 
EV008,3/31/19 12:51 PM,3/31/19 1:39 PM,47.43,0.023672,0.765399,0.789071,100,81.6,18.4,11.4,78.8,7148.6,7195.83, 3 
EV008,3/30/19 1:33 AM,3/30/19 1:52 AM,8.5,0.047336,0.268238,0.315574,89.4,85.9,3.5,2.19,64.4,7140.11,7147.57, 15 
EV008,3/29/19 10:29 PM,3/29/19 10:50 PM,8.81,0.049038,0.301235,0.350273,92.2,89.4,2.8,1.62,68,7131.29,7139.99, 14 
EV008,3/29/19 7:29 PM,3/29/19 7:47 PM,6.54,0.055721,0.253842,0.309563,94.1,92.2,1.9,1.07,75.2,7124.74,7130.95, 18 
EV008,3/29/19 6:10 PM,3/29/19 6:19 PM,6.09,0.007227,0.137309,0.144536,97.6,94.1,3.5,1.94,77,7118.65,7123.62, 5 
EV008,3/29/19 5:57 PM,3/29/19 6:06 PM,2.22,0.032615,0.109189,0.141803,98.8,97.6,1.2,0.71,77,7116.43,7117.67, 23 
EV008,3/29/19 5:44 PM,3/29/19 5:48 PM,0.82,0.012131,0.048525,0.060656,99.6,99.6,0,0.23,77,7115.6,7115.6, 20 
EV008,3/29/19 3:37 PM,3/29/19 3:43 PM,1.72,0.015344,0.080557,0.095902,100,100,0,0.38,69.8,7113.88,7115.13, 16 
EV008,3/29/19 2:45 PM,3/29/19 2:50 PM,1.71,0.008907,0.080164,0.089071,100,100,0,0.32,69.8,7112.17,7113.41, 10 
EV008,3/29/19 10:53 AM,3/29/19 10:56 AM,0.84,0.008962,0.047049,0.056011,100,100,0,0.18,57.2,7111.32,7111.32, 16 
EV008,3/29/19 10:45 AM,3/29/19 10:49 AM,0.78,0.015642,0.046926,0.062568,100,100,0,0.24,60.8,7110.54,7110.54, 25 
EV008,3/28/19 8:06 PM,3/28/19 8:17 PM,3.41,0.043541,0.137880,0.181421,83.1,82.4,0.7,0.7,69.8,7107.13,7109.61, 24 
EV008,3/28/19 7:50 PM,3/28/19 7:54 PM,1.27,0.010137,0.062268,0.072404,83.5,83.5,0,0.23,69.8,7105.86,7105.86, 14 
EV008,3/28/19 7:26 PM,3/28/19 7:31 PM,0.67,0.036175,0.054262,0.090437,83.9,83.5,0.4,0.18,69.8,7105.18,7105.18, 40 
EV008,3/28/19 7:00 PM,3/28/19 7:06 PM,0.86,0.047541,0.047541,0.095082,84.3,83.9,0.4,0.26,69.8,7104.32,7104.32, 50 
EV008,3/28/19 6:53 PM,3/28/19 6:57 PM,0.86,0.011057,0.047139,0.058197,84.3,84.3,0,0.37,69.8,7103.46,7103.46, 19 
EV008,3/28/19 10:50 AM,3/28/19 10:54 AM,1.11,0.011891,0.058055,0.069945,74.9,74.9,0,0.31,55.4,7102.34,7102.34, 17 
EV008,3/28/19 10:37 AM,3/28/19 10:46 AM,2.23,0.043672,0.118077,0.161749,76.5,75.7,0.8,0.59,55.4,7100.11,7101.35, 27 
EV008,3/28/19 10:22 AM,3/28/19 10:34 AM,3.03,0.082784,0.119128,0.201913,77.6,76.5,1.1,1,57.2,7097.07,7099.55, 41 
EV008,3/27/19 7:57 PM,3/27/19 8:03 PM,1.25,0.018844,0.080336,0.099180,59.6,59.6,0,0.27,69.8,7095.82,7097.06, 19 
EV008,3/27/19 7:43 PM,3/27/19 7:50 PM,2.15,0.024555,0.104680,0.129235,60.8,60,0.8,0.63,71.6,7093.66,7094.9, 19 
EV008,3/27/19 6:56 PM,3/27/19 7:35 PM,25.81,0.057295,0.579317,0.636612,72.9,61.2,11.7,6.69,71.6,7067.86,7092.72, 9 
EV008,3/27/19 9:39 AM,3/27/19 10:20 AM,29.39,0.075768,0.613030,0.688798,85.9,73.7,12.2,7.18,53.6,7038.49,7067.07, 11 
EV008,3/26/19 8:59 PM,3/26/19 9:00 PM,0.02,0.004923,0.009557,0.014481,0,0,0,0.01,73.4,,, 34 
EV008,3/26/19 8:57 PM,3/26/19 8:58 PM,0.02,0.011639,0.007760,0.019399,0,0,0,0.01,73.4,,, 60 
EV008,3/26/19 8:20 PM,3/26/19 8:39 PM,6.55,0.036066,0.291803,0.327869,72.2,70.2,2,1.27,75.2,7031.88,7038.1, 11 
EV008,3/26/19 7:43 PM,3/26/19 7:51 PM,0.88,0.073197,0.055219,0.128415,72.5,72.2,0.3,0.36,77,7031.01,7031.01, 57 
EV008,3/26/19 6:54 PM,3/26/19 7:39 PM,28.69,0.133574,0.608503,0.742077,86.3,72.5,13.8,7.76,75.2,7002.33,7029.67, 18 
EV008,3/26/19 4:12 PM,3/26/19 4:17 PM,0,0.081421,0.000000,0.081421,66.3,66.7,-0.4,-0.24,57.2,7002.33,7002.33, 100 
EV008,3/26/19 4:06 PM,3/26/19 4:12 PM,0,0.106831,0.000000,0.106831,65.9,66.3,-0.4,-0.23,57.2,7002.33,7002.33, 100 
EV008,3/26/19 3:31 PM,3/26/19 3:46 PM,1.56,0.139426,0.118770,0.258197,66.7,65.5,1.2,0.45,62.6,7000.76,7002, 54 
EV008,3/26/19 10:55 AM,3/26/19 11:14 AM,7.65,0.048568,0.254984,0.303552,69.8,66.7,3.1,1.97,55.4,6993.11,7000.56, 16 
EV008,3/26/19 9:56 AM,3/26/19 10:47 AM,22.69,0.102098,0.748721,0.850820,78.4,69.8,8.6,4.89,53.6,6970.42,6992.79, 12 
EV008,3/23/19 8:15 PM,3/23/19 8:18 PM,0.65,0.005683,0.038033,0.043716,78,78,0,0.07,68,6969.77,6969.77, 13 
EV008,3/23/19 7:15 PM,3/23/19 7:59 PM,35.08,0.021820,0.705503,0.727322,90.2,78.4,11.8,7.27,68,6934.7,6969.49, 3 
