Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV028,9/28/18 9:05 PM,9/28/18 9:09 PM,0.392,0.017,0.058,0.075,93.5,91,2.5,0.783,59,,
EV028,9/28/18 5:09 PM,9/28/18 5:13 PM,0.215,0.789,0.044,0.833,95.5,93,2.5,0.458,75.56,,
EV028,9/28/18 7:41 AM,9/28/18 7:43 AM,0.125,1.633,0.033,1.667,97,95,2,0.313,76.64,,
EV028,9/27/18 7:06 PM,9/27/18 7:15 PM,0.24,0.019,0.042,0.061,99.5,97.5,2,0.626,67.28,,
EV028,9/27/18 5:47 PM,9/27/18 6:50 PM,16.454,0.869,0.814,1.683,98.5,93.5,5,32.896,59.72,,
EV028,9/27/18 4:40 PM,9/27/18 5:37 PM,13.878,0.006,0.681,0.686,99.5,55.5,44,30.986,70.52,,
EV028,9/27/18 3:38 PM,9/27/18 4:26 PM,13.706,0.094,0.683,0.778,96,56,40,28.735,81.32,,
EV028,9/27/18 10:36 AM,9/27/18 3:27 PM,69.194,0.000,3.639,3.639,99.5,53,46.5,131.225,86.72,,
EV028,9/27/18 8:38 AM,9/27/18 10:25 AM,27.492,0.044,1.314,1.358,100,63,37,52.595,92.12,,
EV028,9/27/18 7:38 AM,9/27/18 8:27 AM,13.781,0.053,0.717,0.769,100,65,35,27.482,98.96,,
EV028,9/27/18 6:04 AM,9/27/18 7:26 AM,25.87,0.022,1.150,1.172,81,51.5,29.5,54.156,100.4,,
EV028,9/26/18 5:24 PM,9/26/18 5:34 PM,0.238,0.933,0.075,1.008,86.5,82,4.5,0.838,96.44,,
EV028,9/25/18 6:41 PM,9/25/18 6:48 PM,0.212,0.289,0.042,0.331,88,86,2,0.518,87.8,,
EV028,9/25/18 5:00 PM,9/25/18 6:05 PM,16.553,1.381,0.769,2.150,98,91.5,6.5,38.745,69.8,,
EV028,9/25/18 2:34 PM,9/25/18 4:44 PM,30.154,0.156,1.561,1.717,97.5,43.5,54,75.254,91.4,,
EV028,9/24/18 5:34 PM,9/24/18 5:40 PM,0.286,0.000,0.072,0.072,100,100,0,0.649,64.04,,
EV028,9/22/18 6:22 PM,9/22/18 7:21 PM,17.245,0.550,0.703,1.253,98.5,100,-1.5,31.98,59.72,,
EV028,9/22/18 5:25 PM,9/22/18 6:09 PM,13.712,0.069,0.631,0.700,100,71,29,25.982,76.64,,
EV028,9/22/18 3:32 PM,9/22/18 5:11 PM,26.007,0.294,1.289,1.583,94,55,39,55.569,83.12,,
EV028,9/21/18 11:19 PM,9/21/18 11:25 PM,0.369,0.097,0.078,0.175,97,94.5,2.5,0.837,88.52,,
EV028,9/21/18 7:05 PM,9/21/18 7:17 PM,0.237,0.739,0.069,0.808,99,97,2,0.75,97.52,,
EV028,9/21/18 5:48 PM,9/21/18 6:51 PM,16.445,0.019,0.808,0.828,100,94,6,34.441,95,,
EV028,9/21/18 5:10 PM,9/21/18 5:37 PM,7.207,0.569,0.383,0.953,85,56,29,14.565,95.72,,
EV028,9/21/18 4:37 PM,9/21/18 4:57 PM,6.539,0.358,0.311,0.669,98.5,88.5,10,12.741,67.64,,
EV028,9/21/18 11:37 AM,9/21/18 4:26 PM,69.367,0.353,3.617,3.969,99.5,59,40.5,137.663,84.2,,
