Vehicle ID,Date,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Charging Time,SOC Used for Driving,SOC Used for Idling,Total Energy Charged,Total Energy Driven,Total Energy Idled,Total Energy Regenerated from Driving
EV113,12/02/20,12.62913225,1.595743889,1.267003223,2.9183135,81.81,70.12,NA,30.84133733,62.5,19.80690375,32.436036,0.055566389,NA,NA,1.24049,24.3274893,6.513627327,1.038741862
EV113,12/04/20,12.551876,2.628536111,0.959958889,3.588495,82.34,56.04,NA,33.71594,57,48.840468,61.392344,NA,NA,NA,NA,18.51973,15.19588,0.64948
EV113,12/11/20,9.229398287,1.423457778,1.000651009,3.765402676,86.01,76.12,NA,22.7370176,55.5,67.44889371,76.678292,1.341293889,NA,NA,8.34409,15.41521614,7.3216276,0.368078999
EV113,12/12/20,5.559445713,0.5865725,0.237806768,3.247689268,76.1,90.09,NA,5.1242724,54.5,76.71126629,82.270712,2.42331,NA,NA,33.60762,2.434723858,2.6895224,0.033571001
EV113,12/14/20,3.976832,0.010620278,0.230056389,0.240676667,89.98,86.92,NA,5.22034,56.5,82.394988,86.37182,NA,NA,NA,NA,5.14519,0.07474,0.14722
EV113,12/18/20,8.169717315,1.765224722,0.814604778,2.5798295,88.81,73.76,NA,29.1527334,58,93.61232669,101.782044,NA,NA,NA,NA,18.94513337,10.2082234,1.110761735
EV113,12/30/20,17.771468,1.676850833,1.397051944,3.103078889,90.27,56.09,NA,34.47995,54.5,118.0622,135.833668,0.029176111,NA,NA,0.01195,25.26228,9.21752,1.06642
EV113,01/14/21,20.3569423,1.747838889,1.536317033,6.201055367,79.41,77.69,NA,52.0148924,67.5,234.4088577,254.7658,2.916899444,NA,NA,70.85709,41.18504898,10.8296024,1.410795917
EV113,01/15/21,23.03966251,1.786140357,1.339218805,4.057234082,77.37,48.04,20.29134644,39.44883,73,255.2143015,278.253964,0.931874921,15.02898644,5.26236,28.48077561,29.216629,10.23169,0.839178913
EV113,01/19/21,39.63168688,3.345176827,2.646780708,7.083927257,64.31,46.07,44.24879691,79.01597,56.5,320.7478243,360.3795112,1.091969722,34.07189691,10.1769,58.89095,60.8505994,18.16517,2.944403939
EV113,01/20/21,24.14393812,1.446256848,1.573294292,3.759966974,42.2,73.76,31.06750528,55.4708401,67.5,360.4902819,384.63422,0.740415833,25.58938669,5.478118592,31.27129,45.6997307,9.771177938,2.371397429
EV113,01/22/21,37.40035291,4.966705,3.247793946,10.93375978,71.13,73.35,55.83909372,102.4943766,56.5,416.7041511,454.104504,2.719260833,40.5954606,15.24363312,58.670117,74.51932764,27.97501464,5.252968958
EV113,01/23/21,8.333215092,1.482066667,0.746849943,3.006494943,73.32,71.9,15.80376328,29.15151936,51.5,454.2220569,462.555272,0.777578333,11.3344674,4.46929588,33.706973,20.92845636,8.22297336,2.129973042
EV113,01/25/21,13.173256,0.767515556,0.819941944,2.105920278,71.84,77.85,9.60013,17.966154,49.5,463.300928,476.474184,0.518462778,6.962524,2.637606,26.432293,13.029456,4.936155,0.583711
EV113,01/26/21,24.8552,1.572235833,1.896072778,6.287380556,35.8,64.67,24.6922,46.208722,46.5,493.499996,518.355196,2.819071944,18.879726,5.812474,91.314025,35.330853,10.877792,1.497437
EV113,01/27/21,23.736716,1.725743611,1.914986944,4.373431944,90.01,65.38,24.952942,46.450111,52,519.722232,543.458948,0.732701389,18.023988,6.928954,26.328411,33.549585,12.900457,1.526562
EV113,01/28/21,21.251196,1.233590556,1.352911944,4.951582778,84.8,90.07,16.681237,32.37015,54.5,546.441572,567.692768,2.365080278,12.255431,4.425806,63.22011,23.782368,8.587629,1.59146
