Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time
EV015,3/29/19 3:28 PM,3/29/19 4:36 PM,31.93,0.378148,0.767754,1.145902,67.1,53.3,13.8,8.23,66.2,418.45,449.52,33
EV015,3/29/19 3:06 PM,3/29/19 3:13 PM,1.26,0.018254,0.089123,0.107377,67.8,67.5,0.3,0.3,62.6,417.19,418.44,17
EV015,3/29/19 2:57 PM,3/29/19 3:01 PM,0.36,0.036,0.030667,0.066667,67.8,67.8,0,0.12,62.6,416.82,416.82,54
EV015,3/29/19 1:53 PM,3/29/19 2:44 PM,29.78,0.187661,0.665344,0.853005,82,67.8,14.2,8.28,62.6,387.07,415.65,22
EV015,3/29/19 12:57 PM,3/29/19 1:25 PM,21.48,0.018317,0.439607,0.457923,91,82,9,5.23,60.8,365.6,385.48,4
EV015,3/29/19 12:07 PM,3/29/19 12:36 PM,21.4,0.032992,0.43832,0.471311,100,91,9,6.16,59,344.21,364.09,7
EV015,3/28/19 2:43 PM,3/28/19 3:30 PM,23.62,0.191738,0.607169,0.798907,92.9,82,10.9,6.22,62.6,320.59,342.96,24
EV015,3/28/19 12:22 PM,3/28/19 12:52 PM,21.39,0.044705,0.452016,0.496721,100,92.9,7.1,5.15,59,299.21,320.34,9
EV015,3/27/19 4:54 PM,3/27/19 5:20 PM,11.76,0.171366,0.257049,0.428415,94.1,88.2,5.9,3.35,73.4,287.45,298.64,40
EV015,3/27/19 1:35 PM,3/27/19 1:56 PM,11.76,0.090787,0.258393,0.34918,100,94.1,5.9,3.13,68,275.69,286.88,26
EV015,3/26/19 2:21 PM,3/26/19 2:26 PM,0.4,0.038664,0.034287,0.072951,100,100,0,0.11,62.6,275.3,275.3,53
EV015,3/26/19 1:52 PM,3/26/19 1:53 PM,0,0.004372,0,0.004372,100,100,0,0,62.6,,,100
EV015,3/26/19 1:43 PM,3/26/19 1:51 PM,0,0.126503,0,0.126503,100,100,0,0.03,62.6,275.3,275.3,100
EV015,3/8/19 5:32 PM,3/8/19 5:32 PM,0,0.003552,0,0.003552,12.5,12.5,0,-0.01,55.4,,,100
EV015,3/8/19 5:13 PM,3/8/19 5:31 PM,0,0.305464,0,0.305464,9.4,12.2,-2.8,-1.96,57.2,275.3,275.3,100
EV015,3/8/19 4:24 PM,3/8/19 5:05 PM,0,0.673224,0,0.673224,1.6,7.8,-6.2,-4.2,57.2,275.3,275.3,100
EV015,3/8/19 12:26 PM,3/8/19 4:24 PM,222.57,0.118811,3.841571,3.960383,100,1.6,98.4,57.72,57.2,52.87,274.08,3
EV015,3/7/19 9:28 PM,3/7/19 9:29 PM,0.03,0.002754,0.004896,0.00765,74.5,74.5,0,0.01,59,,,36
