Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV190,01/04/2023 07:14:00,01/04/2023 08:56:00,31,0.07916666666666666,1.4858333333333333,1.565,100,64.8,33.6,52.080000000000005,57.17,7867,7898,0.05058572949946752,,21.5
EV190,01/04/2023 12:53:00,01/04/2023 13:16:00,13,0.007222222222222222,0.37305555555555553,0.38027777777777777,100,94,6,9.299999999999999,63.086,7898,7911,0.018991964937910884,,35
EV190,01/04/2023 14:01:00,01/04/2023 14:24:00,7,0.006666666666666667,0.31166666666666665,0.31833333333333336,93.2,85.6,7.2,11.160000000000002,63.518,7911,7918,0.020942408376963356,,19.8
EV190,01/04/2023 15:12:00,01/04/2023 15:42:00,14,0.04888888888888889,0.5,0.5488888888888889,85.2,68.4,16.8,26.040000000000003,62.114,7918,7932,0.08906882591093118,,29.2
EV190,01/05/2023 07:12:00,01/05/2023 08:48:00,30,0.2644444444444445,1.2427777777777778,1.5072222222222222,100,61.6,33.6,52.080000000000005,57.092,7933,7964,0.1754515296719499,,23.6
EV190,01/05/2023 13:08:00,01/05/2023 14:19:00,28,0.08333333333333333,0.8952777777777778,0.9786111111111111,100,71.2,28.799999999999997,44.64,60.278,7964,7992,0.08515469770082315,,32
EV190,01/06/2023 07:07:00,01/06/2023 08:42:00,30,0.6030555555555556,1.2333333333333334,1.8363888888888888,100,60,37.199999999999996,57.660000000000004,54.296,7992,8023,0.32839207381636665,,23.066666666666666
EV190,01/06/2023 14:18:00,01/06/2023 14:40:00,13,0.0030555555555555557,0.3638888888888889,0.36694444444444446,100,96.4,3.6,5.580000000000001,62.996,8023,8036,0.008327024981074944,,36.3
EV190,01/06/2023 15:13:00,01/06/2023 15:47:00,15,0.02638888888888889,0.55,0.5763888888888888,95.6,78.8,16.8,26.040000000000003,,8036,8051,0.04578313253012048,,26.5
EV190,07/03/2023 08:32:00,07/03/2023 08:56:00,15,0.01138888888888889,0.39444444444444443,0.4058333333333333,100,82,18,27.9,72.23,8076,8091,0.02806297056810404,,40.6
EV190,07/28/2023 13:52:00,07/28/2023 14:40:00,16,0.021111111111111112,0.6491666666666667,0.6702777777777778,78.4,61.2,16.8,26.040000000000003,87.089,8092,8109,0.031496062992125984,,13.7
EV190,08/15/2023 07:25:00,08/15/2023 08:12:00,10,0.014722222222222222,0.3252777777777778,0.33999999999999997,100,91.6,7.2,11.160000000000002,68.43802346,8109,8119,0.043300653594771234,,16.833333333333332
EV190,08/15/2023 10:06:00,08/15/2023 10:24:00,9,0.02638888888888889,0.28888888888888886,0.31527777777777777,91.6,80.8,10.8,16.740000000000002,77.036,8119,8128,0.08370044052863436,,32.6
EV190,08/17/2023 07:52:00,08/17/2023 08:52:00,12,0.2763888888888889,0.7361111111111112,1.0125,100,89.2,10.8,16.740000000000002,70.406,8128,8140,0.27297668038408773,,6.066666666666666
EV190,08/18/2023 07:12:00,08/18/2023 09:27:00,43,0.27,2.147777777777778,2.417777777777778,100,56.8,42,65.1,69.41604692,8140,8183,0.11167279411764706,,14.2
EV190,08/22/2023 06:52:00,08/22/2023 09:09:00,35,0.051111111111111114,1.9083333333333334,1.9594444444444445,100,65.2,34.8,53.940000000000005,67.712,8184,8219,0.02608449106889708,,11.675
EV190,08/22/2023 13:57:00,08/22/2023 14:21:00,12,0.016666666666666666,0.3983333333333333,0.415,100,95.2,4.8,7.44,80.654,8219,8231,0.040160642570281124,,31
EV190,08/22/2023 15:45:00,08/22/2023 16:19:00,15,0.08416666666666667,0.5738888888888889,0.6580555555555555,94.4,74,20.4,31.619999999999997,78.692,8232,8247,0.12790206838328408,,26.5
EV190,08/23/2023 07:58:00,08/23/2023 10:06:00,35,0.11416666666666667,1.746388888888889,1.8605555555555557,100,64,34.8,53.940000000000005,68.4968,8247,8283,0.061361600477754547,,9.88
EV190,08/23/2023 15:00:00,08/23/2023 16:38:00,33,0.06972222222222221,1.5175,1.587222222222222,100,68,31.2,48.36,81.014,8283,8316,0.04392719635981798,,21.3
EV190,08/24/2023 06:51:00,08/24/2023 07:26:00,12,0.08611111111111111,0.47750000000000004,0.5636111111111111,100,94,4.8,7.44,66.596,8316,8329,0.15278462296697878,,9.966666666666667
EV190,08/24/2023 07:48:00,08/24/2023 09:06:00,21,0.022222222222222223,1.2897222222222222,1.3119444444444444,93.2,70.4,22.8,35.34,68.198,8329,8350,0.016938386618674573,,16.1
EV190,08/24/2023 13:07:00,08/24/2023 14:17:00,17,0.014722222222222223,0.7894444444444445,0.8041666666666667,100,89.6,9.6,14.880000000000003,83.21,8350,8367,0.018307426597582038,,15.225
EV190,08/24/2023 15:44:00,08/24/2023 16:44:00,24,0.07305555555555555,0.995,1.0680555555555555,89.2,60.4,28.8,44.64000000000001,80.276,8368,8392,0.06840052015604682,,24.2
EV190,08/25/2023 06:49:00,08/25/2023 07:28:00,13,0.041666666666666664,0.4477777777777778,0.48944444444444446,100,94,6,9.299999999999999,65.1155,8392,8405,0.0851305334846765,,8.35
EV190,08/25/2023 07:49:00,08/25/2023 08:56:00,21,0.034166666666666665,1.1102777777777777,1.1444444444444444,93.2,69.2,24,37.199999999999996,67.46,8405,8426,0.029854368932038834,,19.4
EV190,08/25/2023 14:53:00,08/25/2023 16:41:00,35,0.0661111111111111,1.5191666666666666,1.5852777777777778,100,69.6,30,46.5,81.167,8426,8461,0.04170317154371824,,22.299999999999997
