Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time
EV014,3/31/19 9:00 PM,3/31/19 9:09 PM,1.33,0.068852,0.095082,0.163934,100,100,0,0.46,75.2,2317.67,2317.67,42
EV014,3/31/19 3:48 PM,3/31/19 3:58 PM,0,0.172169,0.003514,0.175683,100,100,0,0.13,68,2317.66,2317.66,98
EV014,3/31/19 2:30 PM,3/31/19 2:30 PM,0,0.004617,0.002486,0.007104,0,0,0,0.01,68,,,65
EV014,3/31/19 2:03 PM,3/31/19 2:18 PM,5.94,0.068699,0.176656,0.245355,100,99.2,0.8,1.47,66.2,2311.71,2316.68,28
EV014,3/31/19 1:33 PM,3/31/19 1:48 PM,2.81,0.146393,0.110437,0.256831,100,100,0,0.78,60.8,2308.9,2311.38,57
EV014,3/31/19 1:13 PM,3/31/19 1:14 PM,0,0.019399,0,0.019399,100,100,0,0,59,2308.9,2308.9,100
EV014,3/31/19 1:11 PM,3/31/19 1:12 PM,0,0.020219,0,0.020219,100,100,0,0.01,59,2308.9,2308.9,100
EV014,3/30/19 11:20 PM,3/30/19 11:21 PM,0.01,0.022344,0.003339,0.025683,85.1,85.1,0,0.01,62.6,2308.89,2308.89,87
EV014,3/30/19 10:02 PM,3/30/19 10:14 PM,3.62,0.06618,0.134366,0.200546,86.7,85.1,1.6,0.82,68,2305.27,2307.75,33
EV014,3/30/19 9:25 PM,3/30/19 9:53 PM,11.87,0.055639,0.408022,0.463661,91,86.7,4.3,2.51,69.8,2293.39,2304.58,12
EV014,3/30/19 7:34 PM,3/30/19 7:55 PM,7.71,0.092139,0.249117,0.341257,93.7,91,2.7,1.53,71.6,2285.67,2291.89,27
EV014,3/30/19 4:06 PM,3/30/19 4:07 PM,0.04,0.004328,0.005508,0.009836,0,0,0,0.02,66.2,,,44
EV014,3/30/19 3:53 PM,3/30/19 4:01 PM,1.24,0.065492,0.062923,0.128415,94.5,94.1,0.4,0.22,66.2,2284.39,2285.64,51
EV014,3/30/19 3:41 PM,3/30/19 3:46 PM,1.48,0.031027,0.06023,0.091257,95.3,94.9,0.4,0.33,60.8,2282.91,2284.15,34
EV014,3/30/19 3:19 PM,3/30/19 3:24 PM,1.33,0.015142,0.073929,0.089071,95.3,95.3,0,0.25,55.4,2281.58,2282.82,17
EV014,3/30/19 1:36 PM,3/30/19 1:37 PM,0.06,0.008951,0.008262,0.017213,0,0,0,0.02,55.4,,,52
EV014,3/30/19 12:38 PM,3/30/19 1:01 PM,5.26,0.157615,0.226811,0.384426,95.3,93.3,2,1.21,55.4,2276.24,2281.21,41
EV014,3/30/19 11:57 AM,3/30/19 12:07 PM,4.08,0.034645,0.138579,0.173224,97.6,95.3,2.3,1.04,51.8,2272.16,2275.89,20
EV014,3/30/19 10:16 AM,3/30/19 10:40 AM,8.65,0.066699,0.32565,0.39235,100,98,2,2.9,46.4,2263.5,2270.96,17
EV014,3/29/19 8:57 PM,3/29/19 8:58 PM,0.06,0.00488,0.007962,0.012842,0,0,0,0.02,69.8,,,38
