Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time
EV009,3/12/19 4:27 PM,3/12/19 4:32 PM,0.65,0.019194,0.057582,0.076776,71.4,71.4,0,0.36,60.8,6187.53,6187.53,25
EV009,3/10/19 9:33 PM,3/10/19 10:12 PM,36.42,0.085779,0.574057,0.659836,94.5,72.2,22.3,12.25,53.6,6151.13,6187.17,13
EV009,3/10/19 9:10 PM,3/10/19 9:23 PM,1.25,0.146107,0.065642,0.211749,96.9,94.5,2.4,0.91,57.2,6149.88,6151.12,69
EV009,3/10/19 7:51 PM,3/10/19 7:59 PM,3.47,0.013607,0.122459,0.136066,98.4,96.9,1.5,0.93,57.2,6146.41,6148.9,10
EV009,3/10/19 7:48 PM,3/10/19 7:49 PM,0.01,0.017847,0.00729,0.025137,0,0,0,0.17,69.8,,,71
EV009,3/10/19 3:10 PM,3/10/19 3:29 PM,2.27,0.204765,0.11518,0.319945,94.9,92.5,2.4,1.34,55.4,6144.11,6145.35,64
EV009,3/10/19 2:31 PM,3/10/19 2:56 PM,7.48,0.098361,0.311475,0.409836,99.2,95.3,3.9,2.09,53.6,6136.62,6144.08,24
EV009,3/10/19 1:56 PM,3/10/19 2:08 PM,4.88,0.045057,0.150844,0.195902,100,99.6,0.4,2.28,55.4,6131.74,6135.47,23
EV009,3/9/19 9:45 PM,3/9/19 9:52 PM,2.1,0.036984,0.07859,0.115574,83.9,82.4,1.5,0.88,51.8,6129.63,6130.88,32
EV009,3/9/19 9:23 PM,3/9/19 9:29 PM,2.09,0.023702,0.071107,0.094809,85.5,84.3,1.2,0.85,57.2,6127.55,6128.79,25
EV009,3/9/19 3:10 PM,3/9/19 3:16 PM,1.26,0.031,0.069,0.1,83.1,82.7,0.4,0.41,57.2,6126.27,6126.27,31
EV009,3/9/19 2:16 PM,3/9/19 2:26 PM,1.4,0.093402,0.082828,0.17623,84.7,83.1,1.6,0.91,60.8,6124.88,6126.12,53
EV009,3/9/19 2:13 PM,3/9/19 2:14 PM,0.06,0.00647,0.011016,0.017486,0,0,0,0.12,64.4,,,37
EV009,3/8/19 11:59 PM,3/9/19 12:22 AM,8.35,0.078893,0.29679,0.375683,70.2,65.9,4.3,2.56,46.4,6116.46,6123.91,21
EV009,3/8/19 11:21 PM,3/8/19 11:32 PM,3.56,0.057295,0.133689,0.190984,72.5,70.2,2.3,1.38,48.2,6112.89,6115.38,30
EV009,3/8/19 9:59 PM,3/8/19 10:51 PM,36.82,0.103803,0.761224,0.865027,92.2,72.5,19.7,11.22,53.6,6076.1,6112.14,12
EV009,3/8/19 5:06 PM,3/8/19 5:08 PM,0.08,0.012986,0.013516,0.026503,56.1,56.1,0,0.15,60.8,6076.01,6076.01,49
EV009,3/8/19 9:54 AM,3/8/19 10:47 AM,36.77,0.070929,0.815683,0.886612,73.7,58,15.7,9.02,50,6039.25,6075.29,8
EV009,3/7/19 10:53 PM,3/7/19 11:17 PM,8.64,0.119836,0.279617,0.399454,65.1,60,5.1,3.16,51.8,6030.6,6038.06,30
EV009,3/7/19 8:17 PM,3/7/19 9:23 PM,35.35,0.10888,0.979918,1.088798,77.3,63.9,13.4,7.53,55.4,5995.26,6030.06,10
EV009,3/7/19 7:30 PM,3/7/19 8:06 PM,17.78,0.140765,0.471257,0.612022,83.9,77.3,6.6,3.93,59,5977.49,5994.89,23
EV009,3/7/19 4:46 PM,3/7/19 4:49 PM,0.55,0.009568,0.046716,0.056284,84.7,84.7,0,0.12,62.6,5976.94,5976.94,17
