Vehicle ID,Date,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV217,12/06/2022,6.990000000000002,0.2166666666666662,0.5891666666666666,0.805833333333333,48,44,4,0.0107777777777778,50,47.54,54.53,54.541532827897896,,8.674250258531547
EV217,12/07/2022,0.39000000000000057,1.46666666666666,0.20083333333333303,1.6674999999999909,45,35,7,5.06769047619047,49.82,54.53,54.92,48.445793922780325,,0.23388305847076624
EV217,12/08/2022,0.0799999999999983,1.0166666666666662,0.09027777777777773,1.1069444444444436,37,32,7,0.75638888888889,50.54,54.99,55.07,75.37461775474812,,0.07227101631116539
EV217,12/09/2022,0.46999999999999886,0.0666666666666666,0.0966666666666666,0.163333333333333,33,31,2,1.62068965517241,51.44,55.07,55.54,40.8163265306122,,2.8775510204081622
EV217,12/10/2022,0.23000000000000398,5.149999999999988,0.23944444444444388,5.38944444444444,,,,5.56441666666666,52.16,55.54,55.77,80.68534140639308,,0.04267601278218818
EV217,12/11/2022,122.26,0.18333333333333318,2.8799999999999946,3.0633333333333277,,,,,46.94,56.08,178.34,14.060231215744537,,39.910772578890175
EV217,12/12/2022,122.48999999999998,0.6666666666666653,3.1474999999999964,3.8141666666666585,82,29,60,285.575932649828,42.8,178.34,300.83,57.24644833377976,,32.114485470832484
EV217,12/13/2022,0.4700000000000273,5.683333333333329,0.1291666666666666,5.812499999999995,28,19,8,32.6666666666667,46.94,300.83,301.3,84.04171469862644,,0.08086021505376821
EV217,12/14/2022,0.6200000000000045,1.583333333333332,0.12222222222222202,1.705555555555553,20,59,2,3.00916666666667,50.18,301.3,301.92,93.08851496114832,,0.36351791530944944
EV217,12/15/2022,15.140000000000043,6.433333333333329,0.8819444444444431,7.315277777777759,92,78,14,58.2561324411455,53.78,302.08,317.22,82.78559823422309,,2.0696411619517865
EV217,12/16/2022,0.6999999999999886,2.616666666666659,0.27777777777777746,2.894444444444439,,,,5.35974521072797,55.94,317.22,317.92,68.18202034084433,,0.24184261036467983
EV217,12/17/2022,0.07999999999998408,0.0333333333333333,0.0391666666666666,0.0725,,,,0.32,55.04,317.92,318,45.9770114942528,,1.1034482758618496
