Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Energy Consumed While Driving,Energy Consumed While Idling,Average Speed,Maximum Speed
EV155,08/29/2022 05:04:00,08/29/2022 12:29:00,55.451165816631146,2.6101477777777973,4.1008783333332985,6.711026111111096,97.717188,80.885938,32.079688,143.310211,84.0835096924517,5056.979801708025,5112.430967524656,97.717188,80.885938,0.3889342307067338,,123.315758000001,19.9251330000002,7.8691190266678,51.8879736091227
EV155,08/29/2022 14:24:00,08/29/2022 14:45:00,0.2454416209347983,0.21084666666661175,0.03888333333333094,0.24972999999994272,80.429688,80.532813,0.71718700000001,2.04556200000115,84.3870647543481,5112.430967524656,5112.676409145591,80.68125,79.998438,0.8442985090564215,,0.771660999998858,1.06510299999991,,
EV155,08/29/2022 20:12:00,08/29/2022 20:23:00,0.35107472361232794,0.11452222222226284,0.04691472222219772,0.16143694444446055,79.985938,80.225,0.0796870000000069,1.79117500000029,84.274564844348,5112.676409145591,5113.027483869203,80.29375,79.985938,0.7093929002209411,,0.827497999998741,0.830255000000307,,
EV155,08/30/2022 07:00:00,08/30/2022 07:45:00,0,0.7360430555555695,0,0.7360430555555695,79.690625,79.860938,0.11406199999999,1.6645840000001,79.3799664872994,5113.027483869203,5113.027483869203,79.975,79.690625,1,,,1.66458499999999,,
EV155,08/30/2022 09:30:00,08/30/2022 10:13:00,0,0.5305613888889411,0,0.5305613888889411,79.246875,78.221875,1.26406300000001,2.02175200000056,79.1728643802538,5113.027483869203,5113.027483869203,79.485938,78.221875,1,,,2.02174999999988,,
EV155,08/30/2022 14:29:00,08/30/2022 14:54:00,0.1646633659438521,0.3737280555556026,0.02662583333335533,0.4003538888889579,78.676563,78.654688,0.192187000000004,2.4953260000002,82.0473927130422,5113.027483869203,5113.192147235147,78.846875,78.654688,0.9334942557764432,,0.330544000000373,2.06879400000025,,
EV155,08/30/2022 17:42:00,08/30/2022 19:22:00,1.025262467191169,0.22266333333334387,0.1933555555555699,0.4160188888889138,77.890625,94.278125,0.387501,3.28530500000124,81.178712729193,5113.192147235147,5114.217409702338,94.585938,77.890625,0.5352240950597795,,2.24320599999919,0.99525100000028,,
EV155,08/31/2022 05:28:00,08/31/2022 13:43:00,59.69823791557246,3.1991630555554593,4.563791944444461,7.76295499999992,96.976563,81.501563,32.214061,140.654675,81.1904775550256,5114.217409702338,5173.9156476179105,97.090625,71.957813,0.4121063506816016,,121.480076,19.0333759999999,8.08116291101197,63.3679319026883
EV155,08/31/2022 17:30:00,08/31/2022 19:37:00,1.0563310268044006,1.5877394444444235,0.20208055555553983,1.789819999999963,81.148438,91.30625,2.10624999999999,,87.6483621453102,5173.9156476179105,5174.971978644715,91.4875,79.4625,0.8870944812575879,,,,5.30284389167263,7.7096009305655
EV155,09/01/2022 04:38:22,09/01/2022 22:30:00,131.55049697267987,6.804539166666586,10.115744166666673,16.92028333333326,91.545313,49.90625,83.114063,359.218054999999,87.9480724195606,5174.971978644715,5306.522475617395,91.81875,49.90625,0.4021527909796595,,304.141085000001,55.0405140000003,8.76155474827931,47.9062294947507
