Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV131,06/08/2019,,,,,4.31,,,,,42.38,,,,
EV131,06/09/2019,,0,,,9.14,,,,0.14,48.92,,,,
EV131,06/10/2019,,0.03,,,1.2,,,,8.26,57.68,,,,
EV131,06/14/2019,,136.39,,,2.07,,,,225.11,64.04,,,,
EV131,06/15/2019,,,,,0.57,,,,,62.78000000000001,,,,
EV131,06/17/2019,,,,,1.64,,,,,60.800000000000004,,,,
EV131,06/18/2019,,,,,3.24,,,,,60.62,,,,
EV131,06/19/2019,,,,,4.71,,,,,55.82,,,,
EV131,06/21/2019,,0,,,0.54,,,,2.13,45.92,,,,
EV131,06/22/2019,,,,,2.44,,,,,49.46,,,,
EV131,06/24/2019,,0.3,,,3.65,,,,22.25,54.38,,,,
EV131,06/25/2019,,20.64,,,1.51,,,,46.09,53.24,,,,
EV131,06/26/2019,,0,,,0.22,,,,1.29,57.62,,,,
EV131,06/27/2019,,,,,2.3,,,,,54.86,,,,
EV131,06/28/2019,,0.01,,,0.35,,,,2.17,54.019999999999996,,,,
EV131,06/29/2019,,0,,,0.51,,,,1.6,57.980000000000004,,,,
EV131,07/03/2019,,55.97,,,2.48,,,,93.82,54.08,,,,
EV131,07/05/2019,,9.53,,,2.03,,,,26.3,63.38,,,,
EV131,07/07/2019,,0,,,0.02,,,,0.34,59.9,,,,
EV131,07/08/2019,,,,,2.35,,,,,57.379999999999995,,,,
EV131,07/11/2019,,0,,,0.5,,,,1.93,66.74000000000001,,,,
EV131,07/13/2019,,,,,0.49,,,,,69.8,,,,
EV131,07/15/2019,,0.18,,,1.58,,,,4.67,63.44,,,,
EV131,07/17/2019,,2.51,,,1.4,,,,14.54,58.7,,,,
EV131,07/18/2019,,0.58,,,3.97,,,,5.9,58.64,,,,
EV131,07/20/2019,,0,,,0.02,,,,0.38,56.12,,,,
EV131,07/22/2019,,0,,,0.17,,,,0.74,65.84,,,,
EV131,07/23/2019,,0.05,,,0.98,,,,9.29,70.69999999999999,,,,
EV131,07/24/2019,,7.39,,,2.69,,,,33.28,66.44,,,,
EV131,07/25/2019,,0.01,,,0.14,,,,1.05,61.28,,,,
EV131,07/29/2019,,0.19,,,1.09,,,,6.06,66.92,,,,
EV131,07/31/2019,,18.7,,,2.96,,,,39.84,70.16000000000001,,,,
EV131,08/01/2019,,10.88,,,1.14,,,,25.77,72.02,,,,
EV131,08/05/2019,,0.05,,,0.27,,,,3.28,71.24,,,,
EV131,08/07/2019,,1.85,,,0.45,,,,8.75,72.62,,,,
EV131,08/08/2019,,0.97,,,0.08,,,,3.13,74.78,,,,
EV131,08/09/2019,,14.43,,,0.94,,,,26.11,64.58,,,,
EV131,08/10/2019,,0.02,,,0.23,,,,2.07,62.66,,,,
EV131,08/12/2019,,0.05,,,0.03,,,,0.54,54.74,,,,
EV131,08/13/2019,,8.71,,,0.68,,,,19.2,59.480000000000004,,,,
EV131,08/16/2019,,0,,,0.5,,,,3.04,58.7,,,,
EV131,08/19/2019,,0,,,0.53,,,,3.41,65.78,,,,
EV131,08/20/2019,,0.57,,,0.14,,,,2.56,67.88,,,,
EV131,08/21/2019,,4.24,,,0.27,,,,8.82,71.36,,,,
EV131,08/22/2019,,0,,,0.07,,,,1.2,60.38,,,,
EV131,08/23/2019,,8.05,,,0.63,,,,18.12,60.67999999999999,,,,
EV131,08/24/2019,,2.81,,,0.23,,,,7.07,63.38,,,,
EV131,08/26/2019,,0.05,,,1.56,,,,1.1,57.14,,,,
EV131,08/27/2019,,24.73,,,1.08,,,,40.99,58.82,,,,
EV131,08/29/2019,,0.06,,,0.09,,,,1.56,61.82,,,,
EV131,08/30/2019,,31.67,,,1.43,,,,56.3,61.46,,,,
EV131,09/03/2019,,0.17,,,0.55,,,,2.27,66.86,,,,
EV131,09/04/2019,,9.35,,,1.1,,,,23.8,67.88,,,,
EV131,09/05/2019,,14.51,,,0.61,,,,25.35,66.2,,,,
EV131,09/07/2019,,,,,1.5,,,,,59,,,,
EV131,09/08/2019,,0.05,,,5.28,,,,1.97,57.14,,,,
EV131,09/09/2019,,11.89,,,3.89,,,,21.65,52.22,,,,
EV131,09/10/2019,,0.09,,,1.59,,,,11.62,51.02,,,,
EV131,09/11/2019,,11.13,,,2.98,,,,41.88,52.82,,,,
EV131,09/12/2019,,43.89,,,1.95,,,,76.8,52.82,,,,
EV131,09/13/2019,,40.64,,,2.75,,,,64.55,55.34,,,,
EV131,09/14/2019,,0,,,4.69,,,,0,59.24,,,,
EV131,09/16/2019,,0.01,,,0.06,,,,1.12,59.42,,,,
EV131,09/17/2019,,0,,,0.61,,,,2.48,50.06,,,,
EV131,09/18/2019,,0.16,,,2.31,,,,17.61,45.800000000000004,,,,
EV131,09/19/2019,,0,,,0.87,,,,2.24,47.96,,,,
EV131,09/20/2019,,,,,1.81,,,,,47.120000000000005,,,,
EV131,09/23/2019,,,,,1.14,,,,,54.32,,,,
EV131,09/24/2019,,,,,1.78,,,,,53.66,,,,
EV131,09/26/2019,,,,,1.99,,,,,46.22,,,,
EV131,09/27/2019,,0,,,0.76,,,,2.78,45.32,,,,
EV131,10/01/2019,,0,,,0.45,,,,2.36,33.02,,,,
EV131,10/04/2019,,0,,,1.01,,,,3.34,40.94,,,,
EV131,10/08/2019,,0,,,0.92,,,,2.97,44.24,,,,
EV131,10/09/2019,,0,,,0.01,,,,0,27.02,,,,
EV131,10/10/2019,,0,,,0.66,,,,2.27,26.18,,,,
EV131,10/14/2019,,,,,1.95,,,,,41.72,,,,
EV131,10/15/2019,,,,,1.73,,,,,39.08,,,,
EV131,10/16/2019,,0,,,0.75,,,,2.15,48.260000000000005,,,,
EV131,10/18/2019,,,,,0.24,,,,,38.6,,,,
EV131,10/21/2019,,4.52,,,0.5,,,,26.24,36.02,,,,
EV131,10/22/2019,,0.03,,,0.04,,,,0.24,41.3,,,,
EV131,10/23/2019,,0.09,,,0.17,,,,7.49,36.379999999999995,,,,
EV131,11/01/2019,,0,,,0.01,,,,0.16,23.66,,,,
EV131,11/12/2019,,4.39,,,0.72,,,,14.86,28.580000000000002,,,,
EV131,11/13/2019,,,,,0.62,,,,,33.5,,,,
EV131,11/14/2019,,0,,,0.04,,,,0.27,34.22,,,,
EV131,11/18/2019,,0,,,0.39,,,,1.17,41.18,,,,
EV131,11/22/2019,,0,,,0.24,,,,0.8,26.54,,,,
EV131,11/25/2019,,0.04,,,5.47,,,,5.12,26.3,,,,
EV131,11/26/2019,,0,,,4.09,,,,0.76,23,,,,
EV131,11/27/2019,,0,,,0.38,,,,2.66,22.7,,,,
EV131,11/29/2019,,0,,,0.42,,,,3.28,13.52,,,,
EV131,12/02/2019,,,,,3.69,,,,,25.46,,,,
EV131,12/04/2019,,0,,,1.27,,,,0.15,33.98,,,,
EV131,12/11/2019,,18.99,,,5.17,,,,75.39,27.38,,,,
EV131,12/12/2019,,144.44,,,10.78,,,,340.71,30.86,,,,
EV131,12/13/2019,,109.42,,,11.79,,,,273.97,30.86,,,,
EV131,12/14/2019,,0,,,11.98,,,,0.04,27.2,,,,
EV131,12/15/2019,,0,,,11.98,,,,0.01,23.96,,,,
EV131,12/16/2019,,135.74,,,11.59,,,,408.21,21.98,,,,
EV131,12/17/2019,,157.77,,,11.86,,,,440.25,19.7,,,,
EV131,12/18/2019,,58.51,,,11.49,,,,256.96,18.86,,,,
EV131,12/19/2019,,90.5,,,11.89,,,,285.41,22.7,,,,
