Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Average Speed,Maximum Speed
EV203,05/27/2021,,116.2,,,15.4666666666667,100,49,51,186,74.68,,,100,48.25,,,12.3,40.7
EV203,05/28/2021,,111.7,,,14.9666666666667,100,50,50,179.25,76.56,,,100,49.73,,,13.96,44.7
EV203,05/29/2021,,95.6,,,15,100,60,40,145.38,68.98,,,100,59.8,,,13.52,36.1
EV203,05/30/2021,,105.4,,,15.5666666666667,100,27,73,251.91,53.94,,,100,27,,,13.32,41.7
EV203,05/31/2021,,105.4,,,15.0833333333333,97.37,41,56.37,195.59,59.32,,,97.37,40.45,,,12.79,42.4
EV203,06/01/2021,,115.6,,,15.2666666666667,98.39,50,48.39,166,67.63,,,98.39,49.55,,,11.67,36.8
EV203,06/02/2021,,116.5,,,15.2833333333333,100,48,52,185.2,76.49,,,100,47.98,,,13.01,42.7
EV203,06/03/2021,,115.8,,,14.7333333333333,100,45,55,197.52,83.77,,,100,45,,,13.08,45.1
EV203,06/04/2021,,116,,,15.25,100,35,65,226.1,87.7,,,100,35,,,13.36,40.7
EV203,06/05/2021,,106.2,,,15.0333333333333,100,43,57,201.37,88.8,,,100,42.9,,,13.05,41.1
EV203,06/06/2021,,91.9,,,12.6666666666667,100,62,38,148.94,84.27,,,100,61.62,,,12.65,36.2
EV203,06/07/2021,,106.8,,,15.2333333333333,100,51,49,177,84.4,,,100,50.16,,,11.54,37.7
EV203,06/08/2021,,107.3,,,15.2666666666667,100,44,56,200.13,88.05,,,100,43.14,,,12.42,35.9
EV203,06/09/2021,,105.8,,,15.1,100,37,63,208,89,,,100,37,,,13.65,38.8
EV203,06/10/2021,,102.6,,,15.2333333333333,100,46,54,189.1,87.73,,,100,45.51,,,13.37,41.9
EV203,06/11/2021,,5.7,,,0.4,46.86,46,0.859999999999999,5.89,84.9,,,46.86,45.51,,,17.86,38.7
EV203,06/12/2021,,0.2,,,,,,,2.77,,,,,,,,,
EV203,06/13/2021,,0,,,,,,,1.11,,,,,,,,,
EV203,06/14/2021,,0,,,,,,,9.03,,,,,,,,,
EV203,06/15/2021,,0,,,,,,,0.92,,,,,,,,,
EV203,06/16/2021,,92.2,,,13.0666666666667,97.16,36,61.16,208.35,95.41,,,97.16,35.63,,,13,43.3
EV203,06/18/2021,,0.4,,,,,,,3.16,,,,,,,,,
EV203,06/19/2021,,96.3,,,15.1333333333333,99.42,49,50.42,164,84.17,,,99.42,48.05,,,13.05,40.9
EV203,06/20/2021,,105.3,,,15.05,100,51,49,173.73,81.86,,,100,50.81,,,13.26,42.3
EV203,06/21/2021,,114.8,,,15.1333333333333,100,53,47,165.84,72.69,,,100,52.94,,,12.64,43.5
EV203,06/22/2021,,107.1,,,15.2333333333333,100,39,61,212,88.68,,,100,38.37,,,12.97,38.7
EV203,06/23/2021,,116,,,14.9,100,35,65,232.03,92.09,,,100,35,,,13.09,42.1
EV203,06/24/2021,,87.3,,,10.6166666666667,100,62,38,146.68,86.14,,,100,61.99,,,12.57,46.4
EV203,06/25/2021,,0,,,,,,,0.37,,,,,,,,,
EV203,06/26/2021,,0,,,,,,,2.84,,,,,,,,,
EV203,06/27/2021,,102.1,,,15.1333333333333,100,52,48,166.37,70.58,,,100,51.64,,,13.12,44.7
EV203,06/28/2021,,3.4,,,0.266666666666667,52.65,52,0.649999999999999,4.14,60.97,,,52.68,51.64,,,17.46,34
EV203,06/29/2021,,102.3,,,15.1666666666667,100,54,46,160.63,76.57,,,100,54,,,12.35,36.7
EV203,06/30/2021,,105.6,,,14.8333333333333,100,49,51,182.6,81.06,,,100,48.12,,,12.83,49.7
EV203,07/01/2021,,103.9,,,15.1666666666667,100,44,56,192.01,73.27,,,100,43.97,,,13.04,40
EV203,07/02/2021,,4.3,,,0.316666666666667,45.22,44,1.22,10.46,64.59,,,97,43.97,,,17.39,35.4
EV203,07/03/2021,,98,,,15.3,96.91,47,49.91,159,82.48,,,96.91,46.48,,,13.32,44.3
EV203,07/04/2021,,105.5,,,24.1833333333333,47.26,47,,186.42,81.44,,,100,46.08,,,13.82,44.4
EV203,07/05/2021,,98.9,,,15.25,100,54,46,164.02,84.82,,,100,53.93,,,11.3,38.5
EV203,07/06/2021,,104.6,,,15.0333333333333,100,49,51,180.57,83.14,,,100,48.9,,,11.64,40.5
EV203,07/07/2021,,105.5,,,15.0666666666667,100,42,58,202.87,88.85,,,100,41.71,,,12.56,37.6
EV203,07/08/2021,,104.4,,,15.0833333333333,100,33,67,230.41,94.34,,,100,32.99,,,12.74,41.6
EV203,07/09/2021,,97.8,,,14.95,100,38,62,194,92.55,,,100,37.59,,,13.37,44.6
EV203,07/10/2021,,97.2,,,15.1166666666667,100,48,52,169,86.12,,,100,47.33,,,13.72,42.5
EV203,07/11/2021,,105.7,,,15.35,100,48,52,184.72,84.32,,,100,47.25,,,13.71,38.7
EV203,07/12/2021,,98.4,,,15.0333333333333,100,50,50,162,87.44,,,100,49.41,,,11.91,37.4
EV203,07/13/2021,,98.2,,,14.95,100,56,44,157.96,80.09,,,100,55.8,,,13.13,38
EV203,07/14/2021,,98.2,,,15.1833333333333,100,50,50,173.29,76.56,,,100,50,,,14.04,43.6
EV203,07/15/2021,,4.2,,,0.25,51.37,50,1.37,6.06,70.9,,,51.37,50,,,21.14,37.3
