Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,HV Acces. Energy,LV Acces. Energy,Elect. Heater Energy,Traction Energy
EV070,01/21/2020 12:01,01/21/2020 12:31,13.9,,,0.5,70,64,6,26.1,40,,,,,0.38,1.26,0,24.45
EV070,01/29/2020 15:09,01/29/2020 15:25,7.6899999999999995,,,0.2833333333333333,52,48,4,16.78,41,,,,,0.18,0.76,0,15.84
EV070,01/29/2020 18:02,01/29/2020 18:25,12.12,,,0.4,58,54,4,20.5,38,,,,,0.64,0.97,0.28,18.61
EV070,01/30/2020 06:23,01/30/2020 06:54,6.29,,,0.5333333333333333,89,86,3,13.05,31,,,,,0.34,1.4,0,11.31
EV070,01/30/2020 07:21,01/30/2020 10:57,35.5,,,2.816666666666667,86,74,12,59.65,29,,,,,3.01,9.24,3.69,43.71
EV070,01/30/2020 11:21,01/30/2020 12:52,17.79,,,1.25,74,67,7,29.82,36,,,,,1.2,3.85,1.18,23.59
EV070,01/30/2020 13:22,01/30/2020 13:54,8.7,,,0.55,67,64,3,14.91,35,,,,,0.64,1.66,0,12.61
EV070,01/30/2020 14:21,01/30/2020 15:43,14.76,,,1.05,64,59,5,24.23,33,,,,,0.91,3.49,1.38,18.45
EV070,01/31/2020 05:57,01/31/2020 17:01,145.09,,,10.616666666666667,89,31,58,272.14,30,,,,,11.01,33.53,3.71,223.9
EV070,02/01/2020 07:29,02/01/2020 11:18,72.93,,,3.75,90,64,26,119.3,34,,,,,2.63,10.34,0,106.32
EV070,02/01/2020 13:03,02/01/2020 17:43,91.42,,,4.45,64,31,33,150.98,43,,,,,2.9,11.95,0.55,135.59
EV070,02/01/2020 06:04,02/01/2020 16:30,80.39,,,9.95,89,48,41,193.86,46,,,,,15.79,25.11,0.33,152.64
EV070,02/02/2020 06:23,02/02/2020 11:18,62.6,,,4.466666666666667,91,68,23,104.38,37,,,,,3.58,12.57,4.13,84.1
EV070,02/02/2020 12:16,02/02/2020 17:10,55.220000000000006,,,4.8,68,49,19,87.61,57,,,,,5.17,10.06,0.53,71.84
EV070,02/03/2020 08:36,02/03/2020 09:08,18.41,,,0.55,76,69,7,33.55,42,,,,,0.35,1.75,0,31.45
EV070,02/05/2020 09:19,02/05/2020 09:59,17.4,,,0.5833333333333334,76,69,7,29.82,15,,,,,0.83,2.03,0,26.96
EV070,02/05/2020 15:53,02/05/2020 23:59,69.59,,,8.033333333333333,89,61,28,132.34,22,,,,,9.52,23.15,0.65,99.03
EV070,02/06/2020 00:01,02/06/2020 02:20,25.71,,,2.316666666666667,60,52,8,37.28,18,,,,,2.13,6.8,0.54,27.8
EV070,02/06/2020 00:00,02/06/2020 18:58,108.9,,,5.383333333333334,86,54,32,182.67,23,,,,,3.33,16.21,4.65,158.49
EV070,02/07/2020 15:32,02/07/2020 16:00,13.59,,,0.48333333333333334,88,83,5,24.23,35,,,,,0.41,1.18,0.33,22.32
EV070,02/07/2020 17:02,02/07/2020 18:22,55.07,,,1.3333333333333333,82,62,20,93.2,36,,,,,0.54,4.1,0,88.56
EV070,02/08/2020 07:23,02/08/2020 11:18,75.11,,,3.6666666666666665,90,63,27,121.16,34,,,,,2.59,10.89,0.29,107.39
EV070,02/08/2020 13:04,02/08/2020 17:43,87.77,,,4.133333333333334,63,30,33,152.85,46,,,,,3.41,9.24,0.28,139.92
EV070,02/10/2020 08:47,02/10/2020 17:27,108.43,,,8.133333333333333,92,48,44,203.18,32,,,,,8.27,28.79,0,166.12
EV070,02/11/2020 06:26,02/11/2020 10:36,56.86,,,4.1,88,67,21,98.79,18,,,,,4.12,10.56,1.23,82.88
EV070,02/12/2020 05:57,02/12/2020 17:13,145.4,,,10.7,89,33,56,259.1,32,,,,,11.08,33.14,3.11,211.76
EV070,02/13/2020 14:53,02/13/2020 18:36,89.86999999999999,,,3.45,92,59,33,152.85,36,,,,,2.21,9.04,1.95,139.65
EV070,02/14/2020 15:42,02/14/2020 16:11,11.57,,,0.5,86,82,4,9.32,43,,,,,0.34,1.39,0,7.6
