Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV132,06/22/2019,,0,,,0.19,,,,2.18,49.46,,,,
EV132,06/24/2019,,,,,2.83,,,,,54.38,,,,
EV132,06/25/2019,,0.04,,,7.7,,,,12.39,53.24,,,,
EV132,06/26/2019,,117.27,,,3.29,,,,175.46,57.62,,,,
EV132,06/27/2019,,,,,3.26,,,,,54.86,,,,
EV132,06/28/2019,,18.87,,,0.72,,,,38.09,54.019999999999996,,,,
EV132,06/29/2019,,0.01,,,0.11,,,,0.92,57.980000000000004,,,,
EV132,07/01/2019,,0,,,0.04,,,,0.2,64.7,,,,
EV132,07/03/2019,,0.03,,,1.95,,,,16.79,54.08,,,,
EV132,07/05/2019,,,,,2.09,,,,,63.38,,,,
EV132,07/08/2019,,0.23,,,4.27,,,,5.08,57.379999999999995,,,,
EV132,07/09/2019,,62.84,,,1.39,,,,96.32,58.4,,,,
EV132,07/10/2019,,59.12,,,3.39,,,,96.35,64.88,,,,
EV132,07/11/2019,,0.05,,,3.54,,,,5.83,66.74000000000001,,,,
EV132,07/18/2019,,,,,0.9,,,,,58.64,,,,
EV132,07/24/2019,,0.22,,,0.14,,,,3.53,66.44,,,,
EV132,07/26/2019,,0.17,,,0.06,,,,1.57,67.16,,,,
EV132,07/30/2019,,0.18,,,2.31,,,,5.85,67.7,,,,
EV132,08/01/2019,,0.11,,,0.06,,,,1.2,72.02,,,,
EV132,08/05/2019,,0.2,,,1.57,,,,16.63,71.24,,,,
EV132,08/06/2019,,15.1,,,1.73,,,,46.71,70.7,,,,
EV132,08/07/2019,,17.5,,,1.44,,,,28.37,72.62,,,,
EV132,08/08/2019,,1.81,,,0.06,,,,2,74.78,,,,
EV132,08/10/2019,,11.09,,,0.42,,,,7.35,62.66,,,,
EV132,08/12/2019,,0.21,,,0.32,,,,2.97,54.74,,,,
EV132,08/13/2019,,12.66,,,2.98,,,,33.01,59.480000000000004,,,,
EV132,08/14/2019,,49.75,,,0.87,,,,73.37,63.02,,,,
EV132,08/15/2019,,5.72,,,0.87,,,,17.25,60.2,,,,
EV132,08/16/2019,,0.01,,,0.28,,,,0.79,58.7,,,,
EV132,08/17/2019,,0.16,,,1.25,,,,5.54,57.38,,,,
EV132,08/19/2019,,,,,3.71,,,,,65.78,,,,
EV132,08/20/2019,,0.18,,,3.33,,,,18.79,67.88,,,,
EV132,08/21/2019,,0,,,1.19,,,,3.07,71.36,,,,
EV132,08/22/2019,,5.85,,,0.23,,,,12.98,60.38,,,,
EV132,08/23/2019,,0.18,,,1.98,,,,5.27,60.67999999999999,,,,
EV132,08/26/2019,,0.03,,,4.33,,,,12.55,57.14,,,,
EV132,08/29/2019,,0.2,,,0.45,,,,2.03,61.82,,,,
EV132,08/30/2019,,0.21,,,0.17,,,,0.96,61.46,,,,
EV132,08/31/2019,,0.01,,,5.93,,,,0.66,63.74,,,,
EV132,09/03/2019,,0.07,,,0.09,,,,0.76,66.86,,,,
EV132,09/04/2019,,,,,4.99,,,,,67.88,,,,
EV132,09/05/2019,,,,,2.74,,,,,66.2,,,,
EV132,09/06/2019,,0.05,,,3.67,,,,7.45,63.08,,,,
EV132,09/07/2019,,0,,,2.54,,,,3.7,59,,,,
EV132,09/08/2019,,0,,,4.33,,,,0.43,57.14,,,,
EV132,09/09/2019,,0.15,,,7.15,,,,4.46,52.22,,,,
EV132,09/10/2019,,,,,5.95,,,,,51.02,,,,
EV132,09/11/2019,,,,,6.63,,,,,52.82,,,,
EV132,09/16/2019,,0.87,,,0.16,,,,2.32,59.42,,,,
EV132,09/17/2019,,0,,,0.04,,,,0.11,50.06,,,,
EV132,09/18/2019,,0,,,0.07,,,,2.34,45.800000000000004,,,,
EV132,09/20/2019,,22.39,,,1.2,,,,39.41,47.120000000000005,,,,
EV132,09/23/2019,,0,,,0.2,,,,0.47,54.32,,,,
EV132,09/24/2019,,21.05,,,1,,,,33.57,53.66,,,,
EV132,09/25/2019,,70.2,,,2.98,,,,110.83,49.46,,,,
EV132,09/26/2019,,0.25,,,5.3,,,,22.84,46.22,,,,
EV132,09/27/2019,,0.01,,,1.77,,,,3.74,45.32,,,,
EV132,09/28/2019,,,,,1.43,,,,,37.16,,,,
EV132,09/30/2019,,0.01,,,0.03,,,,1,31.34,,,,
EV132,10/01/2019,,,,,2.36,,,,,33.02,,,,
EV132,10/02/2019,,0.05,,,1.88,,,,12.66,33.92,,,,
EV132,10/03/2019,,0.1,,,5.59,,,,14.78,38.36,,,,
EV132,10/04/2019,,135.19,,,11.3,,,,276.77,40.94,,,,
EV132,10/05/2019,,28.12,,,9.66,,,,65.57,39.68,,,,
EV132,10/06/2019,,0,,,12,,,,0,40.7,,,,
EV132,10/07/2019,,106.92,,,10.49,,,,237.43,44.24,,,,
EV132,10/08/2019,,89.87,,,10.49,,,,183.35,44.24,,,,
EV132,10/09/2019,,90.79,,,11,,,,263.5,27.02,,,,
EV132,10/10/2019,,69.53,,,9.35,,,,190.81,26.18,,,,
EV132,10/11/2019,,155.39,,,11.93,,,,398.23,30.74,,,,
EV132,10/12/2019,,0.35,,,10.74,,,,5.61,35.72,,,,
EV132,10/13/2019,,0,,,11.99,,,,0,39.68,,,,
EV132,10/14/2019,,150.51,,,10.65,,,,283.66,41.72,,,,
EV132,10/15/2019,,112.94,,,10.54,,,,236.68,39.08,,,,
EV132,10/16/2019,,118.31,,,7.86,,,,224.78,48.260000000000005,,,,
EV132,10/17/2019,,0,,,1.93,,,,2.33,41.78,,,,
EV132,10/18/2019,,33.34,,,4.89,,,,74.33,38.6,,,,
EV132,10/19/2019,,0.09,,,4.88,,,,6.71,36.08,,,,
EV132,10/20/2019,,0,,,11.99,,,,0,35.3,,,,
EV132,10/21/2019,,106.87,,,10.5,,,,248.13,36.02,,,,
EV132,10/22/2019,,33.69,,,6.78,,,,89.65,41.3,,,,
EV132,10/23/2019,,0.04,,,3.15,,,,0.76,36.379999999999995,,,,
EV132,10/24/2019,,142.31,,,11.83,,,,328.57,34.22,,,,
EV132,10/25/2019,,97.4,,,10.34,,,,186.34,45.68,,,,
EV132,10/26/2019,,0.97,,,11.9,,,,22.19,32.42,,,,
EV132,10/27/2019,,0,,,12,,,,0,23.84,,,,
EV132,10/28/2019,,84.6,,,11.69,,,,300.1,18.2,,,,
EV132,10/29/2019,,34.14,,,11.87,,,,146.32,8.899999999999999,,,,
EV132,10/30/2019,,87.91,,,11.48,,,,315.98,12.26,,,,
EV132,10/31/2019,,83.2,,,11.05,,,,249.19,21.8,,,,
EV132,11/01/2019,,80.59,,,11.79,,,,230.43,23.66,,,,
EV132,11/02/2019,,91.08,,,11.75,,,,233.94,29.419999999999998,,,,
EV132,11/03/2019,,0,,,12.49,,,,0,33.14,,,,
EV132,11/04/2019,,67.21,,,11.82,,,,139.78,35.36,,,,
EV132,11/05/2019,,104.96,,,11.14,,,,252.96,36.44,,,,
EV132,11/06/2019,,93.12,,,11.88,,,,209.19,32.36,,,,
EV132,11/07/2019,,97.09,,,11.71,,,,229.42,30.38,,,,
EV132,11/08/2019,,76.44,,,11.36,,,,186.89,34.4,,,,
EV132,11/09/2019,,144.66,,,11.26,,,,280.36,35.72,,,,
EV132,11/10/2019,,0,,,6.49,,,,0.06,36.5,,,,
EV132,11/12/2019,,36.16,,,2.25,,,,115.56,28.580000000000002,,,,
EV132,11/13/2019,,0.05,,,5.21,,,,3.12,33.5,,,,
EV132,11/14/2019,,71.68,,,11.22,,,,155.96,34.22,,,,
