Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Maximum Speed,Average Speed,Percent Idling Time,Drive Cycle
EV173,10/07/2020,1,0,0.13333333333333333,0,0.13333333333333333,,,,,65.93007038,,,,,11.18468146027201,0,1,
EV173,10/08/2020,3,105,0,2.716666666666667,2.716666666666667,,,,,50.918,,,,,55.09491237837694,25.80545287164749,0,
EV173,10/09/2020,2,109,0.23333333333333334,2.7666666666666666,3,,,,,48.58703519,,,,,58.40889207030939,22.732923818338058,0.07777777777777778,
EV173,10/13/2020,5,110,0.03333333333333333,2.9,2.933333333333333,,,,,56.494414076,,,,,37.90364272647737,14.29738103768662,0.011363636363636364,
EV173,10/14/2020,6,198,0,4.516666666666667,4.516666666666667,,,,,59.483,,,,,49.916819109732494,25.386984000714698,0,
EV173,10/15/2020,6,196,0,4.683333333333334,4.683333333333334,,,,,53.28202346,,,,,49.50257164824094,25.166814068249316,0,
EV173,10/16/2020,1,1,0,0.03333333333333333,0.03333333333333333,,,,,50.666,,,,,29.82581722739203,18.64113576712002,0,
EV173,10/19/2020,1,48,0,1.0666666666666667,1.0666666666666667,,,,,40.766,,,,,57.166149685834725,27.96170365068003,0,
EV173,10/20/2020,5,111,0,2.0666666666666664,2.0666666666666664,,,,,50.6912,,,,,49.461146902091784,30.324054787458845,0,
EV173,10/21/2020,6,193,0,4.216666666666667,4.216666666666667,,,,,51.137,,,,,50.641752167342716,29.48667979688702,0,
EV173,10/22/2020,6,193,0,4.333333333333333,4.333333333333333,,,,,53.459,,,,,51.36668522495294,27.147027814913077,0,
EV173,10/23/2020,5,192,0,4.2,4.2,,,,,56.411614076,,,,,49.95824385588165,26.048790078349388,0,
EV173,10/26/2020,5,204,0,4.683333333333333,4.683333333333333,,,,,43.761214076,,,,,49.08832418674938,28.294499409648704,0,
EV173,10/27/2020,5,201,0,4.633333333333333,4.633333333333333,,,,,40.445614076,,,,,47.472759086932314,28.556945839322218,0,
EV173,10/28/2020,5,195,0,4.616666666666666,4.616666666666666,,,,,46.562014076,,,,,52.07090590948858,27.407656825281002,0,
EV173,10/29/2020,9,158,0,3.6999999999999997,3.6999999999999997,,,,,47.01401564,,,,,42.80557102079411,19.669665766439422,0,
EV173,11/02/2020,5,112,0,2.2,2.2,,,,,46.191242228,,,,,50.95243776346138,31.068559611866696,0,
EV173,11/03/2020,9,157,0.03333333333333333,3.3666666666666667,3.4,,,,,49.10000782,,,,,45.77434449481693,28.302555386812898,0.00980392156862745,
EV173,11/09/2020,1,23,0,0.4,0.4,,,,,73.796,,,,,60.894376839258726,35.7288435536467,0,
EV173,11/13/2020,1,39,0,0.6166666666666667,0.6166666666666667,,,,,39.524,,,,,60.894376839258726,39.297529455009766,0,
EV173,11/16/2020,3,99,0,2.033333333333333,2.033333333333333,,,,,40.02202346,,,,,52.81655134017338,26.13422077289307,0,
EV173,11/17/2020,3,99,0,2,2,,,,,37.30404692,,,,,53.85216999390227,27.139272442464513,0,
EV173,11/18/2020,3,99,0,1.9333333333333333,1.9333333333333333,,,,,41.36,,,,,53.23079880166494,27.248384166497598,0,
EV173,11/19/2020,3,99,0,1.95,1.95,,,,,49.58,,,,,54.680664916885384,27.032825532689774,0,
EV173,11/20/2020,3,99,0,1.9166666666666667,1.9166666666666667,,,,,48.188,,,,,54.473541186139606,28.30973942775285,0,
EV173,11/23/2020,4,101,0,1.95,1.95,,,,,40.37,,,,,50.33106657122405,26.983044022906228,0,
EV173,11/24/2020,3,99,0,1.9833333333333334,1.9833333333333334,,,,,38.16802346,,,,,52.40230387868183,27.320853737682903,0,
EV173,11/30/2020,3,99,0,1.9333333333333333,1.9333333333333333,,,,,36.566,,,,,54.680664916885384,27.92049866445739,0,
EV173,12/01/2020,3,99,0,1.9833333333333332,1.9833333333333332,,,,,35.744,,,,,54.680664916885384,26.64381989173178,0,
EV173,12/02/2020,3,99,0,2,2,,,,,38.552,,,,,53.645046263156495,26.557203752440493,0,
EV173,12/03/2020,3,99,0,1.9166666666666665,1.9166666666666665,,,,,39.12802346,,,,,52.40230387868183,27.52431507364683,0,
EV173,12/04/2020,3,64,0,1.2,1.2,,,,,40.862,,,,,54.473541186139606,30.522299223086623,0,
EV173,12/07/2020,3,99,0,1.9166666666666667,1.9166666666666667,,,,,35.942,,,,,53.645046263156495,28.23645962003667,0,
EV173,12/08/2020,3,99,0,1.9666666666666666,1.9666666666666666,,,,,38.096,,,,,52.81655134017338,26.891274285901428,0,
EV173,12/09/2020,3,99,0,1.9666666666666668,1.9666666666666668,,,,,42.99802346,,,,,54.473541186139606,26.327601190197722,0,
EV173,12/10/2020,3,99,0,1.9333333333333333,1.9333333333333333,,,,,43.664,,,,,53.43792253241072,27.348786488269052,0,
EV173,12/11/2020,3,99,0,1.9,1.9,,,,,43.244,,,,,53.645046263156495,28.41198820541445,0,
EV173,12/15/2020,3,5,0,0.15,0.15,,,,,30.146,,,,,38.11076645722315,24.026352766510247,0,
EV173,12/16/2020,1,49,0,0.75,0.75,,,,,33.512,,,,,60.894376839258726,40.596251226172484,0,
EV173,12/08/2021,8,146,0,3.3833333333333333,3.3833333333333333,,,,,29.8535,,,,,51.03010916249105,25.452122003126817,0,
EV173,12/09/2021,4,86,0,1.6833333333333333,1.6833333333333333,,,,,36.248,,,,,46.60283941780005,25.750116544173885,0,
EV173,12/10/2021,7,121,0,2.8333333333333335,2.8333333333333335,,,,,37.0528571428571,,,,,45.00502778061833,27.48772722268183,0,
EV173,12/15/2021,14,85,0.5166666666666667,1.4333333333333333,1.95,92,100,72.4,34.3699989318848,55.8577142857143,,,100,22,51.440657985933576,32.086693794818345,0.26495726495726496,
EV173,12/16/2021,30,176,0.8166666666666667,3.6333333333333333,4.45,100,98,144,61.9700012207031,45.899,,,100,14,51.26312335958005,29.369804949491872,0.1835205992509363,
EV173,12/17/2021,10,178,0.6833333333333333,3.9499999999999997,4.633333333333333,99.2,99.2,160.8,183.179992675781,33.3104,,,100,23.2,49.83396961743418,18.85061108817817,0.14748201438848924,
EV173,12/21/2021,1,0,0.13333333333333333,0.03333333333333333,0.16666666666666666,100,100,0,0.430000007152557,36.536,,,100,100,10.563310268034677,0,0.8,
EV173,12/28/2021,2,0,0.6333333333333333,0.06666666666666667,0.7,96,96,0,0.379999995231628,35.726,,,96,96,4.970969537898672,0,0.9047619047619048,
EV173,01/01/2022,1,0,1.2333333333333334,0.03333333333333333,1.2666666666666668,100,100,4.79999999999998,0,32.684,,,100,99.2,1.242742384474668,0,0.9736842105263157,
EV173,01/03/2022,8,180,1.5333333333333334,4.133333333333334,5.666666666666667,,,,,24.07775,,,,,51.96216595084705,16.89675896093313,0.27058823529411763,
EV173,01/04/2022,8,90,0.5333333333333333,2.1666666666666665,2.7,,,,,27.61025,,,,,45.127082836236376,16.645613711225664,0.19753086419753088,
EV173,01/06/2022,1,0,0.05,0,0.05,,,,,27.968,,,,,5.592340730136005,0,1,
EV173,01/12/2022,6,86,1.4666666666666666,1.9,3.3666666666666667,,,,,32.987,,,,,34.48610116917203,9.73252574103243,0.43564356435643564,
EV173,01/13/2022,10,176,1.6166666666666667,4.116666666666666,5.733333333333333,,,,,31.0838,,,,,42.31537819136244,14.539140643389425,0.28197674418604657,
EV173,01/14/2022,9,178,1.8333333333333333,3.8666666666666667,5.7,,,,,27.844,,,,,53.09271631450109,17.451155308877304,0.3216374269005848,
EV173,01/17/2022,9,184,1.8,3.8833333333333333,5.683333333333334,,,,,28.168,,,,,50.67627278913368,17.45467069884238,0.31671554252199413,
EV173,01/18/2022,9,186,1.4166666666666667,4.316666666666666,5.733333333333333,,,,,29.326,,,,,45.152973302579596,16.449962892101958,0.24709302325581398,
EV173,01/19/2022,10,193,1.6666666666666667,4.483333333333333,6.15,,,,,25.5236,,,,,44.49017736419311,15.444572658353575,0.27100271002710025,
EV173,01/20/2022,10,190,1.9333333333333333,4.533333333333333,6.466666666666667,,,,,18.3704,,,,,44.30376600652191,14.83247440160703,0.29896907216494845,
EV173,01/21/2022,10,182,1.1833333333333333,4.2,5.383333333333334,,,,,17.9852,,,,,36.59876322277897,14.750143601035148,0.2198142414860681,
