Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Trip Percent Idling Time
EV017,8/1/19 9:07 AM,8/1/19 9:09 AM,0.03,0.016806,0.016806,0.033611,0,0,0,0.03,78.8,,,50
EV017,8/1/19 8:59 AM,8/1/19 9:02 AM,0.15,0.0169,0.030044,0.046944,100,100,0,0.04,80.6,22174.94,22174.94,36
EV017,8/1/19 12:48 AM,8/1/19 12:48 AM,0,0.005,0,0.005,0,0,0,0,78.8,,,100
EV017,7/30/19 8:59 PM,7/30/19 9:00 PM,0,0.003333,0,0.003333,0,0,0,0,84.2,,,100
EV017,7/30/19 8:59 PM,7/30/19 8:59 PM,0,0.003611,0,0.003611,0,0,0,0,84.2,,,100
EV017,7/30/19 7:49 PM,7/30/19 8:59 PM,38.42,0.174167,0.986944,1.161111,95.7,77.3,18.4,10.36,86,22136.53,22173.81,15
EV017,7/30/19 3:29 PM,7/30/19 5:22 PM,64.57,0.376722,1.506889,1.883611,100,71,29,17,96.8,22071.98,22135.36,20
EV017,7/30/19 3:18 PM,7/30/19 3:22 PM,0.09,0.047278,0.016611,0.063889,100,100,0,0.28,100.4,22071.89,22071.89,74
EV017,7/30/19 3:02 PM,7/30/19 3:15 PM,0.13,0.183517,0.01815,0.201667,100,100,0,0.92,100.4,22071.76,22071.76,91
EV017,7/30/19 7:12 AM,7/30/19 7:24 AM,2.86,0.085678,0.109044,0.194722,83.1,82.4,0.7,0.7,71.6,22068.89,22071.38,44
EV017,7/26/19 8:13 PM,7/26/19 8:15 PM,0.07,0.0135,0.009,0.0225,83.9,83.9,0,0.12,95,22068.81,22068.81,60
EV017,7/26/19 7:48 PM,7/26/19 7:51 PM,0,0.055556,0,0.055556,83.9,83.9,0,0.28,98.6,22068.81,22068.81,100
EV017,7/26/19 7:38 PM,7/26/19 7:39 PM,0,0.02805,0.000283,0.028333,83.9,83.9,0,0.12,98.6,22068.81,22068.81,99
EV017,7/26/19 7:37 PM,7/26/19 7:37 PM,0,0.012778,0,0.012778,83.9,83.9,0,0.02,98.6,22068.81,22068.81,100
EV017,7/26/19 3:46 PM,7/26/19 3:47 PM,0.16,0.008972,0.014639,0.023611,85.5,85.5,0,0.12,105.8,22068.66,22068.66,38
EV017,7/24/19 12:57 PM,7/24/19 1:00 PM,0.08,0.021233,0.0221,0.043333,85.5,85.5,0,0.13,93.2,22068.57,22068.57,49
